"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AARE",13.3794766573685,-5.57479652582063,1.87850830047691,-2.96767202168089,0.00300064324232219,1
"ABHD3",10.2615539564706,-1.67091441575005,0.627645467333272,-2.66219466675892,0.00776329666132205,1
"ACHE",3.3920966079572,2.51908810980526,1.13994777518556,2.2098276470562,0.0271171261891227,1
"ADPRHL1",3.09681455028081,1.72455062277344,0.863628405028685,1.99686649111102,0.0458396881668029,1
"AMOTL1",8.98529207979912,-1.32217481237765,0.597012265016058,-2.21465267944217,0.026783913203961,1
"ANKAR",2.75838886267835,-2.24279214916163,1.03436780475837,-2.16827335387296,0.0301378945540441,1
"ANKRD33",12.1357723711964,-1.11578546467068,0.544741986880738,-2.04828247416692,0.0405323292393329,1
"ANKRD35",20.2389572652764,-1.00961242123283,0.498107033614564,-2.02689854408695,0.0426727894626319,1
"APOBEC3G",119.230416208402,-1.98156718692054,0.921584621911588,-2.15017388507449,0.0315414630291213,1
"APOE",14.4225921910423,-1.34863980437865,0.625063505971012,-2.1576044537804,0.030958598133755,1
"BEX5",11.5636090993056,1.08842419355886,0.534495605971155,2.03635760780715,0.0417144589971232,1
"BPI",2210.47653343906,-1.09298358212504,0.355878455108268,-3.07122717443665,0.00213180886413855,1
"C2",45.4382398780342,-2.13701302076245,1.05654425853936,-2.02264410931238,0.0431098530601565,1
"CA2",26.7425133027041,2.17247763601843,0.841900101121107,2.58044586658854,0.00986728250989668,1
"CACNA1I",7.90636100033319,-2.60254576770158,0.768133374584992,-3.38814306709129,0.000703675495913993,1
"CALY",1.82346348918608,2.61411013580029,1.21978972687727,2.14308259710677,0.0321064666089648,1
"CAMP",542.110942878461,-2.0539821276255,0.757363257675144,-2.71201712891453,0.00668751369825725,1
"CCDC142",7.587488139522,2.33510556073502,0.755003504953956,3.09284068936531,0.00198250530033777,1
"CCDC180",15.6504063463841,-2.71952689135272,0.913634588879845,-2.97660237960887,0.00291461749294601,1
"CCDC80",6.16888975468938,1.18349393160423,0.532008833632402,2.22457571526337,0.026109734409905,1
"CD300H",1234.15758439955,-1.00194656352341,0.322996301253559,-3.10203726678859,0.00192193761556487,1
"CFB",37.8557164769407,-1.63188413871662,0.668319578328569,-2.44177215756251,0.0146153673999289,1
"CHI3L1",88.2804742174967,-1.58336227090618,0.662388661321784,-2.390382510091,0.016830833279177,1
"CHIT1",35.4940623279505,-1.83548923094391,0.69955144561819,-2.62380878838996,0.00869525854945941,1
"CLCN1",5.98312441623819,1.20834906390324,0.578195608710935,2.08986205654036,0.0366301928878499,1
"CLDN11",1.39000870710033,-2.92099117347442,1.358497268108,-2.15016345048859,0.0315422881064656,1
"CMBL",1.5529941634538,-1.83001193313066,0.906733039937125,-2.01824776701372,0.0435654636219373,1
"CMKLR1",26.48647565086,-1.04822213467218,0.35121501600495,-2.98455956295846,0.00283986905246898,1
"COL19A1",3.00791643206174,-2.00921770827088,0.916537395662741,-2.19218301160318,0.0283662946312654,1
"COL2A1",6.17732864404468,-1.42077020440306,0.566609333282935,-2.50749523692298,0.0121590220301147,1
"CPA3",10.9414113363506,-1.15759003407796,0.551420989863943,-2.0992854014563,0.0357917495377169,1
"CPNE9",2.87256919869501,-1.64108566423048,0.72857510168843,-2.25245916368451,0.0242932705495096,1
"CRISP2",59.9643173729941,-1.42929072508679,0.699827405850937,-2.04234746044116,0.0411170774125496,1
"CTSF",13.4160886316029,-1.1493286592964,0.519023887954004,-2.2144041651475,0.0268009886402848,1
"CUNH11orf54",18.1983778161031,1.03400704164268,0.432387939721082,2.39138733219451,0.0167848347562321,1
"CUNH22orf24",2.2589565859175,-1.6173573179099,0.789764352882138,-2.0478986067269,0.0405699354239264,1
"CUNH6orf141",3.15535677574856,1.29740649834629,0.635889125877308,2.04030301124636,0.0413201550851417,1
"CXCL9",3.78223884576307,-2.59479561902553,1.25549208053296,-2.06675586350496,0.0387571643034362,1
