"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCC9",100.884473895775,-1.58791379456377,0.520818948469152,-3.04887869235776,0.00229697211753218,0.66308584511985
"ACD",14.8539747684527,1.4124862371288,0.703256197150621,2.00849454701113,0.0445907649313936,0.749315244581216
"ACRV1",1.87259712553505,1.66292889086699,0.801282444521415,2.07533423730532,0.0379555684375117,0.746554596016264
"ADAMTS10",82.4309032266521,1.22802195320343,0.406709929168252,3.01940490047737,0.00253271792967417,0.687095674709334
"ADPRHL1",3.09681455028081,2.63745342371055,0.745307433668851,3.53874562974291,0.000402033054076661,0.487285597002661
"ALAS2",9274.91650804746,-1.41128027166104,0.719370426955181,-1.96182692362605,0.0497826379837435,0.749315244581216
"ALDH1A1",13.3348204152656,1.84532607153885,0.863759527392798,2.13638867418209,0.0326477464442967,0.734584666063146
"ANAPC10",3.53062401134668,-1.87415010814151,0.541378299925298,-3.4618123932934,0.000536551027599873,0.505628744693459
"AQP1",207.071949092044,-1.02539537912723,0.458384144160036,-2.23697829035123,0.0252877589724894,0.734584666063146
"ARHGEF10",3.17694181110732,2.12310654798957,0.862685635000903,2.46104312144638,0.0138533714570681,0.734584666063146
"ATP5IF1",3.33477268913085,-1.59717028711917,0.658727392171852,-2.42463013698767,0.0153239899749633,0.734584666063146
"B3GNT7",10.9625616393548,1.05074440088857,0.367048487874831,2.86268554591317,0.00420067228335593,0.710751762031557
"BATF3",15.7146870881434,1.14126690014833,0.370105845290758,3.08362300857946,0.00204496550555233,0.66308584511985
"BCAS4",38.1273145313928,1.07198535816642,0.326999148237604,3.27825122464078,0.0010445238882746,0.603296781276023
"BPGM",535.824488605518,-1.16639906092277,0.573750028666782,-2.03293943816112,0.042058641953329,0.749315244581216
"C1QA",46.3904128435238,1.01936260955858,0.410379894272005,2.4839487113931,0.0129934520635368,0.734584666063146
"C1QB",48.0571202635648,1.53572905151323,0.583846533589983,2.63036425354839,0.00852934252620387,0.710751762031557
"C1QC",49.4395005730421,1.0313293967711,0.440278787653019,2.3424462538129,0.0191577930426603,0.734584666063146
"CACNA1I",7.90636100033319,-1.33426220321551,0.586195089668752,-2.27614019075027,0.0228376202470315,0.734584666063146
"CACNA2D1",15.2566099992297,-1.06030936882341,0.46884495581845,-2.26153519551565,0.0237261358063356,0.734584666063146
"CALCRL",3.64478229151914,-1.80473368522066,0.63285429678866,-2.85173648085911,0.00434811303197994,0.710751762031557
"CALHM6",61.3603030436095,1.30272289804985,0.460949945124789,2.82616998185601,0.00471082582617222,0.710751762031557
"CALY",1.82346348918608,2.59384426842316,1.07844551752036,2.40516950210624,0.0161649661242791,0.734584666063146
"CCDC106",18.449222142116,1.22309907923461,0.369023027942143,3.31442480989661,0.00091831874066681,0.566982656953077
"CCDC138",3.47142413010976,-1.57958283316436,0.580455933014823,-2.72127950344168,0.00650297519336047,0.710751762031557
"CCDC142",7.587488139522,1.87651104032171,0.658904487732649,2.84792572407415,0.00440051936167603,0.710751762031557
"CCDC88C",21.420590085154,3.05684103940155,1.33601916253512,2.28802185262159,0.0221362485565657,0.734584666063146
"CCL19",1.13907149976891,3.2486932564661,1.17323282943255,2.76900984609966,0.00562269359939385,0.710751762031557
"CD200R1L",31.2419225413779,-1.56782911313595,0.580796111957504,-2.69944836209693,0.00694545333707559,0.710751762031557
"CD99L2",3.81050189341612,1.14966266355993,0.565884907444184,2.03161923641395,0.0421922177477175,0.749315244581216
"CDH3",0.733990052611792,2.69002006701657,1.22504054886256,2.19586206310822,0.0281018178124995,0.734584666063146
"CDS1",2.70363233779705,-1.29329019182804,0.651950793438779,-1.98372362583755,0.0472866582855165,0.749315244581216
"CELA1",2.76985929637429,2.60870140707629,1.23376944275679,2.11441564093797,0.0344797829224536,0.734584666063146
"CENPE",32.8057162496147,-1.02430978809928,0.501989341680929,-2.04050106854727,0.041300444717024,0.749315244581216
"CENPH",11.552316756423,-1.14310409938569,0.44783489293204,-2.55251235986018,0.0106949114846418,0.734584666063146
"CEP170B",3.02986228907293,1.38928619728697,0.696562080178515,1.99449013493661,0.0460985169977752,0.749315244581216
"CHIT1",35.4940623279505,-1.29656524290236,0.577916102310385,-2.243518112264,0.0248634232158314,0.734584666063146
"CNTFR",1.88191791192634,1.48171702326231,0.694399613765481,2.13381026413233,0.0328583153599245,0.734584666063146
"COL24A1",19.9942404960056,-1.28268653086622,0.484980239753012,-2.64482225403546,0.00817338384848469,0.710751762031557
