"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACOT1",9.49624303704202,1.17739430749707,0.442143304232695,2.66292465864736,0.00774647562565514,1
"ACRBP",17.7424827490109,-3.03442586373118,1.14360201161217,-2.6533932547508,0.00796869707134513,1
"ACTC1",2.1040291395789,-3.27239728705966,1.56963340929711,-2.08481628109907,0.0370859802690935,1
"ADAMDEC1",101.083752667884,1.60665102961822,0.651587845717146,2.46574738951725,0.0136727721680444,1
"ADPRHL1",3.09681455028081,1.82119189806454,0.924752317862575,1.96938343693364,0.0489090762875161,1
"AIMP1",29.001454968039,1.50828598190425,0.647238790388894,2.33033928791257,0.0197882258307399,1
"AK6",4.96428148196489,1.97957986947624,0.8615177714467,2.29778181609886,0.0215742102148318,1
"AKAP12",16.5976362602037,1.02537705450687,0.406710174748618,2.52114925607808,0.0116972224407282,1
"ALDH4A1",37.6516386368464,-1.65774802012345,0.474201167184417,-3.49587503119483,0.000472509937794962,0.867783274669196
"ALS2CL",2.07979898335502,-3.52894424319505,1.27690887532111,-2.76366177054538,0.00571567521008101,1
"AMT",32.5634647616507,-1.94022816631199,0.900217175270941,-2.15528898982408,0.031139226842291,1
"ANKRD66",1.00825165751233,2.94170338711029,1.47558353721501,1.99358647810778,0.0461972642955274,1
"ANPEP",133.979617678159,-1.22691520709072,0.418776195871481,-2.92976348509372,0.0033922008823217,1
"AP3B2",4.32320364727445,-1.75180270970289,0.848386223519559,-2.06486463492474,0.0389358101045468,1
"APBA3",22.6383181723355,-6.7525420456813,1.3237291655787,-5.10115076502773,3.37594496863857e-07,0.00604462946634737
"APOL2",424.653557075363,-1.2438923041075,0.391345986927616,-3.17849766104173,0.00148040412535374,1
"APOL3",636.71956119985,-1.68624730515497,0.650868725869838,-2.59076406367725,0.0095763120723579,1
"APOOL",14.4258518236442,1.1245140676338,0.535682052338239,2.09921923410599,0.0357975792383209,1
"ARHGEF15",11.0846758143048,-1.63489147909983,0.657140875518842,-2.48788584001719,0.0128504975342027,1
"ASAP3",17.8235188462106,-1.31446051965036,0.519454609621056,-2.53046271089838,0.0113912192449059,1
"ASMT",1.02149678821986,-3.25294007265507,1.31461973557073,-2.47443422963892,0.013344738938457,1
"ATG16L2",138.021485877018,-1.35763805382855,0.480894819718137,-2.82314967465088,0.00475543651793812,1
"ATP9B",50.7802804793826,-1.11221768916965,0.538281635336788,-2.06623747896168,0.0388060615831934,1
"B9D1",3.14545961839283,-2.40281432780235,1.17529497887089,-2.04443511714034,0.0409105810569465,1
"BTBD19",33.3660769709371,-1.09887643143553,0.541517680722922,-2.02925309838183,0.0424325177719434,1
"CAMK1G",6.02397006782553,-1.43743324398898,0.694308961338219,-2.07030777943361,0.0384235315465339,1
"CCDC142",7.587488139522,2.48528296829916,0.803872789074515,3.09163713721473,0.00199056012303118,1
"CCL19",1.13907149976891,3.20621069454934,1.44017788576968,2.22626019065404,0.0259967583388817,1
"CERCAM",8.35095803215215,-1.56858499657923,0.647035448396077,-2.4242643899458,0.0153394333229545,1
"CETN3",12.301532971459,2.14940355552422,0.968696360591104,2.21886201184098,0.0264961136308351,1
"CFAP43",1.90557179355497,2.34108793084946,0.969251418440253,2.41535672407558,0.015719805677288,1
"CHIT1",35.4940623279505,-1.55428334078005,0.752133977797801,-2.06649797331439,0.038781483575446,1
"CITED2",93.6306834430541,-1.00171793501645,0.302688621796273,-3.30940069392719,0.00093495926399135,1
"CLDN4",4.17533734660153,-2.96815368044954,1.25678931023929,-2.36169551751233,0.0181915764918074,1
"COL2A1",6.17732864404468,-1.2752850547526,0.623728282190284,-2.04461636768227,0.0408926945579954,1
