"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AADAT",1.44101592403191,1.59703023618209,0.640412064462192,2.49375413863143,0.0126400062953475,NA
"AARE",13.3794766573685,-2.67054523586151,1.25687128596867,-2.12475634193785,0.0336069494699476,NA
"ACRBP",17.7424827490109,-1.79402572321018,0.809876271194962,-2.21518494493377,0.0267473728064238,NA
"ACTN2",9.19995628007458,-2.10474071025683,0.997355710333377,-2.11032101029762,0.0348307150685748,NA
"ADAM33",2.23806874824566,-2.44502209742166,0.889804342782697,-2.74781991934914,0.00599929492921999,NA
"AGRN",55.1327978040718,-1.37115203524314,0.550255751570686,-2.49184498540766,0.012708148699585,0.289569101695311
"AK6",4.96428148196489,1.2946589878274,0.571279529168244,2.26624431950565,0.0234364284717701,NA
"ALDH1A1",6.14556614037734,-1.28423184008529,0.612115599398016,-2.09802174842182,0.03590322421985,NA
"ALS2CL",2.07979898335502,-1.73143579530105,0.706824638605376,-2.44959739761946,0.014301602482661,NA
"ANK1",120.259574766764,1.13968595048413,0.512362592917201,2.2243738443027,0.0261233021281926,0.31088450750357
"ANKRD33",12.1357723711964,-1.15697056216613,0.381404094265396,-3.03345081912273,0.00241774116438586,NA
"ANKRD66",1.00825165751233,1.87794007443165,0.956649445400698,1.96303889942158,0.0496416542455893,NA
"APBA3",22.6383181723355,-2.58908933602046,0.764116776917298,-3.38834248145383,0.000703164043638124,NA
"APOBEC3G",119.230416208402,-1.62247540335808,0.644610951242697,-2.51698392686353,0.0118364228739733,0.288252394124418
"APOE",14.4225921910423,-1.10065999291481,0.432235342763222,-2.54643682276984,0.0108828908944312,NA
"APOL3",636.71956119985,-1.05831791148401,0.431028942920849,-2.45532911157279,0.0140755657797764,0.289569101695311
"ARL6",2.32735472334913,1.13855185693713,0.541307240052098,2.1033375737364,0.0354362711753786,NA
"ATG16L2",138.021485877018,-1.00213534012348,0.315199314222481,-3.17937030604113,0.00147595402285605,0.249124540463446
"ATP1A2",1.27326465340279,-2.43621610627413,1.08744709943276,-2.2403076963881,0.0250709539417002,NA
"ATP5F1E",136.364027859561,1.4786569698547,0.508735208525017,2.90653555145473,0.00365455368071991,0.255403467459403
"BATF2",47.1121826776319,-1.45971795146438,0.460337287711615,-3.17097482743748,0.00151928308031074,0.249124540463446
"C1QA",46.3904128435238,-1.30892773068995,0.386158986074542,-3.38960836829337,0.000699925381427101,0.201924857511124
"C1QB",48.0571202635648,-2.17961148260036,0.539761976250002,-4.03809749205237,5.38864586372288e-05,0.0980272790595606
"C1QC",49.4395005730421,-1.46815393971876,0.405878458191315,-3.61722557600415,0.000297777774761611,0.154396112572327
"C2",28.3063999038325,-2.00983707043861,0.61814302576361,-3.25141105969092,0.00114833698083042,NA
"C3AR1",3.0507685863886,-1.8844138635821,0.70852821737575,-2.65961724229079,0.00782294975387205,NA
"CALHM6",61.3603030436095,-1.17957061256928,0.435055973021171,-2.71130770686345,0.0067018400822577,0.269964414738691
"CAMP",542.110942878461,-1.14096654777605,0.548322944709657,-2.08082947975159,0.0374495168050852,0.337478162704073
"CANT1",1959.02330530715,-1.08144422436954,0.342084102308926,-3.16134019988136,0.00157044961893093,0.249124540463446
"CARD19",15.1851008139655,-1.16316107569177,0.56553706569138,-2.05673711990881,0.0397115194967554,NA
"CASP12",19.3077723048458,-1.05425849995987,0.535536487893769,-1.96860255798107,0.0489987486091904,NA
"CASQ1",3.30938733654514,-3.77452532886377,1.74253274279825,-2.16611443570492,0.0303024433574688,NA
