"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2ML1",1.32566425364883,0.0331636595870443,0.754350598304664,0.0439631912025744,0.964933744648219,NA
"A3GALT2",0.795992449162145,-1.315293804033,0.865288446791941,-1.52006398433893,0.128494895282428,NA
"A4GALT",989.572030914089,-0.580618525085359,0.26080198562452,-2.2262810756406,0.0259953602604627,0.310631086013949
"AAAS",127.844055596189,-0.0437168943037615,0.231183246148159,-0.189100616208773,0.850013958534784,0.919270664417747
"AACS",189.57907368332,0.160707312296383,0.191481343003818,0.839284442940107,0.40130971107232,0.62556304235251
"AADACL3",0.423951333340418,1.22968080356596,1.15890036199853,1.06107551942202,0.288655582211957,NA
"AADAT",1.44101592403191,1.59703023618209,0.640412064462192,2.49375413863143,0.0126400062953475,NA
"AAGAB",443.738984285392,-0.0669538487990087,0.126229895422972,-0.530411980257604,0.595826321466021,0.759814461642804
"AAK1",242.31501413069,0.195363100497182,0.168339534613665,1.16053012113604,0.245833037470777,0.505563146184238
"AAMDC",16.649455945597,0.389983596945401,0.395762848221811,0.985397185960288,0.324429011374467,NA
"AANAT",18.4246712593242,-0.79941653524925,0.37231024108089,-2.14717847386735,0.0317790757526833,NA
"AAR2",162.174249805211,-0.210880957429918,0.158403600403485,-1.33128891573653,0.183093963984944,0.453595277477427
"AARE",13.3794766573685,-2.67054523586151,1.25687128596867,-2.12475634193785,0.0336069494699476,NA
"AARS1",393.733391498729,-0.280626422532176,0.154643028028664,-1.8146723205663,0.0695742811761584,0.366196961737163
"AARS2",52.8559070947086,3.48125438701812e-05,0.34902549628243,9.97421226843871e-05,0.99992041730038,0.99992041730038
"AARSD1",204.469090143564,-0.301865487649658,0.200021198316018,-1.50916747920255,0.131255988652877,0.415615105404955
"AASDH",110.325541639156,0.367833277293079,0.2579369458486,1.42605890010415,0.153851341067756,0.430606377836787
"AASDHPPT",101.20676817279,0.225611335892037,0.163401013005927,1.38072176996756,0.167364524988204,0.441506360948514
"AATF",180.152426122956,-0.256187109901754,0.178334290332231,-1.43655552403571,0.150844328844662,0.427255595623593
"AATK",297.00127254263,-0.439853758731292,0.253072606211906,-1.73805361755744,0.0822013665921363,0.379533336742972
"ABAT",29.2195736374643,0.429003448913634,0.276721076442424,1.55030998877635,0.121067130990539,NA
"ABCA1",482.934687403472,0.129298535266287,0.378175627514761,0.341900762129997,0.732425576066883,0.847970122893699
"ABCA12",6.20706237498895,0.350682615521354,0.409977000623954,0.855371435440625,0.392345551886725,NA
"ABCA13",7.68474448038205,0.223804801712723,0.468732457517702,0.477468112402416,0.633028822329528,NA
"ABCA2",251.493650483462,0.2688704130038,0.2871998768002,0.936178719849691,0.349181177784027,0.585152154969313
"ABCA3",129.475998893094,-0.238150764214603,0.213865778951474,-1.11355245978198,0.265471230997764,0.521682190163106
"ABCA5",23.8081501891319,0.549039369546546,0.312424757765479,1.75734910854498,0.0788583220497843,NA
"ABCA6",29.0576421401224,0.673033449621384,0.387975891815239,1.7347300794192,0.0827886258849876,NA
"ABCA7",192.141841114246,-0.494410382242761,0.279544963363702,-1.76862561318806,0.0769563734766564,0.373233526687843
"ABCA9",0.829087933799671,-1.60915739077751,0.94166191686547,-1.70884832651398,0.0874790483066011,NA
"ABCB1",4.45324931112343,-0.320677147564134,0.5142503792483,-0.623581742482875,0.532902303978521,NA
"ABCB10",61.0488745193698,0.24378130493378,0.250678165655706,0.972487190083404,0.330808234607756,0.570000706216148
"ABCB11",35.1972769849699,-0.115335453053249,0.421269951079488,-0.273780393682735,0.784253391718502,NA
"ABCB4",0.339382371366832,-0.244268288476047,1.14092659023593,-0.214096411255991,0.830471874319454,NA
"ABCB5",0.462191212280189,0.470247675143466,1.46900358781384,0.320113360542084,0.748882397900351,NA
"ABCB6",74.0310270344311,0.334728740724834,0.413621897496047,0.80926262064748,0.418364102075372,0.637497330962224
"ABCB7",55.6884671050377,0.38688613856485,0.240334922619593,1.60977911303061,0.107446086602229,0.398401875299204
"ABCB8",148.043814730111,-0.254651203961859,0.224648197887883,-1.13355551638545,0.256981041405593,0.513683663481386
"ABCB9",0.561712740048024,-1.52734489354201,1.16949417494068,-1.30598760239185,0.191556773637066,NA
"ABCC1",261.070236950513,0.141593758237477,0.172204493072871,0.822241950316356,0.410939207618857,0.633085204187531
"ABCC10",41.6100217839315,-0.985050697994286,0.504748499024015,-1.95156736453696,0.0509895910555622,0.353003729025698
"ABCC11",2.30726797553529,-0.179310419957634,0.57263272535941,-0.313133378545717,0.754179330929109,NA
"ABCC3",191.47663452511,-0.57070539261532,0.238755810041693,-2.39033090970921,0.0168331984142155,0.294319559976596
"ABCC4",56.3419698699897,0.155585450486057,0.20798358244055,0.748066018771121,0.454420337472126,0.661516204091976
"ABCC5",104.175637509629,0.138403385090169,0.178989113517972,0.773250296456004,0.439374264982461,0.652288621052377
"ABCC6",1.58284612895836,-0.000231807416021935,0.656302865346146,-0.000353201895438436,0.999718185666643,NA
"ABCC9",100.884473895775,0.0630515355856052,0.492006738073392,0.128151772539749,0.898028865216363,0.947645422285626
