"","gene","logFC","logCPM","PValue","FDR"
"1","SIRPB1",-1.54435110742602,6.79342456100399,0.000255852536771118,1
"2","LOC118554903",-6.66168319442361,0.831773136171604,0.000287248931611183,1
"3","LOC118535634",7.91230005656664,1.57549784595689,0.000556861838227745,1
"4","CCDC142",2.26187585062268,0.983025078778438,0.000874684026126192,1
"5","LIX1L",1.49661386189249,2.02210635202628,0.00110507119105486,1
"6","ZNF473",5.39744354482826,0.289240852949766,0.00119545226323925,1
"7","LCN2",-2.40991001886596,2.70368824729623,0.0011956587620425,1
"8","DYRK3",1.62512396143987,3.09134636876663,0.00131787519788951,1
"9","CACNA1I",-2.53022257035777,0.930958313761038,0.00134797968422991,1
"10","REPS2",-1.25968488721668,2.91988146989414,0.00136443223344502,1
"11","TP53RK",-1.3455976164034,3.03004303241713,0.00143240817951331,1
"12","EYA4",-2.16803723921331,2.63557160732373,0.0016313790614039,1
"13","LOC118540837",-3.49493577481674,4.73884268245425,0.00196356606875345,1
"14","AARE",-5.14489505319087,1.4426927746202,0.00204031386294711,1
"15","IGHV4-59",1.1756844239982,5.21678991549201,0.00209338165752814,1
"16","MPO",-2.98852072732684,0.507617105440237,0.00232530730861817,1
"17","PADI3",-1.4241066129859,1.71141055351068,0.0024153161548182,1
"18","HTR6",4.5092473225502,0.467431990822278,0.00262936143960639,1
"19","MFSD13A",-2.00970086989067,2.20697745033916,0.00306750060586747,1
"20","BPI",-1.07356423940264,8.8278747883629,0.00345795992651993,1
"21","LOC118544999",3.6819329738378,0.287996407442693,0.00355298000176221,1
"22","IGHV3-74",1.38233220425807,6.71305218660773,0.00552247679824078,1
"23","LOC118552550",-1.47059926316771,2.54297037462788,0.00628666256729058,1
"24","CCDC180",-2.59342050593839,1.73601644573872,0.00664045561202208,1
"25","LOC118546164",-3.81896928709396,1.46080463740453,0.00667470611725234,1
"26","CA2",2.13299774659821,2.46622678241226,0.00692692017392134,1
"27","IGLV2-18",1.09357162848555,6.55042889839648,0.00712947474323736,1
"28","IFT46",-1.71255605708003,1.0311470830313,0.00727932385389667,1
"29","MSC",1.40115409157534,0.709753770869929,0.0078748103871846,1
"30","JAKMIP1",1.11060619875253,2.37748535922361,0.00801780216959155,1
"31","COL1A2",-2.26525207094143,1.6645181064682,0.00896391758765324,1
"32","MMP14",-1.418434994692,0.760897778598491,0.00927711631191462,1
"33","GLO1",1.27211419922573,2.66910687090397,0.00931628353538389,1
"34","TNFRSF13C",1.05094517051201,3.92538235475332,0.00947465050419971,1
"35","CAMP",-2.03505105461027,6.787983215579,0.010241513047553,1
"36","LOC118527710",-3.03251787245428,1.24528864084525,0.0109396531326706,1
"37","ABHD3",-1.61141941779308,1.26551695882236,0.0109765163262832,1
"38","CMKLR1",-1.02134724427906,2.54493328920137,0.0110079832583189,1
"39","XPNPEP3",1.05904176033247,3.20947342967685,0.0110121836828638,1
"40","HSD3B7",-1.29019363484524,1.45387706674408,0.0125340057459687,1
"41","LOC118544129",1.50570721432286,1.40202236018151,0.0127465924559282,1
"42","EDA",-1.167312607798,2.06027273385089,0.0128536931419723,1
"43","LOC118525662",-5.24574889312574,0.196207398362288,0.0131546553703255,1
"44","SH2B2",-2.57083620996311,1.71007895179238,0.0132144215880617,1
"45","ILDR1",1.44220656608018,0.646945956961818,0.0134334464648858,1
"46","LOC118518704",-3.09226814278971,2.26865868434435,0.0134715834500206,1
"47","PGA4",1.97703191744085,3.079033757783,0.0143344119302929,1
"48","CYP4F22",-2.20401142410216,2.52261755447382,0.0143407014919914,1
"49","RARS",-5.64775909409874,0.891893196315838,0.0145495101141511,1
"50","LOC118555206",1.01031279865525,0.999881924196963,0.0146053180680319,1
