"","gene","logFC","logCPM","PValue","FDR"
"1","NEURL1B",-4.39127408695529,1.47776446168399,2.21389788406231e-09,2.79748136630114e-05
"2","RNF121",-6.25670850838498,0.684353742194138,0.000104958546227776,0.455261895979187
"3","LOC115943143",-3.82036015040768,0.491102348519184,0.000108086869890595,0.455261895979187
"4","IGHA2",1.53059828496122,7.97771582015104,0.000273442535551957,0.62795723542544
"5","RRAD",3.39412537104381,0.15323739411568,0.000298175325463172,0.62795723542544
"6","H1-10",1.45799044651381,5.26090594497291,0.00047803581150991,0.746721925813317
"7","TNFRSF13C",1.22914571987934,3.92538235475332,0.000544619548620786,0.746721925813317
"8","IGHV4-59",1.12570054652182,5.21678991549201,0.000784636611812878,0.746721925813317
"9","HIBCH",-1.21253499291112,3.16477245047544,0.000888965167729936,0.746721925813317
"10","IL22RA2",-1.18370698286344,5.44395658712599,0.00126005256090042,0.746721925813317
"11","SPNS1",1.0491609377632,4.28695376056921,0.00128118009593712,0.746721925813317
"12","ABCC9",-1.54823899877943,4.38552977329489,0.0014885345726926,0.746721925813317
"13","CCDC106",1.23744240533288,2.05651103072576,0.00162183185955845,0.746721925813317
"14","GYPA",-2.34520535751502,3.3138972497792,0.00162929791780233,0.746721925813317
"15","OCA2",-2.72610291821516,1.12195493368895,0.00167580509144915,0.746721925813317
"16","LOC118535634",6.76926155575595,1.57549784595689,0.00180204251061384,0.746721925813317
"17","LOC118543956",1.27100586389768,2.06972791744624,0.00187084706755576,0.746721925813317
"18","ADAMTS10",1.28829265330391,4.13032070717051,0.00193776876004691,0.746721925813317
"19","LOC118522744",2.52159298421078,1.93594128035956,0.00206412217131948,0.746721925813317
"20","LOC118544999",3.71727085338025,0.287996407442693,0.00207423897476197,0.746721925813317
"21","GPC5",-1.31934230764148,1.80838909735611,0.00217749505354812,0.746721925813317
"22","SNAPC2",1.32725056686246,3.26939134711442,0.00225231562665728,0.746721925813317
"23","ERAL1",1.08205696653583,3.37714818879374,0.00228399061048901,0.746721925813317
"24","GP1BB",1.68407331742029,2.57144428386247,0.00246933703804008,0.746721925813317
"25","BCAS4",1.10130186582032,3.03708732107997,0.00258969307688294,0.746721925813317
"26","TMEM177",1.22451837031274,2.432620524383,0.00266086275715543,0.746721925813317
"27","OLFML1",1.20746919667324,1.16234540795539,0.00267595246336478,0.746721925813317
"28","LRP5",1.0481337988391,2.74732320443928,0.00271119993482397,0.746721925813317
"29","IL12RB1",-1.83773389650691,0.861155707728576,0.00271764016349812,0.746721925813317
"30","CXXC5",1.57336419989032,2.14545776319515,0.00272603061978753,0.746721925813317
"31","ZNF473",4.7827723779623,0.289240852949766,0.00275006843616691,0.746721925813317
"32","LOC118525436",-1.13308894849774,2.24203979911808,0.00296391259873863,0.746721925813317
"33","CUNH18orf54",-1.57241631626419,0.686440340479476,0.003141656129494,0.746721925813317
"34","CCDC142",1.84019542187397,0.983025078778438,0.00320822058591893,0.746721925813317
"35","RPL26",1.93570242480166,6.77155415813242,0.00328337648103619,0.746721925813317
"36","TIMM13",1.15587434507417,3.21714104104955,0.00338478998583846,0.746721925813317
"37","BATF2",1.85808713277344,4.04856051730487,0.00339290356919998,0.746721925813317
"38","LOC118548284",-1.1601414006192,2.99071698185818,0.00345646991334792,0.746721925813317
"39","COL1A2",-1.88026489083914,1.6645181064682,0.00347872472261509,0.746721925813317
"40","CALHM6",1.33622122491005,3.70060799114901,0.00354073453880694,0.746721925813317
"41","ZNF639",-1.41888756775923,2.41978557481898,0.00361627154792159,0.746721925813317
"42","SMAD9",-1.55563603615475,2.41489783522005,0.00399330124071285,0.746721925813317
"43","DGKQ",1.04379353978301,3.5723378516947,0.00416071808343426,0.746721925813317
"44","GRWD1",1.19831191501074,2.54201096756414,0.00438544954456662,0.746721925813317
"45","ZNF814",1.32490648023846,1.27293343052334,0.00439450317416596,0.746721925813317
"46","B3GNT7",1.07204262543483,1.42074735028123,0.00448836318868593,0.746721925813317
"47","IQSEC1",1.11320820242038,6.40049674507132,0.00449437350339204,0.746721925813317
"48","LOC118540693",-1.05141328716439,3.24784698910523,0.00451562901386611,0.746721925813317
"49","CXCL8",-1.43224010917541,1.99164510573185,0.00451647836291546,0.746721925813317
"50","COL2A1",-1.29761792390098,0.710239724362398,0.00465498781088419,0.746721925813317
"51","LOC118554123",-2.10094839262277,1.22005603639668,0.00468103050564292,0.746721925813317
"52","ZNF783",1.02501035252641,1.97979930958273,0.00544653433890389,0.746721925813317
"53","CCDC88C",3.04383871379826,2.23786570933876,0.0057008636112908,0.746721925813317
"54","CSKMT",1.01611252898258,1.43569082531566,0.00577013769184658,0.746721925813317
"55","FRG1",-1.10285232714568,2.67286178832023,0.00617839683990965,0.746721925813317
"56","CD200R1L",-1.51705872557111,2.75643262770753,0.00624117854069202,0.746721925813317
"57","LOC118519247",-1.0877732755559,3.4834777317828,0.00637848298338012,0.746721925813317
"58","F8A1",1.62794716421031,1.49572046799086,0.00639715364605012,0.746721925813317
"59","LOC118535763",-1.0764448516027,1.34899612916542,0.00646762960808102,0.746721925813317
"60","LOC118537069",-1.80631082128392,2.37078381346221,0.00673592332877463,0.746721925813317
"61","CELA1",2.52419237335856,-0.0521992934782353,0.00693435638606427,0.746721925813317
"62","MARCHF1",-1.10579084801025,7.3016470301399,0.00696387584455215,0.746721925813317
"63","WARS1",1.15086062240316,8.87460145868451,0.00697955023480478,0.746721925813317
"64","BATF3",1.14339622550924,1.81273809656373,0.00708753339330099,0.746721925813317
"65","LOC118546003",-1.54473011252812,0.345719132970636,0.00720025532865046,0.746721925813317
"66","KCNC3",2.46877412544312,1.1549104952632,0.00802110611230007,0.746721925813317
"67","SUSD2",1.00769865657489,1.93331153118622,0.00805551628203159,0.746721925813317
"68","TREX2",3.4903648529517,0.220162573970404,0.00838893069297741,0.746721925813317
"69","STEAP4",-1.01283983729902,6.6212284633147,0.00842276396441597,0.746721925813317
"70","COL24A1",-1.23064246423953,2.17484217900994,0.00848296468095023,0.746721925813317
"71","C1QB",1.563292803743,3.35574487706242,0.00861228502587751,0.746721925813317
"72","MARCH1",3.82731093489755,4.15282709309643,0.00861252064905363,0.746721925813317
"73","PIGO",1.22671806782525,4.53565878204298,0.00881867571166915,0.746721925813317
"74","GOLT1B",-1.01464557905647,2.42049534847513,0.00897623922111063,0.746721925813317
"75","DPM3",1.06146823655748,2.5103769317567,0.0093260377990157,0.746721925813317
"76","TPP1",1.11061233664233,3.84239162354098,0.00944940246249077,0.746721925813317
"77","FBXL14",1.1715269695808,3.70638644271974,0.00947374843216823,0.746721925813317
"78","SDSL",1.20459233708946,0.690654921925213,0.00964972064652913,0.746721925813317
"79","RPL22L1",2.45565059953352,3.9322953915851,0.00972617712207416,0.746721925813317
"80","RBM38",1.14822498224344,3.94147426718262,0.00986009777263202,0.746721925813317
"81","TSPAN2",-1.01082690162628,4.6509083598915,0.00998008416650521,0.746721925813317
"82","EEF1A2",1.63794337132436,2.02288719990789,0.00999311058169807,0.746721925813317
"83","VIPR1",1.04133957698104,1.37022609718177,0.0106800806957063,0.746721925813317
"84","SLC4A1",-1.46422946008215,4.98454910895752,0.0112819954681518,0.746721925813317
"85","LOC118532041",-1.27848641057786,0.764819740511784,0.01196057997894,0.746721925813317
"86","SPTB",-1.29682064946317,4.76194788153235,0.0123107192795089,0.746721925813317
"87","FLYWCH1",1.08666586938592,3.53991485516779,0.0124086553370863,0.746721925813317
