"","gene","logFC","logCPM","PValue","FDR"
"1","APBA3",-6.48917883648972,2.29402818986378,1.44131150695003e-06,0.0182124122018205
"2","LOC118544129",2.23228336291039,1.40202236018151,0.000439313342751042,1
"3","CCDC142",2.44173208044799,0.983025078778438,0.00075806165494564,1
"4","GUCD1",-3.39562300694592,4.99960612888012,0.000775176139380056,1
"5","TTLL4",-1.09432282438559,4.46947690722978,0.000936732788225758,1
"6","LOC118540837",-4.18674725591119,4.73884268245425,0.00149757316931508,1
"7","LOC118535634",7.15955620039517,1.57549784595689,0.00150248362993617,1
"8","ALDH4A1",-1.65284519027857,3.00764064604364,0.00151013271954453,1
"9","NEURL1B",-3.16734611207968,1.47776446168399,0.00177001243207874,1
"10","ZNF408",-1.33533011031094,3.14948927567404,0.0018317460712653,1
"11","PIGBOS1",2.1432724769275,1.39183801810617,0.00217901963256801,1
"12","APOL2",-1.23969515763525,6.45466218331679,0.00267077511583189,1
"13","RPL26",2.22009449018251,6.77155415813242,0.00337558397408746,1
"14","LOC118552109",-1.44285184571839,4.40333997220978,0.00340294122972868,1
"15","RRAD",2.95627133591753,0.15323739411568,0.00347125793916469,1
"16","PFDN4",3.12667304793806,0.715755842697468,0.00363655078174178,1
"17","CITED2",-1.00166746298559,4.29580169039779,0.00383593026291718,1
"18","MDP1",1.91144938359701,1.85694872776856,0.00388791907367669,1
"19","LOC118519633",-2.26316433335008,0.987772434174172,0.0044028997884162,1
"20","ADAMDEC1",1.62196711339194,4.39460489980304,0.00531405295910642,1
"21","MARCH1",4.30238391908611,4.15282709309643,0.00614419969969042,1
"22","LOC118550966",-3.56843593401598,1.15136441928538,0.00615031334557366,1
"23","ANPEP",-1.21792997265379,4.80165406063644,0.00646397035155591,1
"24","IGSF3",1.42871334251193,1.9121188452905,0.00682663312270446,1
"25","ATG16L2",-1.35175669574044,4.84174766729233,0.00747046981249048,1
"26","KRCC1",1.04553963793813,3.44113776423278,0.00758934175559473,1
"27","RPL22L1",2.8390104204285,3.9322953915851,0.00763718641385946,1
"28","MDM2",1.10787988008286,4.64721711124437,0.0077779773911576,1
"29","NSUN3",1.38878425757222,3.47010900573939,0.00866138951238568,1
"30","PCLO",1.70002335881431,0.658304039063307,0.00903427138525913,1
"31","ACOT1",1.165498793623,1.22779023967878,0.00929900015305074,1
"32","FKBP1A",-2.5907291965733,4.68028831749854,0.00955775378954993,1
"33","TRAV18",-1.35186711127211,2.87321483021514,0.00963204690964597,1
"34","CUNH9orf3",-2.68061733063371,2.25483162222668,0.00975150231235538,1
"35","AK6",1.90581779824527,0.502311516044129,0.00976205875638651,1
"36","TUBB3",-1.61220971167345,2.60772041666936,0.00996825839668085,1
"37","TIAF1",-1.89514142762088,3.04071211093917,0.0100825471942762,1
"38","HTR6",3.94932145468155,0.467431990822278,0.0102302892285257,1
"39","ROGDI",-1.43520482566213,5.46853289887548,0.0103616538562595,1
"40","DNAJC2",1.08572196923593,3.51232234453842,0.0104039530212647,1
"41","LOC118523235",-3.01612802170254,0.449662819534052,0.01059331409857,1
"42","ZNF285",1.02129202653003,1.75901458395606,0.0112087417199604,1
