"","logFC","logCPM","PValue"
"A4GALT",-0.454214813078541,7.6732909882551,0.220714341240713
"AAAS",0.238982699419032,4.74166852735304,0.49212984536581
"AACS",0.419291691810372,5.30724034479629,0.144058113042399
"AAGAB",-0.186020866987985,6.51346494902515,0.411921143943364
"AAK1",0.0881008439148234,5.65055638976485,0.718457033762919
"AAMDC",0.676066209360157,1.8662911787843,0.254920896057263
"AANAT",-0.77421590351168,2.02383883730872,0.149861156514116
"AAR2",-0.069234021086405,5.07752063435458,0.783557497143562
"AARE",-5.14489505319087,1.4426927746202,0.00204031386294711
"AARS1",0.0168368749344057,6.34931936231835,0.94650750664483
"AARS2",0.0274887771471205,3.50876328185178,0.92139461659763
"AARSD1",-0.133964114810108,5.40534770027081,0.658447592164706
"AASDH",0.167883857179068,4.52813059312104,0.620210273043777
"AASDHPPT",0.177415620637049,4.40971837907268,0.499702976211174
"AATF",-0.01150901874504,5.22495310263266,0.956478904055057
"AATK",-0.331500477051233,5.9482042796457,0.338904638798505
"ABAT",0.698694892712787,2.69868405680728,0.090433794787887
"ABCA1",0.0685031498980313,6.63763442887528,0.870305951242595
"ABCA12",0.129290889787346,0.765859427317918,0.839441203342502
"ABCA13",-0.219209411465525,0.974741489546442,0.772457675070306
"ABCA2",0.647752979228425,5.71557485864573,0.0933145597615381
"ABCA3",-0.203919586931818,4.76324287971377,0.545711519095532
"ABCA5",0.189917201762937,2.4089154029246,0.636931146238391
"ABCA6",0.746226311430766,2.66882987079957,0.152274000554056
"ABCA7",-0.347712128173065,5.32365438499375,0.385356836280164
"ABCB1",-0.929156790580039,0.388901773486403,0.183717053658659
"ABCB10",-0.0668813402494418,3.69040180218403,0.917285956122935
"ABCB11",-0.243794167231699,2.92696272366999,0.735425181955935
"ABCB6",0.933793522870258,3.93577224605212,0.0781570400025352
"ABCB7",0.157127454802203,3.56052925575267,0.635478340669243
"ABCB8",0.0562344605467999,4.9521508091539,0.867633579159633
"ABCC1",0.503432216061487,5.76201757630749,0.0480340234978326
"ABCC10",-0.632204406088066,3.15954044544426,0.373466265646808
"ABCC3",-0.805204547544246,5.31395479959271,0.0199401913547461
"ABCC4",-0.0199026339523679,3.58931640736836,0.999079136232861
"ABCC5",0.216542029925473,4.45434608378069,0.441426557919252
"ABCC9",-0.550384341014956,4.38552977329489,0.379185514840506
"ABCD2",-0.395944723259236,0.950137385693354,0.455196910156278
"ABCD3",0.291232097237908,2.90372791917397,0.516522884054817
"ABCD4",-0.231785627467759,5.9084017401117,0.330218992534909
"ABCE1",0.250101693305536,5.17434321757719,0.53390539663961
"ABCF1",0.0859551486993876,7.27938569325646,0.675079410645177
"ABCF3",-0.0765075116851332,6.49594199657642,0.73114027613631
"ABCG1",0.0670068157238091,5.90570282061944,0.806528710245483
"ABCG2",0.151982745875984,4.65242883597329,0.528854823739432
"ABHD10",0.349427366640187,3.19991052722015,0.274174508609497
"ABHD11",0.0695735198884388,2.97546069127787,0.936853596397092
"ABHD12",0.0182054481022286,4.71093612198856,0.965942444821198
"ABHD12B",-0.246185446293251,3.39363212982814,0.621365684444465
"ABHD13",-0.107618708839365,4.9034611282318,0.779652005120497
"ABHD14A",-0.23304116585717,3.52054289902181,0.570153458987333
"ABHD14B",-0.469773776316083,4.55778371646973,0.168531233189283
"ABHD15",0.033407350192265,1.5121020008953,0.964828398442802
"ABHD16A",-0.189603133917978,6.69610012294774,0.416769247397547
"ABHD17A",-0.0195498237779754,5.89437952862129,0.956693520883913
"ABHD17B",0.276359114899166,3.58038059826471,0.433159626854228
"ABHD17C",0.120344964393897,3.49746230569936,0.686876254355461
"ABHD18",0.192052003135478,3.72618591401687,0.552710057957253
"ABHD2",-0.416629892248862,9.12323282862223,0.165209589716512
"ABHD3",-1.61141941779308,1.26551695882236,0.0109765163262832
"ABHD4",-0.0669554771050608,5.2429396814567,0.874714536433034
"ABHD5",-0.206473481297285,6.1195100034998,0.436173120516846
"ABHD6",-0.209480699166284,5.33978325221171,0.377240419536747
"ABHD8",0.210714053007932,3.47637446436734,0.592347878745217
"ABI1",-0.106971874961372,6.81631083672161,0.770058253945366
"ABI2",-0.00611943181236383,2.20117869827383,0.955634523379945
"ABI3",-0.495193799198879,3.37352940287831,0.580391907848707
"ABITRAM",-0.217056382485823,5.21227544722215,0.354508229567846
"ABL1",0.234460859781565,4.4356024967871,0.46764213670348
"ABL2",0.232961259817293,4.71764735772641,0.392040798799823
"ABLIM1",0.255704135298051,8.27270838969714,0.338245019509152
"ABLIM2",0.110056513616316,1.92056282096863,0.850875473515243
"ABO",-0.0390971683821736,0.551500215740922,0.943992101692455
"ABR",-0.027110270366134,6.46835721089152,0.928872192305786
"ABRACL",0.477458215964071,4.72312926298969,0.268982231517371
"ABRAXAS1",0.170024111540607,3.16706673869443,0.726591943325674
"ABRAXAS2",0.115856476528415,4.60138435839148,0.628599222836257
"ABT1",0.147831758766683,4.72044303751048,0.59155207724281
"ABTB1",-0.64378199263832,8.24369080282378,0.136465316902594
"ABTB2",-0.313465133970813,2.51821156168053,0.568573187508686
"ACAA1",-0.114051340437246,6.75137055983181,0.748666879753252
"ACAA2",-0.144388444278052,7.0008418107996,0.540905888738686
"ACACA",0.36048494443366,5.23796820091012,0.166577790603848
"ACACB",-0.11762569862509,6.16673414797453,0.660247935996766
"ACAD10",-0.126121224040985,2.18715921705607,0.724760608057238
"ACAD11",0.189422543283686,2.76113276628542,0.512377236747882
"ACAD8",0.545739249292754,4.09506984412326,0.0559317403028253
"ACAD9",0.299866643756195,4.95866726941895,0.285161481352363
"ACADL",-0.166616798306522,5.1242903091637,0.500881816127026
"ACADM",0.329669648399908,4.73399059757407,0.301159347142692
"ACADS",0.228741775380613,4.20242454349464,0.513305678978596
"ACADSB",0.219910218132851,3.26938230853474,0.519933969208156
"ACADVL",0.0134524937146708,7.09356061756121,0.955662892797781
"ACAP1",-0.183836093695561,8.43185022049788,0.582025355442007
"ACAP2",-0.0739547292758088,7.16033467260809,0.890740407626616
"ACAP3",-0.153204918373675,3.93832130407914,0.635013165050671
"ACAT1",0.0270360290347112,6.1934978083138,0.919846806623731
"ACAT2",-0.0123635098831774,5.06163152286606,0.95932767992814
"ACBD3",0.0143879201252185,5.33105126633197,0.926901279006598
"ACBD4",0.00780943664195863,4.24684132775605,0.994841132143147
"ACBD5",-0.119446852898738,5.99475021759755,0.717388298789858
"ACBD6",0.355430453720882,3.57276704946814,0.204185152610282
"ACCS",-2.20716970285081,1.93840189350181,0.048952786091413
"ACD",1.28154639312874,1.80574982940146,0.0813433523718359
"ACER1",-0.0776661714389252,1.62050863765131,0.938737260834541
"ACER2",-0.192652875387083,4.12857345641429,0.570611412956039
"ACER3",-0.149715788385307,4.4418043654927,0.717218293294855
"ACIN1",-0.205467881243912,7.64472996408731,0.44375706534681
"ACKR1",1.01030177260263,3.4688899492934,0.115322786767073
"ACLY",0.042512555807242,6.8807121712861,0.869047435615238
"ACO1",-0.0674980349405786,6.03114229393621,0.765506601795613
"ACO2",-0.0627869099131197,7.01435977486648,0.812086775611345
"ACOD1",-0.0838242274331274,5.83806649579069,0.89421655008009
"ACOT1",0.84238459085348,1.22779023967878,0.0564607383550708
"ACOT11",-0.284158301915742,4.31148398559554,0.344291832748521
"ACOT13",0.0455683204562158,4.10080123684631,0.910756154773011
"ACOT6",-0.179025526175947,0.993793642078307,0.809863505143265
"ACOT7",0.0326341479967328,3.43640647691541,0.944309717575954
"ACOT8",-0.00542050461794043,5.33763786549285,0.987551826885009
"ACOT9",0.002891473539978,4.93946513232985,1
"ACOX1",0.0211464125061342,4.39353144633182,0.914646961715515
"ACOX3",0.455282151693366,2.30911827536224,0.182396424907868
"ACOXL",-0.0190948475203572,1.12307421690158,0.934482004372232
"ACP1",0.0762472601715909,4.72730343772087,0.800838841642433
"ACP2",-0.0463109057053197,2.46222970963493,0.917005456158615
"ACP3",-0.555837446894295,4.59478535462234,0.189274408190328
