"","logFC","logCPM","PValue"
"A4GALT",0.394858944543944,7.6732909882551,0.195958802969806
"AAAS",0.233280080001966,4.74166852735304,0.434505782655457
"AACS",0.32950240076838,5.30724034479629,0.178996885740595
"AAGAB",-0.0454331289537813,6.51346494902515,0.803415593265971
"AAK1",-0.238501199117919,5.65055638976485,0.287091288709754
"AAMDC",0.478434017930153,1.8662911787843,0.356120247882237
"AANAT",0.788599460351893,2.02383883730872,0.0835411826380362
"AAR2",0.125489873169564,5.07752063435458,0.612690293333243
"AARE",-0.331420708343267,1.4426927746202,0.721658835435613
"AARS1",0.204934304579921,6.34931936231835,0.332081079487041
"AARS2",0.119004292606802,3.50876328185178,0.772309166106248
"AARSD1",0.15414113026423,5.40534770027081,0.573613799655571
"AASDH",-0.334491418085713,4.52813059312104,0.286156823589097
"AASDHPPT",-0.0498240092975996,4.40971837907268,0.884510986974876
"AATF",0.0460628323416544,5.22495310263266,0.874495893464547
"AATK",0.601274245713909,5.9482042796457,0.0348837162454028
"ABAT",0.217117592298648,2.69868405680728,0.550981896357684
"ABCA1",0.162126447399114,6.63763442887528,0.710071412564372
"ABCA12",-0.723431875719379,0.765859427317918,0.11218580947987
"ABCA13",-0.652579138090459,0.974741489546442,0.234549399248933
"ABCA2",0.35613312562721,5.71557485864573,0.284153406436167
"ABCA3",0.255350575533761,4.76324287971377,0.354694173515181
"ABCA5",-0.500384241214347,2.4089154029246,0.238542189324338
"ABCA6",-0.0730510510408814,2.66882987079957,0.907210505792199
"ABCA7",0.434511301677818,5.32365438499375,0.187737014869937
"ABCB1",-0.955415788876449,0.388901773486403,0.0859425818288996
"ABCB10",-0.357256908230064,3.69040180218403,0.275323225659977
"ABCB11",-0.0825571476102229,2.92696272366999,0.865756352647116
"ABCB6",0.294265169922299,3.93577224605212,0.545810866041756
"ABCB7",-0.361976186728436,3.56052925575267,0.22932807979319
"ABCB8",0.31231612997523,4.9521508091539,0.268661945809979
"ABCC1",0.276979565090728,5.76201757630749,0.202653395590679
"ABCC10",0.827383051664458,3.15954044544426,0.159236806969609
"ABCC3",0.159099459024841,5.31395479959271,0.586543029257298
"ABCC4",-0.328660219741502,3.58931640736836,0.248462962973491
"ABCC5",0.121238438312922,4.45434608378069,0.615630254323481
"ABCC9",-1.54823899877943,4.38552977329489,0.0014885345726926
