"","logFC","logCPM","PValue"
"A4GALT",-0.250890852017726,7.6732909882551,0.539664656752158
"AAAS",-0.14033392392577,4.74166852735304,0.723537215325272
"AACS",0.243020463759953,5.30724034479629,0.421664422305631
"AAGAB",0.0087060073580606,6.51346494902515,0.957452013066973
"AAK1",0.0358227543545253,5.65055638976485,0.871023053398679
"AAMDC",0.632343254741993,1.8662911787843,0.325287864864565
"AANAT",0.123618690689539,2.02383883730872,0.857099503394932
"AAR2",-0.259279772684428,5.07752063435458,0.37806849401463
"AARE",-1.76525314960942,1.4426927746202,0.287318505337806
"AARS1",-0.443221698497063,6.34931936231835,0.10738576077003
"AARS2",0.102739445906924,3.50876328185178,0.803334084011629
"AARSD1",-0.347369181759078,5.40534770027081,0.302136001862638
"AASDH",0.222122628347858,4.52813059312104,0.543333510296848
"AASDHPPT",0.221191650460216,4.40971837907268,0.432016398801398
"AATF",-0.579272115795878,5.22495310263266,0.0590922887039503
"AATK",0.160216423825869,5.9482042796457,0.642232602591707
"ABAT",0.324572073819941,2.69868405680728,0.449260104880803
"ABCA1",0.37140355993231,6.63763442887528,0.466223238651444
"ABCA12",-0.225151378471751,0.765859427317918,0.812149478672325
"ABCA13",0.0299444133533843,0.974741489546442,0.927220095888125
"ABCA2",0.196734765446607,5.71557485864573,0.616281129479805
"ABCA3",0.00950187559984911,4.76324287971377,0.967251815937365
"ABCA5",0.408750204247933,2.4089154029246,0.369472569804031
"ABCA6",0.465550463550063,2.66882987079957,0.394369311496787
"ABCA7",-0.13971210661384,5.32365438499375,0.756915781046889
"ABCB1",-0.58124118800539,0.388901773486403,0.458134140792487
"ABCB10",0.190652851774069,3.69040180218403,0.595894773092074
"ABCB11",-0.0905954380051509,2.92696272366999,0.937425279629946
"ABCB6",-0.43098735575144,3.93577224605212,0.489481284919816
"ABCB7",0.22853618239697,3.56052925575267,0.529443241867161
"ABCB8",-0.278636936988666,4.9521508091539,0.459022723053532
"ABCC1",-0.0108309891120942,5.76201757630749,0.997005056681294
"ABCC10",-0.266684836020915,3.15954044544426,0.745536819707135
"ABCC3",-0.175596575951684,5.31395479959271,0.639999336834762
"ABCC4",-0.0112115303059694,3.58931640736836,0.982739471276049
"ABCC5",0.182280248254219,4.45434608378069,0.536167264665528
"ABCC9",-0.648122155271397,4.38552977329489,0.345020584408269
"ABCD2",0.292070539001261,0.950137385693354,0.752678366051927
"ABCD3",0.405655001268981,2.90372791917397,0.387059004958188
"ABCD4",-0.0582035096825487,5.9084017401117,0.82334289766536
"ABCE1",0.282930659059912,5.17434321757719,0.504134194519224
"ABCF1",-0.0440251437960317,7.27938569325646,0.85874397240806
"ABCF3",-0.207783694606443,6.49594199657642,0.393833545649769
"ABCG1",0.244471973645434,5.90570282061944,0.43292678513676
"ABCG2",0.233162708569289,4.65242883597329,0.371215198587887
"ABHD10",0.127608517924254,3.19991052722015,0.681229115793169
"ABHD11",-0.416912893729327,2.97546069127787,0.291374003038967
"ABHD12",-0.22365603553873,4.71093612198856,0.496447505883834
"ABHD12B",-0.0873585942003946,3.39363212982814,0.8895217423974
"ABHD13",0.20815236435823,4.9034611282318,0.546531601144321
"ABHD14A",-0.154227263734076,3.52054289902181,0.723664363175134
"ABHD14B",-0.497603075167981,4.55778371646973,0.182453281174017
"ABHD15",0.125811299523583,1.5121020008953,0.766098767905768
"ABHD16A",-0.201784320866263,6.69610012294774,0.427555631999066
"ABHD17A",-0.23210923448385,5.89437952862129,0.543942224767853
"ABHD17B",0.246302035960393,3.58038059826471,0.500848672498567
"ABHD17C",-0.00175252625036928,3.49746230569936,1
"ABHD18",0.349211470202435,3.72618591401687,0.313325727784556
"ABHD2",-0.251201960654617,9.12323282862223,0.443864806959029
"ABHD3",0.703840335265161,1.26551695882236,0.253081794099768
"ABHD4",-0.461751185011839,5.2429396814567,0.272121411166097
"ABHD5",-0.0504924804147646,6.1195100034998,0.873822189417134
"ABHD6",0.0184591785288714,5.33978325221171,0.935118199104734
