"X","geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","userId","direction","disease_stage","go","approach"
1,"GO:0006614","SRP-dependent cotranslational protein targeting to membrane",90,9,0.517846693973084,17.3796610169492,1.80414283512675e-09,6.93429346027008e-06,"RPL26;SRP14;RPL22;RPS20;RPL34;RPL31;RPS7;RPS15A;RPL11","up","peak","bp","Genome"
2,"GO:0006613","cotranslational protein targeting to membrane",94,9,0.54086210259411,16.6401009736747,2.66960287209628e-09,6.93429346027008e-06,"RPL26;SRP14;RPL22;RPS20;RPL34;RPL31;RPS7;RPS15A;RPL11","up","peak","bp","Genome"
3,"GO:0045047","protein targeting to ER",101,9,0.581139067680905,15.4868266487666,5.0816062469039e-09,8.56850080596661e-06,"RPL26;SRP14;RPL22;RPS20;RPL34;RPL31;RPS7;RPS15A;RPL11","up","peak","bp","Genome"
4,"GO:0072599","establishment of protein localization to endoplasmic reticulum",104,9,0.598400624146674,15.0400912646675,6.59749821441125e-09,8.56850080596661e-06,"RPL26;SRP14;RPL22;RPS20;RPL34;RPL31;RPS7;RPS15A;RPL11","up","peak","bp","Genome"
5,"GO:0070972","protein localization to endoplasmic reticulum",128,9,0.73649307587283,12.2200741525424,4.11662114396805e-08,4.2771693685828e-05,"RPL26;SRP14;RPL22;RPS20;RPL34;RPL31;RPS7;RPS15A;RPL11","up","peak","bp","Genome"
6,"GO:0000956","nuclear-transcribed mRNA catabolic process",196,10,1.12775502243027,8.86717398823936,1.44085673836614e-07,0.000124754179263535,"RPL26;RPL22;RPS20;RPL34;RPL31;RPS7;LSM3;RPS15A;LSM5;RPL11","up","peak","bp","Genome"
7,"GO:0006612","protein targeting to membrane",159,9,0.914862492685781,9.83754397185801,2.67571238277142e-07,0.000187312904011833,"RPL26;SRP14;RPL22;RPS20;RPL34;RPL31;RPS7;RPS15A;RPL11","up","peak","bp","Genome"
8,"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",116,8,0.667446850009752,11.9859731151373,2.8845105526365e-07,0.000187312904011833,"RPL26;RPL22;RPS20;RPL34;RPL31;RPS7;RPS15A;RPL11","up","peak","bp","Genome"
9,"GO:0006402","mRNA catabolic process",286,11,1.64560171640335,6.6844850065189,5.58059929156585e-07,0.00032212459244094,"RPL26;RPL22;RPS20;RPL34;RPL31;RPS7;RBM38;LSM3;RPS15A;LSM5;RPL11","up","peak","bp","Genome"
10,"GO:0006413","translational initiation",177,9,1.0184318314804,8.83711577133008,6.64261366134511e-07,0.000345083779706878,"RPL26;DHX29;RPL22;RPS20;RPL34;RPL31;RPS7;RPS15A;RPL11","up","peak","bp","Genome"
11,"GO:0006401","RNA catabolic process",312,11,1.79520187244002,6.127444589309,1.31847610185254e-06,0.000622680304465813,"RPL26;RPL22;RPS20;RPL34;RPL31;RPS7;RBM38;LSM3;RPS15A;LSM5;RPL11","up","peak","bp","Genome"
12,"GO:1902253","regulation of intrinsic apoptotic signaling pathway by p53 class mediator",25,4,0.143846303881412,27.8074576271186,1.14266584383405e-05,0.00494679088226489,"RPL26;MDM2;RPS7;RPL11","up","peak","bp","Genome"
13,"GO:0046700","heterocycle catabolic process",493,12,2.83664911254145,4.23034345240142,1.88977522352918e-05,0.00669488551520381,"RPL26;HNMT;RPL22;RPS20;RPL34;RPL31;RPS7;RBM38;LSM3;RPS15A;LSM5;RPL11","up","peak","bp","Genome"
14,"GO:0044270","cellular nitrogen compound catabolic process",494,12,2.8424029646967,4.2217800041172,1.92837467233309e-05,0.00669488551520381,"RPL26;HNMT;RPL22;RPS20;RPL34;RPL31;RPS7;RBM38;LSM3;RPS15A;LSM5;RPL11","up","peak","bp","Genome"
15,"GO:0090150","establishment of protein localization to membrane",267,9,1.53627852545348,5.85831270234241,1.93307570217627e-05,0.00669488551520381,"RPL26;SRP14;RPL22;RPS20;RPL34;RPL31;RPS7;RPS15A;RPL11","up","peak","bp","Genome"
16,"GO:0006605","protein targeting",349,10,2.00809440218451,4.97984556359575,2.6052165678192e-05,0.00845881254363797,"RPL26;AKAP12;SRP14;RPL22;RPS20;RPL34;RPL31;RPS7;RPS15A;RPL11","up","peak","bp","Genome"
17,"GO:0034655","nucleobase-containing compound catabolic process",462,11,2.6582796957285,4.13801452784504,5.42514382519954e-05,0.0165786012775951,"RPL26;RPL22;RPS20;RPL34;RPL31;RPS7;RBM38;LSM3;RPS15A;LSM5;RPL11","up","peak","bp","Genome"
18,"GO:0032543","mitochondrial translation",128,6,0.73649307587283,8.14671610169492,8.81933149701197e-05,0.0254535706260984,"NSUN3;MRPL32;MRPL47;MRPL1;MRPL39;MRPL42","up","peak","bp","Genome"
20,"GO:0070125","mitochondrial translational elongation",85,5,0.489077433196801,10.2233300099701,0.000122448772109429,0.0302914938623088,"MRPL32;MRPL47;MRPL1;MRPL39;MRPL42","up","peak","bp","Genome"
21,"GO:0070126","mitochondrial translational termination",85,5,0.489077433196801,10.2233300099701,0.000122448772109429,0.0302914938623088,"MRPL32;MRPL47;MRPL1;MRPL39;MRPL42","up","peak","bp","Genome"
22,"GO:0006415","translational termination",95,5,0.546615954749366,9.14719000892061,0.000207019750918302,0.0488848911827537,"MRPL32;MRPL47;MRPL1;MRPL39;MRPL42","up","peak","bp","Genome"
23,"GO:0072376","protein activation cascade",43,5,0.285157011897796,17.5341997264022,8.74928746852355e-06,0.0454525483989798,"GP1BB;C1QB;C1QA;C1QC;F12","up","late","bp","Genome"
26,"GO:0004252","serine-type endopeptidase activity",72,6,0.48827746560744,12.2880952380952,8.59299089717158e-06,0.0078469256974949,"CELA1;C1QB;TPP1;C1QA;C1QC;F12","up","late","mf","Genome"
27,"GO:0008236","serine-type peptidase activity",86,6,0.583220306142221,10.287707641196,2.40023310109638e-05,0.0078469256974949,"CELA1;C1QB;TPP1;C1QA;C1QC;F12","up","late","mf","Genome"
28,"GO:0017171","serine hydrolase activity",87,6,0.590001937608991,10.1694581280788,2.56435480310291e-05,0.0078469256974949,"CELA1;C1QB;TPP1;C1QA;C1QC;F12","up","late","mf","Genome"
29,"GO:0035580","specific granule lumen",47,5,0.270064054257724,18.5141262643879,6.75662766824736e-06,0.00456072367606697,"LCN2;BPI;CAMP;CHIT1;CHI3L1","down","acute","cc","Genome"
30,"GO:0005581","collagen trimer",31,4,0.178127354935946,22.455843469064,2.76416116915534e-05,0.00932904394589928,"COL1A2;EDA;MSR1;COL2A1","down","acute","cc","Genome"
31,"GO:0031983","vesicle lumen",250,8,1.43651092690279,5.56904918032787,8.46679043560172e-05,0.0142877088600779,"LCN2;MPO;BPI;CAMP;CHIT1;FN1;CHI3L1;APOE","down","acute","cc","Genome"
32,"GO:0060205","cytoplasmic vesicle lumen",250,8,1.43651092690279,5.56904918032787,8.46679043560172e-05,0.0142877088600779,"LCN2;MPO;BPI;CAMP;CHIT1;FN1;CHI3L1;APOE","down","acute","cc","Genome"
39,"GO:0044445","cytosolic part",203,10,1.16644687264506,8.57304368892837,2.02100047363984e-07,2.27362553284483e-05,"RPL26;RPL22L1;RPL22;RPS20;RPL34;RPL31;RPS7;MRPL1;RPS15A;RPL11","up","peak","cc","Genome"
40,"GO:0000315","organellar large ribosomal subunit",52,5,0.29879427279578,16.733921815889,1.11987875053288e-05,0.000944897695762115,"NSUN3;MRPL32;MRPL47;MRPL39;MRPL42","up","peak","cc","Genome"
41,"GO:0005762","mitochondrial large ribosomal subunit",52,5,0.29879427279578,16.733921815889,1.11987875053288e-05,0.000944897695762115,"NSUN3;MRPL32;MRPL47;MRPL39;MRPL42","up","peak","cc","Genome"
42,"GO:0046540","U4/U6 x U5 tri-snRNP complex",32,4,0.183873398643557,21.7540983606557,3.14550510351896e-05,0.00200476813124045,"SNRPG;LSM3;LSM8;LSM5","up","peak","cc","Genome"
43,"GO:0097526","spliceosomal tri-snRNP complex",32,4,0.183873398643557,21.7540983606557,3.14550510351896e-05,0.00200476813124045,"SNRPG;LSM3;LSM8;LSM5","up","peak","cc","Genome"
44,"GO:0071005","U2-type precatalytic spliceosome",33,4,0.189619442351168,21.0948832588177,3.56403223331636e-05,0.00200476813124045,"SNRPG;LSM3;LSM8;LSM5","up","peak","cc","Genome"
45,"GO:0071011","precatalytic spliceosome",33,4,0.189619442351168,21.0948832588177,3.56403223331636e-05,0.00200476813124045,"SNRPG;LSM3;LSM8;LSM5","up","peak","cc","Genome"
46,"GO:0000313","organellar ribosome",82,5,0.471175584024115,10.6117552978808,0.000103050993549791,0.00496853004615066,"NSUN3;MRPL32;MRPL47;MRPL39;MRPL42","up","peak","cc","Genome"
47,"GO:0005761","mitochondrial ribosome",82,5,0.471175584024115,10.6117552978808,0.000103050993549791,0.00496853004615066,"NSUN3;MRPL32;MRPL47;MRPL39;MRPL42","up","peak","cc","Genome"
48,"GO:0097525","spliceosomal snRNP complex",56,4,0.321778447626225,12.4309133489461,0.000289856702016311,0.013043551590734,"SNRPG;LSM3;LSM8;LSM5","up","peak","cc","Genome"
49,"GO:0098798","mitochondrial protein complex",233,7,1.3388281838734,5.22845282487863,0.000356790187986622,0.0150520860556856,"NSUN3;MRPL32;MRPL47;APOOL;MRPL39;COX7C;MRPL42","up","peak","cc","Genome"
50,"GO:0030532","small nuclear ribonucleoprotein complex",63,4,0.362000753579503,11.0497007546188,0.000456207689136567,0.0181141288333637,"SNRPG;LSM3;LSM8;LSM5","up","peak","cc","Genome"
52,"GO:0120114","Sm-like protein family complex",72,4,0.413715146948003,9.66848816029144,0.000758177414797112,0.026935250262529,"SNRPG;LSM3;LSM8;LSM5","up","peak","cc","Genome"
53,"GO:0005684","U2-type spliceosomal complex",74,4,0.425207234363225,9.40717766947275,0.000840748179820716,0.0283752510689492,"SNRPG;LSM3;LSM8;LSM5","up","peak","cc","Genome"
