"","gene","logFC","logCPM","PValue","FDR"
"1","LOC118540837",-3.76230183863699,4.7589024242306,4.71346862650192e-06,0.0282077529953007
"2","ITGB5",-1.13438199561065,6.14634023347248,0.000139459699004823,0.312101561216146
"3","TCN2",-1.123653258894,5.33641104504691,0.00014457936656306,0.312101561216146
"4","C1QB",-2.16925332225001,3.36615631199344,0.000221228760250856,0.312101561216146
"5","IFI6",-3.47453096121442,5.41058727498095,0.000244851509470311,0.312101561216146
"6","VIPR1",-1.4308220509571,1.37151127645802,0.000294296378611511,0.312101561216146
"7","BATF2",-2.30110716806059,4.0641928956222,0.000300071280720234,0.312101561216146
"8","NR1H3",-1.13267965273141,3.70548162236151,0.000321330395669322,0.312101561216146
"9","CPNE2",-1.06775613352297,3.36706767398304,0.000364725453454997,0.312101561216146
"10","C2",-2.75417809738198,3.29469003780721,0.000365392390730386,0.312101561216146
"11","MOCS1",-1.29944085393214,3.80031501642917,0.00040697591183673,0.312101561216146
"12","APBA3",-2.57072781127688,2.28933501299148,0.000417213215762247,0.312101561216146
"13","ROGDI",-1.2456403619663,5.46390305977003,0.000526353211961428,0.345908380519033
"14","LY6H",-1.16756250215504,7.25974951978289,0.000552928608319192,0.345908380519033
"15","C1QC",-1.46488503566918,3.39466544378934,0.000587155885614484,0.345908380519033
"16","CA2",1.91040849497688,2.48397521390476,0.000807230006136391,0.386469437737859
"17","DYRK3",1.290674867852,3.10327934000433,0.000853536773329386,0.392922370768439
"18","DNAJB4",1.21854390712015,2.31098552585773,0.00109609002154515,0.407418534341156
"19","PEX14",-2.39473249037035,2.24379188946216,0.0011722347263031,0.407418534341156
"20","C1QA",-1.3078882475472,3.29998658788758,0.00117716604151605,0.407418534341156
"21","GP1BB",-1.78839750113412,2.57633355076072,0.00140067928205583,0.426465500451535
"22","GLO1",1.22160096322043,2.66842264377394,0.00144302577126053,0.426465500451535
"23","ATG16L2",-1.00239100741258,4.83486453676553,0.00168516484804823,0.426465500451535
"24","TIPIN",1.03204827810488,2.30098999797771,0.00175815362259082,0.426465500451535
"25","WARS1",-1.26880808975828,8.88386987766713,0.00190715983128576,0.426465500451535
"26","GPBAR1",-1.0692057930988,4.25555534303014,0.00191125460598315,0.426465500451535
"27","CANT1",-1.07442136189273,8.6552716268587,0.0019550183758415,0.426465500451535
"28","PGA4",1.75205589587262,3.09537919002676,0.00206705148021242,0.426465500451535
"29","IL15RA",-1.55455493967822,4.00717659584087,0.00231119761966086,0.426465500451535
"30","SLC49A3",-1.21168709322039,4.59216332927851,0.00232762070486579,0.426465500451535
"31","LOC118544129",1.25275545601922,1.39684577406317,0.00278064188387941,0.426465500451535
"32","HLX",-1.02596915645384,6.18844343302893,0.0028697043069377,0.426465500451535
"33","ANKRD33",-1.15687329794226,1.49681923286195,0.00297741469400673,0.426465500451535
"34","SLC4A1",1.49056924735823,5.00368555606461,0.00303141694791075,0.426465500451535
"35","CPXM1",-1.01805211021557,2.87417757485837,0.00307834309176389,0.426465500451535
"36","IFITM3",-1.08847909569765,6.93814853099847,0.00310353384797939,0.426465500451535
"37","ZNF292",1.06595128139103,5.43490728021562,0.00314186659293801,0.426465500451535
"38","SCUBE1",1.57460610355057,4.41654931446122,0.00336769710909071,0.426465500451535
"39","CFB",-1.43782701621226,3.03182751217942,0.00366511941891832,0.426465500451535
"40","H1-10",-1.21231201152945,5.26235255769026,0.00370336101548196,0.426465500451535
"41","SIGLECL1",-1.04751541223315,4.82654296950396,0.00379013867305776,0.426465500451535
"42","IDO1",-2.08879730862043,6.68866137455441,0.00379208930088908,0.426465500451535
"43","SLC25A48",-1.37116033500089,2.555861143813,0.0038596305527567,0.426465500451535
"44","TSPAN11",-1.00681368212297,3.6956901230135,0.00391049450581099,0.426465500451535
"45","LOC118518704",-2.45778285800966,2.26687590953906,0.0041537185230261,0.426465500451535
"46","NSUN3",1.14559371028598,3.4747903697169,0.00419807219183012,0.426465500451535
"47","CCL8L",-2.62412470214061,2.71550910563236,0.00463772389089274,0.426465500451535
"48","PADI4",-1.0318132284092,4.92075355959888,0.00490767691396984,0.426465500451535
"49","SIGLEC1",-1.82397180471499,5.2603191757099,0.00561725905195692,0.426465500451535
"50","OASL",-1.12499152824234,7.12145895220592,0.00570806585122013,0.426465500451535
"51","CFD",-1.04095854307465,9.73304450279611,0.00613548286042964,0.426465500451535
