"","logFC","logCPM","PValue"
"A4GALT",-0.579655214712161,7.67146233181576,0.0286426058858287
"AAAS",-0.0506319770418667,4.73939641014848,0.841478888648992
"AACS",0.145933411580988,5.30701293027684,0.470834483347863
"AAGAB",-0.0733390237502913,6.51689771994221,0.654636775112501
"AAK1",0.180752309741218,5.65199163603959,0.319615907000636
"AAMDC",0.376332362526164,1.86285791303743,0.361828006501854
"AANAT",-0.801364004688468,2.02659041893339,0.046834650018977
"AAR2",-0.220259724668126,5.07517304089951,0.236228029011821
"AARE",-2.59609676640634,1.4305951279359,0.014743482068276
"AARS1",-0.285563218410561,6.34968385195526,0.118800255746024
"AARS2",-0.0124861072609343,3.51231406825993,1
"AARSD1",-0.306774144597958,5.4009529126214,0.14901466734889
"AASDH",0.354643250330728,4.52945295203613,0.158555515800227
"AASDHPPT",0.212777420024093,4.41143216667062,0.266370267019072
"AATF",-0.259272648343867,5.22353686635973,0.191894788291344
"AATK",-0.452213442820892,5.94914722058274,0.0833498522542623
"ABAT",0.409418849314609,2.69621051453777,0.151925487886075
"ABCA1",0.114208993752218,6.64109170766529,0.726376392699749
"ABCA12",0.333028972071065,0.765531528688278,0.410607627615309
"ABCA13",0.207868808500918,0.974796653305306,0.640020929594079
"ABCA2",0.250791910231453,5.71446237862204,0.35898550572389
"ABCA3",-0.251554084203401,4.76408675629702,0.287880313510547
"ABCA5",0.533246971396874,2.4095255596568,0.0911568734079341
"ABCA6",0.654872040983216,2.67128714258096,0.073323716914659
"ABCA7",-0.503315374451702,5.32364581342343,0.0780092847085213
"ABCB10",0.2349392444616,3.69371297799988,0.352944952059341
"ABCB11",-0.129933665329487,2.93447758312133,0.798027331390813
"ABCB6",0.335714263074235,3.9412340585395,0.38051111893599
"ABCB7",0.372348889699493,3.56187296939229,0.128424672963042
"ABCB8",-0.261743705497287,4.95302424986432,0.27961695993117
"ABCC1",0.129865161263563,5.7618878540329,0.483895308704079
"ABCC10",-0.987908825770768,3.15622041238677,0.052791029390788
"ABCC3",-0.579078462590805,5.31373341163408,0.0196432168425898
"ABCC4",0.142842806546961,3.59148523898917,0.515483981409578
"ABCC5",0.124204227011799,4.45439043116292,0.52244560282733
"ABCC9",0.0672984460358843,4.39211427091633,0.851109641304699
"ABCD2",-0.360760544745925,0.948266990717087,0.362634336524909
"ABCD3",0.579516825651746,2.90213198417995,0.0750540690836069
"ABCD4",-0.314123009225168,5.90892810365201,0.0663413646944095
"ABCE1",0.530020105856038,5.17426026808572,0.0724910911507351
"ABCF1",-0.0575660905795114,7.2803758887534,0.704840833482342
"ABCF3",-0.210246490020754,6.49679292954606,0.180955918702325
"ABCG1",-0.271071242052804,5.90820783504893,0.266213066072781
"ABCG2",0.239287716810265,4.65348324998442,0.166776164905393
"ABHD10",0.185933411326778,3.20042970632696,0.405631230483682
"ABHD11",-0.371460214909783,2.97269220409933,0.157150229737388
"ABHD12",-0.309215689654406,4.71011014518096,0.152887350295202
"ABHD12B",-0.0398650057649453,3.40012180233888,0.938048205493309
"ABHD13",0.385108099726362,4.90449760966194,0.129289236647584
"ABHD14A",-0.35388283572246,3.51614536555207,0.220546164771277
"ABHD14B",-0.64772619018462,4.5554158162861,0.00750448008072305
"ABHD15",-0.0471537416588307,1.51229501717374,0.911738125445517
"ABHD16A",-0.344808138439296,6.69731209144627,0.0393004171143429
