"","logFC","logCPM","PValue","FDR"
"LOC118520801",-13.4704323746584,5.10682768855643,2.1675921010638e-310,3.04828477172602e-306
"LOC118526780",-12.5930133626431,4.25113240951301,3.41272380261291e-213,2.39965674180727e-209
"LOC118550168",-8.3159944109098,3.03262959680253,1.38142981604208e-129,6.47568250099993e-126
"LOC118550431",-10.3180918936846,2.11216915290483,4.94612346329774e-102,1.7389333566089e-98
"LOC118528221",-10.0542988830883,1.88039586109673,4.58093725041262e-94,1.28843441105105e-90
"LOC118548927",-8.61035631089079,1.01430075341516,1.62934449497598e-56,3.81891193880786e-53
"LOC118552575",-5.2060107056483,2.07983400266009,2.21394690585104e-50,4.44781933385475e-47
"LOC118006907",-7.81085289313485,0.125714776367081,1.20046614409777e-44,2.11026942305587e-41
"LOC118522559",-7.4079473371813,0.31299106528029,1.61396197210949e-42,2.52190524597509e-39
"LOC118522855",-7.8477763285962,0.171856119605471,2.48039182822407e-41,3.48817502803151e-38
"LOC115941092",11.7448140945397,6.12791135636742,1.6086863664495e-28,2.05663239739812e-25
"LOC118543160",-6.96862340544195,-0.40199877771756,1.70625151487755e-22,1.99958458781025e-19
"LOC118518687",-9.25251736206835,1.15515756275124,1.89147832241941e-17,2.04614304986032e-14
"LOC118519639",-6.50560684771128,-0.454823080910287,3.87931461647918e-11,3.89677153225334e-08
"VCAM1",-5.46637200833217,1.05347800492162,4.50860999633718e-11,4.22697215856598e-08
"CXCL12",-6.96921739577488,2.4821922166467,1.07946996155164e-10,9.48786629331295e-08
"TIMD4",-3.64235554263094,0.619815118516523,5.583992169283e-10,4.42739255122329e-07
"COL1A2",-4.29461454267598,3.35762553111629,5.69442809530858e-10,4.42739255122329e-07
"MPO",-4.32334930988555,2.1904815978342,5.98168658701859e-10,4.42739255122329e-07
"LOC118551181",-5.21948217908275,-1.01665240405419,7.9429635287872e-10,5.58509480526672e-07
"LOC118520512",-4.99957838407966,-1.08036575771338,1.89646227129135e-09,1.26999756767477e-06
"RAG1",-3.99419863676182,0.434891729419591,6.09374905036027e-09,3.8952905861462e-06
"ITGAD",-3.16198537729269,0.65925604698146,6.65115443074837e-09,4.06674716346149e-06
"LUM",-5.511828537477,0.155364976489738,7.27983050482268e-09,4.26567734955505e-06
"LOC118521685",-5.00039304014565,-0.652800250240977,9.51480237362965e-09,5.35226663121415e-06
"LOC118521968",-3.61865953999003,-0.0233595952189597,1.06215715837921e-08,5.74504466087955e-06
"LOC118528690",-3.00053620285289,3.0448760020817,2.05378967864855e-08,1.06972015743832e-05
"TRABD2B",-5.05054228932057,-0.988625275912877,5.72108007472178e-08,2.87341246752901e-05
"PKLR",-4.02762560735896,-0.47105303950711,1.1177674475441e-07,5.329703270907e-05
"DNTT",-4.20171725378326,1.43276835838897,1.14799168852464e-07,5.329703270907e-05
"EPX",-3.03902113178864,2.57655237377258,1.17486170374825e-07,5.329703270907e-05
"LOC118541414",-4.89268797804793,-1.08759214709726,1.2589076993544e-07,5.53250593000653e-05
"IGFBP2",-3.72825482264527,0.353706013581935,1.31749770192745e-07,5.61453641885021e-05
"POSTN",-4.83937803735004,-1.04282617927732,1.41325719802366e-07,5.84548116935494e-05
"CD5L",-3.75935327369998,-0.336273138912725,1.53440020719358e-07,6.16522003250382e-05
"LOC118541193",-3.52786406016611,1.41270446055523,1.83738345970761e-07,7.17753433163004e-05
"MYB",-2.48642636788989,2.35311855008579,2.29700749386345e-07,8.73049091518967e-05
"CDH11",-4.27369686620067,-0.586716764458785,2.48833415067786e-07,9.03276325436923e-05
"ADAMTS9",-4.43244183358318,-0.84290838570366,2.50499727597526e-07,9.03276325436923e-05
"C1S",-4.33410462885125,-0.124238440692501,2.87094498693635e-07,0.000100935248378215
"CTSG",-3.83207996443356,0.433368898998992,3.23829473548264e-07,0.000111073509427055
"SERPINF1",-3.83029275524399,0.68586283242892,3.51344979688862e-07,0.000117642010699154
"LOC118544373",-4.94257939772222,-0.796995595718306,3.80416738562357e-07,0.000124413967311684
"LOC102725822",-5.50523627826506,1.72932191331753,4.06417562756011e-07,0.000129896595114495
"RAG2",-4.35084701283018,-0.58836153054617,5.24831481485428e-07,0.000164015669425102
"DCN",-3.74832497971908,0.471018120345832,5.53336913086965e-07,0.000169164717581348
"PTX3",-5.10776870359844,-0.686411700320276,6.90102207564342e-07,0.000206487390318667
"FBLN5",-3.90832422947097,-0.719672206306295,8.01520881043085e-07,0.000234828919793936
"ITGA8",-3.73345531151835,-0.728472035292924,1.06704743562648e-06,0.0003062426140248
"IGF1",-4.74339509859445,-0.362625610945889,1.40369632330522e-06,0.000389122830456365
"LOC118550605",-3.77011526322677,-0.328906059288528,1.41116862357069e-06,0.000389122830456365
"LOX",-4.4505320645776,-1.12917648906519,1.55984956072847e-06,0.000421096409367561
"SERPINH1",-2.78063839202467,0.375726778080266,1.58700915142436e-06,0.000421096409367561
"LOC118520961",-4.84524454758735,-0.772899021514723,2.20596579109676e-06,0.00057449068370729
"MYH10",-2.78947491272813,0.658510981599483,3.20636329273844e-06,0.000816708817777263
"LOC118534550",-3.51100444514258,-0.319735380261345,3.25220036944654e-06,0.000816708817777263
"PDGFRL",-4.0274619087696,-0.595803634691811,3.56967223939992e-06,0.000880707029871598
"PLXND1",-1.92145226858084,0.897753649291516,3.84790899856077e-06,0.000932985245633796
"CNN3",-1.50766851978922,3.19397241695346,4.12756911889391e-06,0.000983830585067882
"SCARA3",-4.07135731293726,-0.353945822462825,4.37681743003377e-06,0.00102585305864275
"SLC22A16",-3.78964654174555,-0.403251617882579,4.80297451608702e-06,0.00110728246917593
"SLIT2",-4.14619017666157,-1.09747015744315,5.0039774916853e-06,0.00113501508815436
"GJA1",-4.09418736422029,-0.398937196026945,7.10633008144119e-06,0.00156870936173462
"LOC116621816",10.1062923802909,4.47132326933392,7.13911677103146e-06,0.00156870936173462
"SPIC",-3.31370498154961,-0.444723115862524,7.8106085055501e-06,0.00168985519097771
