"GOTerm","Transcriptome","Transcriptome_null","Genome","Genome_null","go"
"aromatic compound catabolic process (GO:0019439)","-3.5 (0.004)","x",NA,NA,"BP"
"cellular nitrogen compound catabolic process (GO:0044270)","-3.6 (0.004)","x",NA,NA,"BP"
"cotranslational protein targeting to membrane (GO:0006613)","-10.2 (0)","x",NA,NA,"BP"
"cytokine-mediated signaling pathway (GO:0019221)","-3.6 (0.003)","x",NA,NA,"BP"
"establishment of protein localization to endoplasmic reticulum (GO:0072599)","-10.4 (0)","x",NA,NA,"BP"
"establishment of protein localization to membrane (GO:0090150)","-4.4 (0.014)","x",NA,NA,"BP"
"granulocyte activation (GO:0036230)","-4.5 (0)","",NA,NA,"BP"
"heterocycle catabolic process (GO:0046700)","-3.6 (0.004)","x",NA,NA,"BP"
"innate immune response (GO:0045087)","-3.1 (0.019)","x",NA,NA,"BP"
"leukocyte degranulation (GO:0043299)","-4.3 (0)","",NA,NA,"BP"
"mRNA catabolic process (GO:0006402)","-4.5 (0.006)","x",NA,NA,"BP"
"myeloid cell activation involved in immune response (GO:0002275)","-4.2 (0)","",NA,NA,"BP"
"myeloid leukocyte activation (GO:0002274)","-3.8 (0.001)","",NA,NA,"BP"
"myeloid leukocyte mediated immunity (GO:0002444)","-4.1 (0)","",NA,NA,"BP"
"neural nucleus development (GO:0048857)","-13.6 (0.029)","",NA,NA,"BP"
"neutrophil activation (GO:0042119)","-4.5 (0)","",NA,NA,"BP"
"neutrophil activation involved in immune response (GO:0002283)","-4.6 (0)","",NA,NA,"BP"
"neutrophil degranulation (GO:0043312)","-4.6 (0)","",NA,NA,"BP"
"neutrophil mediated immunity (GO:0002446)","-4.5 (0)","",NA,NA,"BP"
"nuclear-transcribed mRNA catabolic process (GO:0000956)","-5.5 (0.007)","x",NA,NA,"BP"
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)","-8.2 (0.002)","x",NA,NA,"BP"
"nucleobase-containing compound catabolic process (GO:0034655)","-3.8 (0.002)","x",NA,NA,"BP"
"organic cyclic compound catabolic process (GO:1901361)","-3.6 (0.002)","x",NA,NA,"BP"
"posttranscriptional regulation of gene expression (GO:0010608)","-3.7 (0.008)","",NA,NA,"BP"
"protein localization to endoplasmic reticulum (GO:0070972)","-8.4 (0)","x",NA,NA,"BP"
"protein targeting (GO:0006605)","-4 (0.007)","x",NA,NA,"BP"
"protein targeting to ER (GO:0045047)","-10.7 (0)","x",NA,NA,"BP"
"protein targeting to membrane (GO:0006612)","-6.6 (0.002)","x",NA,NA,"BP"
"response to oxidative stress (GO:0006979)","-3.9 (0.016)","",NA,NA,"BP"
"response to toxic substance (GO:0009636)","-4.5 (0.003)","",NA,NA,"BP"
"RNA catabolic process (GO:0006401)","-4.2 (0.01)","x",NA,NA,"BP"
"SRP-dependent cotranslational protein targeting to membrane (GO:0006614)","-10.7 (0)","x",NA,NA,"BP"
"substantia nigra development (GO:0021762)","-15.5 (0.019)","",NA,NA,"BP"
"translational initiation (GO:0006413)","-6.7 (0.001)","x",NA,NA,"BP"
"virion assembly (GO:0019068)","-14 (0.026)","",NA,NA,"BP"
"blood microparticle (GO:0072562)","-13.1 (0.001)","x",NA,NA,"CC"
"collagen trimer (GO:0005581)",NA,NA,"-22.5 (0.009)","","CC"
"cytoplasmic vesicle lumen (GO:0060205)","-7.1 (0)","","-5.6 (0.014)","","CC"
"cytosolic large ribosomal subunit (GO:0022625)","-9.9 (0.007)","x",NA,NA,"CC"
"cytosolic part (GO:0044445)","-5.7 (0.001)","x",NA,NA,"CC"
"cytosolic ribosome (GO:0022626)","-10.5 (0)","x",NA,NA,"CC"
"cytosolic small ribosomal subunit (GO:0022627)","-15.9 (0.001)","x",NA,NA,"CC"
"extracellular matrix (GO:0031012)",NA,NA,"-6.1 (0.019)","x","CC"
"ficolin-1-rich granule (GO:0101002)","-7.9 (0)","",NA,NA,"CC"
"ficolin-1-rich granule lumen (GO:1904813)","-10.1 (0)","",NA,NA,"CC"
"ribosomal subunit (GO:0044391)","-6.3 (0.001)","x",NA,NA,"CC"
"ribosome (GO:0005840)","-5.7 (0.001)","x",NA,NA,"CC"
"secretory granule lumen (GO:0034774)","-6.8 (0)","",NA,NA,"CC"
"small ribosomal subunit (GO:0015935)","-9.6 (0.008)","x",NA,NA,"CC"
"specific granule lumen (GO:0035580)","-9.9 (0.028)","","-18.5 (0.005)","","CC"
"tertiary granule (GO:0070820)","-5.2 (0.038)","",NA,NA,"CC"
"tertiary granule lumen (GO:1904724)","-13.2 (0.002)","",NA,NA,"CC"
"vacuolar lumen (GO:0005775)","-6 (0.022)","",NA,NA,"CC"
"vesicle lumen (GO:0031983)","-7.1 (0)","","-5.6 (0.014)","","CC"
"structural constituent of ribosome (GO:0003735)","-6.7 (0.01)","x",NA,NA,"MF"
"structural molecule activity (GO:0005198)","-4.2 (0.001)","x",NA,NA,"MF"
