"GOTerm","Transcriptome","Transcriptome_null","Genome","Genome_null","go"
"complement activation (GO:0006956)","+29.2 (0.012)","x",NA,NA,"BP"
"complement activation, classical pathway (GO:0006958)","+58.5 (0.003)","x",NA,NA,"BP"
"cotranslational protein targeting to membrane (GO:0006613)","+12.5 (0.04)","x",NA,NA,"BP"
"establishment of protein localization to endoplasmic reticulum (GO:0072599)","+11.3 (0.047)","x",NA,NA,"BP"
"humoral immune response mediated by circulating immunoglobulin (GO:0002455)","+35.1 (0.008)","x",NA,NA,"BP"
"protein activation cascade (GO:0072376)","+26.7 (0.003)","x","+17.5 (0.045)","x","BP"
"protein targeting to ER (GO:0045047)","+11.7 (0.047)","x",NA,NA,"BP"
"SRP-dependent cotranslational protein targeting to membrane (GO:0006614)","+13.1 (0.038)","x",NA,NA,"BP"
"cytosolic ribosome (GO:0022626)","+12.9 (0.004)","x",NA,NA,"CC"
"ribosomal subunit (GO:0044391)","+7.8 (0.037)","x",NA,NA,"CC"
"serine-type endopeptidase activity (GO:0004252)",NA,NA,"+12.3 (0.008)","","MF"
"serine-type peptidase activity (GO:0008236)",NA,NA,"+10.3 (0.008)","","MF"
"serine hydrolase activity (GO:0017171)",NA,NA,"+10.2 (0.008)","","MF"
"structural constituent of ribosome (GO:0003735)","+9.9 (0.025)","x",NA,NA,"MF"
