"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACHE",2.71869034827492,2.4043637942671,1.15806869059427,2.07618409321928,0.0378769278841098,1
"ACTB",151.965177676089,-1.7989593024536,0.853210779681191,-2.10845824419354,0.0349913709445329,1
"ACTG1",98.6371979091249,-2.35045460802184,0.833707364566239,-2.81928013103822,0.00481314926534256,1
"ADAM8",102.667941653073,-1.02888959412403,0.380324686252069,-2.70529269152438,0.00682442296454943,1
"ADPRHL1",3.38960737325281,1.86547123641079,0.819451653244974,2.27648724488338,0.0228168631675492,1
"AGBL2",2.1883803583158,-2.23853596461549,0.943723309728099,-2.37202572145902,0.0176908591176106,1
"AIF1",12.6188832048876,-1.52385399729906,0.651070404988602,-2.34053642374628,0.0192560600197418,1
"ALDOA",108.720900679911,-1.15038494290033,0.398634703142814,-2.8858123335243,0.00390404873051616,1
"AMOTL1",6.65430138417608,-1.47577703775008,0.696425807727162,-2.11907287377299,0.0340843087799104,1
"APOBEC3G",88.7340424718337,-1.88052487854305,0.883608017574249,-2.12823428617773,0.0333176634391378,1
"APOE",15.0143718119353,-1.41936345406975,0.636525481607345,-2.22986116830011,0.0257566610409035,1
"ATF4",12.220155399441,-1.6507925817014,0.715040946556964,-2.3086686009385,0.0209619779927915,1
"ATP6V1B2",26.5614074061589,-1.24709023653938,0.511811823176257,-2.43661865566149,0.0148253046658181,1
"BCO1",5.22099174698957,1.0217682508375,0.486123555673721,2.10186945049684,0.0355647132917123,1
"BNIPL",9.21735906111043,-1.59808436572643,0.530260744620276,-3.01377083244363,0.00258022626642165,1
"BPI",2324.06551542958,-1.15848201316613,0.376779226558211,-3.07469714758054,0.00210716404269181,1
"C1H19orf38",3.65595160543154,-1.47399114717042,0.664747137133357,-2.21737118496941,0.0265977371077748,1
"C1QA",48.310882238084,-1.02991936536127,0.521100998564467,-1.97642946031287,0.0481061576545981,1
"C3AR1",1.79972147736557,-3.26693048546721,1.41580145049486,-2.30747784890693,0.0210281957222047,1
"C7",2.93666686226955,-1.58426202936812,0.74295333470514,-2.13238430378252,0.0329752666743442,1
"CA2",26.658041427773,2.16201890142942,0.906522335469815,2.38495932955577,0.0170810095954624,1
"CACNA1I",8.87292653141668,-2.95965810448677,0.735578836507155,-4.02357702206402,5.73208260700095e-05,0.230257758323228
"CAMP",7.34713578132236,-4.24138156529672,1.36157534242715,-3.1150546232249,0.00183910849296464,1
"CASP10",3.9370637015007,-4.1306917997461,1.59901545697816,-2.58327196383226,0.00978681409250463,1
"CCDC80",7.47597495674967,1.20453412222624,0.455749380998726,2.64297478492813,0.00821811551795073,1
"CCDC92B",4.46981990692783,1.13711722420833,0.494099287731323,2.30139417814068,0.0213693606984423,1
"CCND1",11.8192068478363,-1.14360276366529,0.420298662861325,-2.72092886491674,0.00650987684353626,1
"CD2BP2",4.2787468772262,-2.35903426796089,1.12965366724939,-2.08828098058136,0.0367724960851973,1
"CDC37",11.4212227219117,-1.27609399363713,0.395710584342381,-3.22481642930484,0.00126053467606754,1
