"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AADAT",0.743067853878914,2.71071331590984,1.35852162281736,1.9953405749172,0.0460057474033087,0.997360769935614
"ABRACL",5.47845996882857,-2.25733099029187,0.831530463946397,-2.71467022335983,0.00663417961893074,0.997360769935614
"ACTG1",98.6371979091249,-2.20381361325534,0.89653046306872,-2.45815809282368,0.0139651682556853,0.997360769935614
"ADAMDEC1",100.823497609619,1.57413151195423,0.631961710236563,2.49086532689613,0.0127432412072852,0.997360769935614
"AIMP1",31.0794748004088,1.4665396257384,0.640683726064273,2.28902275190814,0.0220780304845855,0.997360769935614
"AK6",8.4577005924419,1.65030362661765,0.747014193298634,2.20919982702111,0.0271607449254842,0.997360769935614
"AKAP12",17.9322146599396,1.027486778516,0.351856564580637,2.92018646785977,0.00349822002656375,0.997360769935614
"ALS2CL",1.72346867097507,-3.43274402291554,1.24363334102484,-2.76025409554131,0.00577564203931599,0.997360769935614
"ANKRD34C",2.2973685555861,-2.92313055072138,1.38911606392559,-2.10430980292657,0.0353514315006696,0.997360769935614
"ANPEP",132.886986346195,-1.20558041171706,0.430506466863242,-2.80037700827392,0.0051042954285926,0.997360769935614
"APOL2",700.071797198792,-1.43421376420613,0.477415679114614,-3.00411952717166,0.00266350663114988,0.997360769935614
"ARHGEF15",11.365583033567,-1.71179824858145,0.658490194590235,-2.59958046853934,0.00933377923101037,0.997360769935614
"ARMH1",22.525511182062,-2.09911736267933,0.671627605270575,-3.12541852986175,0.00177552244147124,0.997360769935614
"ART1",17.1393055583191,-1.84425209414867,0.726273851334611,-2.53933428934505,0.0111063645379713,0.997360769935614
"ATP6V0D2",149.784797497972,-1.09921579271666,0.533472948156198,-2.06049022076151,0.0393516997879336,0.997360769935614
"ATP9A",1.29591857015541,-2.52945857771705,1.28061122230797,-1.97519632317321,0.0482458730217237,0.997360769935614
"BACE1",1.20372091405442,2.5007769261625,1.0201194418546,2.45145501943972,0.014227996789535,0.997360769935614
"BNIPL",9.21735906111043,-1.23617011445356,0.56935682727104,-2.17116938841078,0.0299183704130272,0.997360769935614
"C17H19orf47",1.20832732654012,-3.54034138406413,1.3007524527694,-2.72176414238273,0.00649344683582557,0.997360769935614
"C2",54.4255900010791,-1.30414200578362,0.627399388535371,-2.07864723749264,0.037649785847241,0.997360769935614
"CALR",63.5430052048828,-1.49455275093923,0.549189109029896,-2.72138089842906,0.00650098065370487,0.997360769935614
"CAMK1G",8.7051756387488,-1.00826857518725,0.497598225332819,-2.02627044039971,0.042737078659531,0.997360769935614
"CAMP",7.34713578132236,-2.79427532535229,1.3868487689079,-2.01483780207174,0.0439216467564472,0.997360769935614
"CAPN3",11.7716626538148,-1.60656588205869,0.734282801430074,-2.18793886896135,0.0286740555196236,0.997360769935614
"CCL22",25.308825374114,1.21920898749486,0.382134443255459,3.19052367305141,0.00142015205786252,0.997360769935614
"CD40",3.46584420754215,1.2606252138206,0.629963282223607,2.00110903189614,0.0453806412273591,0.997360769935614
"CD79A",11.2583062811092,-1.54934170627245,0.612616722450467,-2.52905552443146,0.0114369932370408,0.997360769935614
"CERCAM",9.22118361632115,-1.57804048258923,0.642826839526981,-2.45484535734447,0.0140945206142628,0.997360769935614
"CERKL",3.71562973882552,-3.41545126135072,1.463542655069,-2.3336875420209,0.0196120888901495,0.997360769935614
"CETN3",19.4485178444976,1.5876523057749,0.786583978516532,2.01841424328163,0.0435481372212084,0.997360769935614
"CFAP300",7.64698897750175,1.24702092376337,0.481189627976411,2.5915374132389,0.00955481516941252,0.997360769935614
"CHIT1",44.1713342134465,-1.63165760599971,0.777159289028691,-2.0995150274006,0.0357715245333151,0.997360769935614
"CHMP2A",229.975163851264,-1.08379322806625,0.523754869851327,-2.06927570596889,0.0385202220309311,0.997360769935614
"CLDN4",5.57269134532711,-1.79445446979231,0.877342106474995,-2.0453303865719,0.0408222968943029,0.997360769935614
"COL2A1",5.48401299847267,-1.57537145564343,0.683605776365723,-2.30450284375687,0.0211944328999119,0.997360769935614
"COPS8",12.9518248572661,1.03007165115676,0.515369461860594,1.99870525397059,0.0456402542099831,0.997360769935614
"COX6B1",16.2225003210568,-1.28179635478698,0.62120898310919,-2.0633899213297,0.0390755967514788,0.997360769935614
"CPA3",11.1411327364867,-1.41729120310483,0.6130729836267,-2.31178218736811,0.0207896895186894,0.997360769935614
"CPA6",20.0349459402767,1.07953471736748,0.481217441164678,2.24334079570081,0.0248748465420321,0.997360769935614
"CPLX3",31.5252793101226,-1.55188839137137,0.616191805290055,-2.51851514098093,0.0117850816481549,0.997360769935614
"CUNH11orf54",18.332341214187,1.07854538595635,0.471569736481748,2.28713868282362,0.0221877296448831,0.997360769935614
"CUTC",16.6286692498008,1.03020022359588,0.49209217415621,2.09351068295764,0.0363035914325213,0.997360769935614
"CXCL1",38.7803837972164,-1.14746684430599,0.455972537971196,-2.51652621320469,0.0118518083575843,0.997360769935614
"CXCL6",129.864946609969,-1.08184021252978,0.537944416416494,-2.01106318704158,0.0443187829545494,0.997360769935614
"CYP27C1",4.96496032767439,-1.37447091176234,0.645393076609403,-2.12966479123571,0.0331992977695429,0.997360769935614
"DOCK8",106.919913700701,-1.65091522597665,0.626237724946513,-2.63624365031291,0.00838295142911502,0.997360769935614
"DUOX2",1.22114235801692,-2.8713476885441,1.31705000813102,-2.18013565985907,0.0292474071404593,0.997360769935614
"EIF5A",12.1047866836277,-1.44324751559845,0.566336178529655,-2.54839364023232,0.0108220281017001,0.997360769935614
"ENTPD7",33.6304205977318,1.05373750658978,0.502718509174363,2.09607859539603,0.0360752194378153,0.997360769935614
"ERVK-7",1.885505699685,3.56387881543474,1.57112623430165,2.26835930660839,0.0233073159021159,0.997360769935614
"ESF1",36.0636761753776,1.09100896598788,0.533329377105267,2.04565698576275,0.0407901305674828,0.997360769935614
"FEZ1",9.98320683355704,-1.13544154104831,0.534695167280078,-2.12353058439663,0.0337094154123381,0.997360769935614
"FGF1",43.0145742944885,-1.0932517087765,0.529210104851199,-2.06581790248298,0.0388456770366281,0.997360769935614
"G6PD",18.4918317151888,-1.99847504638604,0.884320997115249,-2.25989776665406,0.0238275965666598,0.997360769935614
"GABRA2",2.1375945385421,2.92383438814531,1.1941421316499,2.44848105652679,0.0143459973593919,0.997360769935614
"GIPC2",1.27287569807211,-2.61058794095039,1.32990822665482,-1.96298352670314,0.0496480881988344,0.997360769935614
"GMFG",1162.1099310907,-1.17058539921657,0.518631281385536,-2.25706670852812,0.0240039067457218,0.997360769935614
"GMPPA",11.0750724034158,-1.05543016575857,0.412910220569698,-2.556076631628,0.0105859802917089,0.997360769935614
"GPR63",7.29983536979841,1.1652145111492,0.507199784631755,2.29734819780176,0.0215989143549981,0.997360769935614
"GPR88",1.78778312795077,-3.15988459871373,1.31164427008896,-2.40910182034297,0.0159918357180784,0.997360769935614
"GPSM3",36.9243177246496,-2.54938618758037,1.151563248687,-2.21384816725191,0.0268392253433305,0.997360769935614
"GPX1",52.8270314343773,-2.6076420163913,1.2790513293307,-2.03873132891063,0.0414768492177353,0.997360769935614
"GYPC",30.8993231543588,-1.06907016689625,0.507270628600981,-2.10749471114596,0.035074719656197,0.997360769935614
"H3C1",10.9092323089399,-1.24172930197812,0.545623213870494,-2.27579998506597,0.0228579836462916,0.997360769935614
"HLA-DMB",6.2835845638767,-2.1393610197257,1.03252304072916,-2.07197412099869,0.0382678546889886,0.997360769935614
"HLA-DQA1",33.4626979490698,-1.91784870285932,0.940963693643004,-2.03817502823541,0.0415324319142071,0.997360769935614
"HMG20B",36.589220803635,-2.30658626543568,0.912212649093015,-2.52856202742753,0.0114530846951227,0.997360769935614
"HNMT",103.631479683687,1.4537485799696,0.679723219412229,2.13873608911975,0.032457048072555,0.997360769935614
"HSBP1",1.24084793315476,-3.49393813036725,1.76638610689972,-1.97801495195161,0.0479270199255025,0.997360769935614
"HSPB6",18.8039346337714,-1.46618963422612,0.585240930885266,-2.50527527527558,0.012235612404244,0.997360769935614
"IER2",16.9135696129602,-1.25656820511651,0.571141532298067,-2.20009950959184,0.027799835675248,0.997360769935614
"Ifi203",32.2957002302353,-2.20382747592595,1.10519925459929,-1.99405443566371,0.0461461059177862,0.997360769935614
"IFI6",227.394696877184,-3.33045515528113,1.26423269840961,-2.63436878311313,0.00842938780890616,0.997360769935614
"IFIT2",64.3252611469857,-1.8841732631238,0.934276432215403,-2.01671924727455,0.0437248201729346,0.997360769935614
"IGSF3",15.5013401131733,1.40401817485241,0.514964622660066,2.72643617264407,0.00640223335935065,0.997360769935614
"IL32",29.9014698683755,-2.86321200862704,1.07044772532517,-2.67477985228777,0.00747783362144727,0.997360769935614
"ITM2B",113.995320417701,-1.37500231301021,0.695534458361064,-1.97690034833101,0.0480528954530948,0.997360769935614
"KCNK4",0.988491566832797,2.23568997084891,1.10023293777173,2.03201512524864,0.0421521247543119,0.997360769935614
"KRT18",13.708484470782,-1.11496595653723,0.456677411144065,-2.44147384856201,0.0146274477127134,0.997360769935614
"LOC112810417",7.95350817170145,-1.1709130085628,0.557579218995904,-2.09999398950233,0.0357293698555724,0.997360769935614
"LOC112811045",1.02670584075623,2.51382765421398,1.22647675101809,2.04963335189783,0.0404002232622628,0.997360769935614
"LOC113909544",2.00434418484986,-2.52246543606414,1.25320328122857,-2.01281426074089,0.0441341730926616,0.997360769935614
"LOC113914202",33.9614908759425,1.44423773154828,0.587435396002777,2.45854734218544,0.0139500382514399,0.997360769935614
"LOC113933014",20.1455111956448,-1.88207919874654,0.627872903261462,-2.99754805306958,0.00272160948533527,0.997360769935614
"LOC113936058",1.68185172412495,2.19730930353505,1.02032198397503,2.15354499662414,0.0312758717332435,0.997360769935614
"LOC113936894",0.758248693023656,2.65899845816897,1.28931123690733,2.06234024962593,0.0391753535638173,0.997360769935614
"LOC113936976",1.77407638486585,-3.4362356427388,1.2785663326799,-2.6875693148719,0.00719741624408951,0.997360769935614
"LOC115944353",68.8545940295013,-1.38260485024551,0.60366906906747,-2.29033575031651,0.0220018609116444,0.997360769935614
"LOC115945134",41.5692340390639,-1.68735665441696,0.520237054851615,-3.24343804171781,0.00118096492784746,0.997360769935614
"LOC116625232",4.67442171119104,-3.21135587317095,1.43177890552807,-2.24291324643209,0.0249024093903895,0.997360769935614
"LOC116627551",2.57900096219515,-3.1024706906981,1.44525607612108,-2.14665811959415,0.0318205092420559,0.997360769935614
"LOC116629944",1.58734583996038,2.11419188985689,0.895352234117058,2.36129626899494,0.0182111751543136,0.997360769935614
"LOC116645603",1.23248823311916,-3.5866738306646,1.53174370441713,-2.34156263892034,0.0192032032860844,0.997360769935614
"LOC116648911",5.44803484761199,-3.4703300531079,1.40944762886662,-2.46219155790734,0.0138090891300416,0.997360769935614
"LOC118012965",9.56786944293698,-1.5569091120036,0.737020615407653,-2.11243631379627,0.0346490430539005,0.997360769935614
"LOC118021738",1.55925940312913,-3.08488877117774,1.52196107185088,-2.02691700085742,0.0426709015678147,0.997360769935614
"LOC118356464",1.06859740346393,2.19775000236559,1.09005503055785,2.01618261533169,0.043780883616453,0.997360769935614
"LOC118518566",6.79611837966512,-1.42290697716415,0.597436743026867,-2.38168641914305,0.0172335655855989,0.997360769935614
"LOC118518692",1.82320116637715,-3.63154317192211,1.50437055278376,-2.41399511922254,0.0157786737237909,0.997360769935614
"LOC118520214",1.47414101442192,3.25142225521935,0.96780757165758,3.3595751370808,0.000780624206262986,0.997360769935614
