"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A3GALT2",0.333523820296567,0.0695181472529766,1.41218665877937,0.0492273077505666,0.960738149205257,0.994845012000152
"A4GALT",842.559354696763,0.451406036704594,0.28282229359151,1.59607657151871,0.110471698703654,0.714017590749564
"AAAS",157.663093034325,0.12204648115426,0.266950818405612,0.457187139875404,0.647536540995161,0.90381630818515
"AACS",238.589439569935,0.28925540656356,0.214693130008182,1.34729698408391,0.177884603055706,0.731605190036811
"AADAT",0.743067853878914,1.43069753495651,1.18979918822368,1.20246975213732,0.229181578530908,0.750999564193017
"AAGAB",369.991188559835,-0.0385057991874897,0.173623910089318,-0.22177705344662,0.82448744334821,0.959225562212659
"AAK1",240.657660022261,-0.262709826132306,0.165957125151235,-1.5829981743351,0.113421880505933,0.714017590749564
"AAMDC",19.1486829309734,0.465078185063013,0.434302276821858,1.07086287565971,0.28423109052383,0.771456953131233
"AANAT",8.7494986478152,0.54792923987692,0.480544630706369,1.14022549595757,0.254192368071205,0.76060991990429
"AAO4",0.980635269028677,0.821236102507226,0.96946649516366,0.84710106703439,0.396938790429367,0.818232450974205
"AAR2",192.295031631807,0.113601288131099,0.206880498164419,0.549115499716239,0.582926188960074,0.880581351354454
"AARE",101.53727483289,0.251703172655604,0.215940739195449,1.16561225822139,0.243771249424305,0.7563614308584
"AARS1",5.51572852235746,0.0216461384483667,0.432585444417199,0.0500389893551075,0.960091318211034,0.994845012000152
"AARS2",11.6373318262991,0.154329363617472,0.315384530328141,0.489337138561934,0.624603032137474,0.896562579987934
"AARSD1",244.75141600502,0.153548324212756,0.255288494994572,0.601469816397409,0.547527109686079,0.870082586334733
"AASDH",99.838397788445,-0.318156967316466,0.30832319763849,-1.03189435551167,0.302121610477659,0.784500652416778
"AASDHPPT",142.070885298252,0.0412815521837388,0.171926787100526,0.240111229203634,0.810244029180681,0.955238290852023
"AATF",205.462246925611,0.0341494862200884,0.21039786403326,0.162309091762881,0.871062455423987,0.974030546609085
"AATK",406.892590541827,0.545126639671029,0.27574037005547,1.97695621994475,0.0480465790976325,0.695486865396106
"ABAT",44.7211120520433,0.228446038450182,0.263752315279385,0.866138514113882,0.386414206649068,0.815476397759807
"ABCA1",487.87859958179,0.140161542741159,0.414565719498213,0.338092457115868,0.735293514562898,0.928909660986763
"ABCA12",4.69132780587688,-0.536031754994969,0.519939478872116,-1.03095028705603,0.302564132985083,0.78461305433942
"ABCA13",4.71007000063164,-1.39462083084014,0.577131088386238,-2.41647150691491,0.0156717527385729,0.695486865396106
"ABCA2",379.825505069704,0.178328335845198,0.278795162975239,0.639639274735322,0.522407142795927,0.859868671424396
"ABCA3",152.944521197245,0.254561035392892,0.243577975067465,1.04509053136838,0.295981129839603,0.780824455229733
"ABCA5",31.2217307817474,-0.495656229026088,0.313874165973266,-1.57915586167836,0.114300311206035,0.714017590749564
"ABCA6",27.8727043938237,-0.0699400683715599,0.452137757883241,-0.154687519792632,0.877067669323159,0.975680096281122
"ABCA7",3.00793269515168,0.486814837768019,0.545613380747039,0.892234052437434,0.372267493664558,0.811173594819923
"ABCA9",14.6618880217303,-0.815534180260004,0.350604142856888,-2.32608255457179,0.0200141470297748,0.695486865396106
"ABCB1",4.08757967299462,-0.846384090811816,0.555410581082208,-1.52388902847809,0.127536434647025,0.721885956062916
"ABCB10",64.921777976575,-0.311387833125565,0.271115445878804,-1.14854331562048,0.250744342163776,0.759255276476773
"ABCB11",35.3938351132858,-0.0683903149027374,0.488519010462737,-0.139995196579876,0.888663785588427,0.978263318407776
"ABCB6",111.443680111996,0.0999942381648123,0.400255289816723,0.249826150231768,0.802721795880135,0.952032315928699
"ABCB7",125.86395345319,-0.300701365648727,0.229356723147039,-1.31106409928934,0.189836108544868,0.741519492109642
"ABCB8",47.250663303362,0.5398631459379,0.300523120720019,1.79641135312468,0.0724291195796705,0.695672175719235
"ABCC1",471.601557156856,0.194770461682935,0.189376329925511,1.02848366403312,0.303722371298908,0.785104739708953
"ABCC10",233.871810621083,0.388803811362975,0.235771350207876,1.64907148820318,0.0991329899660535,0.706279655153125
"ABCC11",0.682312023032411,-1.79045998458425,1.27933343166156,-1.39952567506882,0.161655404573148,0.729129873226235
"ABCC3",258.351819546546,0.124482078463252,0.27011529190248,0.46084794972731,0.644907697411816,0.903748201815198
"ABCC4",33.3102295287464,-0.297170005539664,0.304732349443035,-0.975183652417628,0.32946916963996,0.796148525068702
"ABCC5",107.729262099994,0.115838500347276,0.216230593696979,0.535717441120331,0.592153847807278,0.883383771758093
"ABCC9",102.476073019375,-1.52630223845149,0.483441142112878,-3.15716248679372,0.00159312545621621,0.624349751962977
"ABCD1",5.02461564661946,0.408129920608631,0.474573000402918,0.859993974082226,0.389792364218013,0.817114639041752
"ABCD3",34.0634205604446,-0.474796507039561,0.376222527178285,-1.26200977543953,0.206945268866609,0.744318709808373
"ABCD4",308.642705712096,0.0978721897812426,0.169848131501011,0.57623353825744,0.564457338842642,0.875785977011272
"ABCE1",177.083362840629,-0.524198912054056,0.34993179954851,-1.49800307582903,0.134132451319129,0.722171738345063
