"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACTB",151.965177676089,-1.65819897565319,0.594863708230959,-2.7875275507804,0.00531119379115978,0.258506048432147
"ACTG1",98.6371979091249,-2.07824542915129,0.582152819650692,-3.56993105418315,0.000357075196150859,0.156627108835835
"ACTN2",9.81351588766685,-1.86999436879244,0.940059899718768,-1.98922895163582,0.0466759376835671,0.350542315025865
"ACVRL1",533.409137645528,-1.01137278145674,0.291317585770925,-3.47171894473966,0.000517137440624003,0.156627108835835
"ADAM33",1.76714082926739,-2.17595246928094,0.889040606636933,-2.44752877769233,0.0143839638021458,NA
"ADCYAP1",2.59977744460405,1.15353901903733,0.524691709578687,2.19850818676665,0.0279129117996016,NA
"AIF1",12.6188832048876,-1.0585842939481,0.457273244127908,-2.31499285720725,0.0206133229740488,0.305390246220907
"AIPL1",0.998712983900537,-1.8397933630915,0.883085907129618,-2.08336850156692,0.0372176470963762,NA
"ALDH1A1",6.27126118027304,-1.38044558527157,0.573791634716375,-2.40583079597165,0.0161357362414909,NA
"ALS2CL",1.72346867097507,-1.40779579442045,0.673285820096914,-2.09093337836494,0.0365340364895261,NA
"AMOTL1",6.65430138417608,-1.10222917521352,0.475872792155161,-2.31622650713372,0.0205459046198697,NA
"ANKRD33",4.69770934410256,-1.01192577536468,0.425171682920601,-2.38004038371872,0.0173107408355186,NA
"AP1S1",3.25183284253009,-1.01677243915002,0.458050859590513,-2.21978065942064,0.0264336604133405,NA
"APOBEC2",3.38229493257545,-1.5430787942139,0.742619898155227,-2.07788506347207,0.0377199465619348,NA
"APOBEC3G",88.7340424718337,-1.67055793177515,0.615969272369159,-2.71207997981751,0.00668624578775738,0.264655935948982
"APOE",15.0143718119353,-1.20588693851868,0.441771412283396,-2.72966268298298,0.0063399159367489,0.258506048432147
"ARL6",2.23146628806431,1.15380640373745,0.495421559913621,2.32893861934192,0.0198623176506924,NA
"ATF4",12.220155399441,-1.37630308887622,0.497716395978777,-2.76523558395072,0.00568816993074329,0.258506048432147
"ATP5G3",1.09734685533732,-2.58826793717797,1.03361078441726,-2.50410306877479,0.0122762266211284,NA
"AXL",9.98038149713356,-1.15993011325635,0.424190774199973,-2.73445389151612,0.00624838458554593,0.258506048432147
"BATF2",50.5909023787401,-1.45155641282217,0.450257549265994,-3.22383581394357,0.00126485897421346,0.218293592999814
