"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A3GALT2",0.333523820296567,-0.0278912890572896,1.1341771768473,-0.0245916507814235,0.980380678998509,NA
"A4GALT",842.559354696763,-0.607276492492569,0.246726179122426,-2.46133788742068,0.0138419936916364,0.288467346224197
"AAAS",157.663093034325,-0.0675527809004576,0.228085700399189,-0.296172801636529,0.767098118684595,0.880280435844001
"AACS",238.589439569935,0.103280922928564,0.183947369677522,0.561469963444575,0.574477200941626,0.76287213252289
"AADAT",0.743067853878914,1.62512805630996,0.856157580748555,1.89816465198974,0.057674395646523,NA
"AAGAB",369.991188559835,-0.135198166665911,0.144217790060502,-0.937458316405993,0.348522855708606,0.603394749531001
"AAK1",240.657660022261,0.169415616496427,0.144495003850638,1.17246695028673,0.241009633583876,0.517757272535393
"AAMDC",19.1486829309734,0.314995363346102,0.359361839646723,0.876540936165519,0.38073603225204,0.626346659559056
"AANAT",8.7494986478152,-0.744687696817228,0.433110287053172,-1.71939508037085,0.0855424574349518,NA
"AAO4",0.980635269028677,0.111557130043548,0.771602011713899,0.144578588896827,0.885043603177392,NA
"AAR2",192.295031631807,-0.220530460405279,0.173652136114207,-1.26995535638123,0.204100533000241,0.486670870749069
"AARE",101.53727483289,0.138311829067591,0.184359536403202,0.750228774524021,0.453116931429499,0.678496887592445
"AARS1",5.51572852235746,0.320531563574108,0.338563483179487,0.946739915846685,0.343771325302663,NA
"AARS2",11.6373318262991,-0.437070345997195,0.271987695206542,-1.60694896754536,0.108065563328274,0.406211183351975
"AARSD1",244.75141600502,-0.367364628636267,0.215536914964779,-1.70441628848728,0.0883033430008714,0.393196444547472
"AASDH",99.838397788445,0.397831224048539,0.259773984437894,1.53145136880961,0.125657876729037,0.417841658502226
"AASDHPPT",142.070885298252,0.157698353678037,0.139959580335094,1.12674211583425,0.259851530273681,0.5348067799486
"AATF",205.462246925611,-0.30261683039749,0.183521830863501,-1.64894186688105,0.0991595448698275,0.398843997554601
"AATK",406.892590541827,-0.468415254722862,0.249791835557332,-1.87522243742571,0.0607621286270919,0.363256778419529
"ABAT",44.7211120520433,0.368770940581762,0.218531906361144,1.68749244319653,0.0915087017685059,0.396025875659202
"ABCA1",487.87859958179,0.0966269656221463,0.348531103678449,0.277240580832904,0.781595381381474,0.888544631434083
"ABCA12",4.69132780587688,0.12501440126778,0.428398426881363,0.291818068002385,0.770425729963275,NA
"ABCA13",4.71007000063164,0.066551388294157,0.502269308645907,0.132501403427528,0.894587713038302,NA
"ABCA2",379.825505069704,0.114542170554728,0.24305410779414,0.471262023070773,0.637453631955866,0.804017139292917
"ABCA3",152.944521197245,-0.310913468848585,0.207475942641514,-1.49855190385034,0.133989917958919,0.42475965637104
"ABCA5",31.2217307817474,0.522725944571774,0.268705116987889,1.94535165698141,0.0517326688634445,0.355748243185071
"ABCA6",27.8727043938237,0.63923272449848,0.370734672254988,1.72423237516566,0.0846659017590731,0.388598463162827
"ABCA7",3.00793269515168,-0.794157958194088,0.503076746322343,-1.57860200058867,0.114427375503999,NA
"ABCA9",14.6618880217303,0.0195816431935632,0.316574384421927,0.0618547935560857,0.950678468037643,0.97531884303075
"ABCB1",4.08757967299462,-0.314038248053397,0.484837646341715,-0.647718365978663,0.517167123195053,NA
"ABCB10",64.921777976575,0.232922393272376,0.230832754780728,1.00905260821253,0.312949404688647,0.577743870248501
"ABCB11",35.3938351132858,-0.181824486072036,0.40826269198367,-0.445361502880868,0.65605852818525,0.816518435471884
"ABCB6",93.3705567047077,-0.50272035372862,0.237131652648896,-2.12000527180976,0.0340056007143619,0.328412393656723
"ABCB7",125.86395345319,0.267220569174018,0.195835421353663,1.36451601720936,0.172405216592096,0.461049331588632
"ABCB8",47.250663303362,-0.223618706998199,0.265823972559536,-0.841228519930103,0.400219926068126,0.640620112917872
"ABCC1",471.601557156856,0.0974891583514678,0.165884240361631,0.587693913170652,0.556737761879945,0.750739094161751
