"","gene","logFC","logCPM","PValue","FDR"
"1","CACNA1I",-2.86915534151651,1.39686379818156,0.00016356700595456,0.849600852464929
"2","EYA4",-2.33653245258212,2.17144521210076,0.00020590085727712,0.849600852464929
"3","PNP",-1.15852963543516,3.48230649801499,0.000271206161279097,0.849600852464929
"4","LOC116633088",1.81805725604315,0.764523835552256,0.000777541155649646,1
"5","IGKV4-1",-7.02678522712549,3.14676445591423,0.000898280699589875,1
"6","LIMD2",-2.02391198389931,2.24753684544418,0.00138677665019145,1
"7","LOC118535634",5.06765802429014,2.03718633020025,0.00177681171938568,1
"8","MPO",-3.06904764631657,0.920564431624733,0.00179191681086557,1
"9","IL32",-3.07124573980469,3.05942106645905,0.00206760842775195,1
"10","MMP9",-1.30349365588702,4.95459652413024,0.00207227870147064,1
"11","CDC37",-1.26585935800381,1.81816456111959,0.00212677621179628,1
"12","IGHV4-61",1.19216526398551,5.6695253695102,0.00236241417520304,1
"13","RACK1",-2.73605275318086,2.82061150443846,0.00255428675157873,1
"14","TAPBP",-2.6912332792206,2.3553765464899,0.00263396058642242,1
"15","MNDA",-2.69272285241812,2.88971057640033,0.0028835912597215,1
"16","DNAJC12",-1.49096686698423,3.45524626336144,0.00316464743820588,1
"17","VWA3B",1.24800443800983,1.68761295765454,0.00328530178996075,1
"18","RPS26",-2.69235471234408,3.22074834344125,0.00341166803346087,1
"19","MSC",1.42916297607135,1.08589856974331,0.00346558799242568,1
"20","BPI",-1.12909703774574,9.29821502564268,0.00352420446912272,1
"21","CKB",-2.08100980804048,2.43729375145241,0.00379961327047038,1
"22","CUNH3orf18",1.37412181100029,2.24800442523799,0.00426995414428357,1
"23","ACTG1",-2.34967487944718,4.7530031497549,0.00430769788826607,1
"24","BNIPL",-1.52841809687703,1.50125853384327,0.00444123012897738,1
"25","RPL36",-1.84248508529441,2.27183026194817,0.00446329812966013,1
"26","NR4A2",1.4491978122836,0.787860723505814,0.00487248426173221,1
"27","ITM2B",-1.91273473348418,4.96379417553749,0.00507760615045975,1
"28","TCTN3",-1.16562764882938,1.33758710855826,0.00521626137484739,1
"29","ALDOA",-1.13203297003455,4.88490772593912,0.00568520782299613,1
"30","IFT46",-1.73030499627155,1.36927922358493,0.00570335997120899,1
"31","CST3",-1.12132744541146,4.56482347408995,0.00572907739855564,1
"32","LOC118552004",-1.84198117203632,1.94168174756941,0.0058676896540748,1
"33","SGSM2",-1.22612114135616,1.65935128847977,0.00637811467308572,1
"34","G6PD",-2.4671525635891,2.39363776824935,0.00652301629976549,1
"35","CA2",2.148433884311,2.85940074373502,0.00675843092430494,1
"36","GMFG",-1.30600451333378,8.2884435385568,0.0073280448933009,1
"37","UBXN1",-2.35394636353102,1.68648699613395,0.00739530015995466,1
"38","RPS3",-1.79055115211389,3.40516679458057,0.00821724056153048,1
"39","CCDC80",1.2039756346378,1.30921497690869,0.00836484752533739,1
"40","NCL",-1.56114146049825,3.85142634736504,0.00899532504742861,1
"41","USF1",-2.17710038967245,2.91325996644922,0.00907004081508952,1
"42","KCNJ12",-1.2720218617993,1.14377601593611,0.00926014589225377,1
"43","ADAM8",-1.02177504637181,4.82000757029835,0.00967897704308205,1
"44","PADI3",-1.10113733683611,2.33260698937735,0.00970137905696417,1
"45","RPL27",-1.01143586297283,3.67860927173624,0.0100882308910002,1
"46","EEF2",-1.44788994423207,4.55618118997119,0.010565922164057,1
"47","Ifi203",-2.67637073609775,3.19374571894675,0.0106769371457615,1
"48","CDC42SE1",-1.24281806557744,4.54620816155896,0.0108732024093938,1
"49","DAGLA",1.36969742468779,1.51800628674558,0.0113148374286196,1
"50","GPSM3",-2.67102260961453,3.30755905060194,0.011956610365003,1
"51","EDA",-1.13255792271567,2.48643605302712,0.0119635205546624,1
"52","LOC118532100",-1.19362394870309,3.34764066279785,0.0122566901937742,1
"53","TRGC1",1.21709634181161,2.49208234019909,0.0132139759783983,1
"54","CHI3L1",-1.7025313825837,4.86326679976364,0.0136217245251104,1
"55","LOC118523442",1.23691034798285,1.94837524430614,0.0140114376511582,1
