"","gene","logFC","logCPM","PValue","FDR"
"1","NEURL1B",-4.35222805845847,1.88720930054366,2.9851000268161e-09,3.58420960219809e-05
"2","POLM",1.42849532682124,3.77866938750491,2.21510634855221e-05,0.132983909635332
"3","MARCHF7",-1.55054626462037,3.3692524078075,5.8796919697912e-05,0.186946843748167
"4","ZNF648",-1.43688070290977,2.64215352833558,6.22792849998058e-05,0.186946843748167
"5","SARNP",-1.15854388748481,2.49206168454464,0.000125113487715764,0.300447529400635
"6","IGHA2",1.58741582605761,8.67260446623383,0.000235932991053908,0.472141237264045
"7","PDZD11",-1.34919927688562,1.10640650025803,0.000373555463364291,0.640754349802148
"8","GP1BB",1.70704118061476,3.25699960750404,0.000573405057079277,0.705403690303432
"9","IGHV4-61",1.17968504318052,5.6695253695102,0.000615642446947644,0.705403690303432
"10","KLF2",1.02345590920768,5.81392754264229,0.000704992444710684,0.705403690303432
"11","LOC118523442",1.48402959017667,1.94837524430614,0.00082374287561411,0.714156701960864
"12","CACNA1I",-1.81142368759798,1.39686379818156,0.000994932199798405,0.724610703788218
"13","PROK2",-1.48015660035522,2.92473181722732,0.00109817680316702,0.724610703788218
"14","ABCC9",-1.48923362784603,4.81088546763965,0.00111756558265595,0.724610703788218
"15","WDR5B",-1.0994668571656,4.05450135023488,0.00113080733075243,0.724610703788218
"16","LOC118534381",-1.48003839379012,1.00291758578688,0.00120417704871247,0.724610703788218
"17","CUNH18orf54",-1.28119045763076,1.68786156546985,0.0013518827533159,0.724610703788218
"18","OLFML1",1.26717722437065,1.55961440639798,0.00140400324826766,0.724610703788218
"19","B3GNT7",1.17515084483925,1.80228212926721,0.00155664602396515,0.724610703788218
"20","TMEM177",1.3242216635873,2.82307649136452,0.00181156175257889,0.724610703788218
"21","SERPINB1",-1.21009705835547,3.39912246765138,0.00181564009357938,0.724610703788218
"22","CCDC138",-1.27418819344078,1.11103002559624,0.00189684941237042,0.724610703788218
"23","CNOT7",-1.19343917363523,2.13372280761075,0.00198815201482008,0.724610703788218
"24","BATF2",1.91538245848133,4.60836013258046,0.00280015680902812,0.724610703788218
"25","TMEM41B",-1.02921598373699,2.90372270562107,0.00294803167057598,0.724610703788218
"26","EVI2B",-1.25301891435591,5.20596802803483,0.00303736022099675,0.724610703788218
"27","CD200R1",-1.5400533892906,1.49818117208175,0.00336296347134819,0.724610703788218
"28","CCDC28A",-1.04768731314157,2.27228162307188,0.00346147873675724,0.724610703788218
"29","LOC118538997",-1.05862583291373,3.4315122066255,0.00367394226982607,0.724610703788218
"30","LOC118532100",-1.0732007644544,3.34764066279785,0.0037942831303874,0.724610703788218
"31","CSTB",1.41654409037837,1.13290103941135,0.00384168637680361,0.724610703788218
"32","LOC118537986",-1.5439264659672,0.820051579524085,0.00410020746399301,0.724610703788218
"33","IGLL5",1.05239750904997,5.79198128457175,0.00412052375539481,0.724610703788218
"34","RPL26",1.96721789105807,7.23218247592523,0.00414813117246489,0.724610703788218
"35","LOC118537363",-1.25976394434454,1.83713194924653,0.00478501650692171,0.724610703788218
"36","LOC113917651",1.43925559289646,1.75005498115882,0.0048276252589999,0.724610703788218
"37","APOA2",1.78389734141599,1.27206040427901,0.00485098656536821,0.724610703788218
"38","SUSD2",1.07617116955222,2.30336626015588,0.00512047865437523,0.724610703788218
"39","WARS1",1.21895197949691,9.39673362072116,0.00550448775361894,0.724610703788218
"40","GPR33",2.37043895019839,2.3311558993314,0.00571355311283448,0.724610703788218
"41","DOCK8",-1.26154704625091,4.84222668941276,0.0059055133669262,0.724610703788218
"42","SMAD9",-1.44525652549929,2.77755317861757,0.00609197167675321,0.724610703788218
"43","DPM3",1.15301549951948,2.86381888880145,0.0061748316654149,0.724610703788218
"44","LOC118539898",-1.02971399367605,1.19918022745101,0.00622348029171631,0.724610703788218
"45","LOC118526776",-1.03045192662019,3.22359374156077,0.00622452318226127,0.724610703788218
"46","CACNA2D1",-1.18206093408574,1.90256208204786,0.00671258329474136,0.724610703788218
"47","LMAN1L",1.7390098816874,1.64275375752416,0.00693325597955665,0.724610703788218
"48","EEF1A2",1.66425314489255,2.41218124265306,0.00697519122710203,0.724610703788218
"49","LOC118535634",4.15498053274478,2.03718633020025,0.00697602655996377,0.724610703788218
"50","IGHG",1.06799976460581,11.020319579967,0.00715179762341377,0.724610703788218
"51","C1QB",1.62719193177909,3.84015853181643,0.00746118613223902,0.724610703788218
"52","PORCN",1.08588500311973,1.0237635537094,0.0077054225715532,0.724610703788218
"53","CXCL8",-1.24767839063596,1.46833137351671,0.00780917872405722,0.724610703788218
"54","VIPR1",1.07439860541522,1.78536547049226,0.00831310101434386,0.724610703788218
"55","M6PR",-1.25262814606564,2.12213439361659,0.00844555451532628,0.724610703788218
"56","LOC118012965",-1.34750357384674,1.58316234899118,0.00850825316896173,0.724610703788218
"57","NR1I3",1.20278388281967,2.11384039909211,0.0087893037214333,0.724610703788218
"58","COX5B",-1.13190233571094,5.04840955285873,0.00910149146447416,0.724610703788218
"59","COL1A2",-1.38817272320394,2.45737703544502,0.00944704199881631,0.724610703788218
