"","gene","logFC","logCPM","PValue","FDR"
"1","NEURL1B",-3.22107854185224,1.88720930054366,0.00140179136426714,1
"2","CCL22",1.20071791449076,2.89378875135638,0.00183963550853055,1
"3","LOC118552109",-1.58743532547646,4.87378583791527,0.00188520696370836,1
"4","ZNF285",1.04879466398832,2.21284747193904,0.00261712179496168,1
"5","LOC115945134",-1.68610726722383,3.56441964680341,0.00283255242070428,1
"6","ARMH1",-2.07331150622784,2.6277781420754,0.00375373350737991,1
"7","APOL2",-1.4259368908605,7.56926928384294,0.00444944584368889,1
"8","LOC118535634",4.63597198567336,2.03718633020025,0.00497677221352237,1
"9","AKAP12",1.01695615334587,2.41898848182214,0.00512091748110768,1
"10","LOC113933014",-1.86445580279436,2.57669339789634,0.00515986957156405,1
"11","IGSF3",1.38100306035485,2.23666112965729,0.00567788208525275,1
"12","ADAMDEC1",1.57315919629249,4.78764553526063,0.00598363242878587,1
"13","LOC118523235",-1.89055269301536,1.32190190302898,0.00641163403767276,1
"14","TRAV18",-1.36858924407076,3.46604546946608,0.00673071431626237,1
"15","ABRACL",-2.16443138919471,0.941084382710581,0.00723083685732136,1
"16","CFAP300",1.21771296965099,1.39310278219679,0.00779134036099339,1
"17","LOC113914202",1.42139595542106,3.29053630653347,0.00793848996510589,1
"18","LTB",-1.48185792490978,1.32157150746577,0.00804304785379198,1
"19","ANPEP",-1.19838393968956,5.17572765415015,0.00806848995253968,1
"20","RPL26",2.0454665839515,7.23218247592523,0.00920911646498198,1
"21","RPL27",-1.11112396071495,3.67860927173624,0.00932594580175847,1
"22","IL32",-2.83637558532067,3.05942106645905,0.0093459720758793,1
"23","CALR",-1.49207998585623,4.12236833275264,0.00946248151149153,1
"24","MYO10",1.13214291710841,3.38829141761662,0.00965695311894306,1
"25","COL1A2",-2.0205849247122,2.45737703544502,0.0112664102309194,1
"26","TGM3",-1.68393629667022,4.24562842925145,0.0127114844083783,1
"27","ZSCAN4",1.38634751592036,0.997304380786593,0.012753393784406,1
"28","HMG20B",-2.26515546790489,3.29370578784432,0.0128672887263799,1
"29","DOCK8",-1.64038706018686,4.84222668941276,0.0128808832848762,1
"30","WDR27",1.16401790292149,1.3262733529658,0.013082999693712,1
"31","AIMP1",1.45034199321195,3.12809070066819,0.013773258460198,1
"32","GPR63",1.13482466613449,1.34540112049,0.0139373393798201,1
"33","ACTG1",-2.21318077858219,4.7530031497549,0.0146866615782531,1
"34","RPL22L1",2.26168061356312,4.54057669707144,0.0147862112317992,1
"35","CD79A",-1.53257938772055,1.79709258648897,0.0150339060919095,1
"36","LOC118539754",-1.32674134213468,1.93770022770749,0.0156811173965636,1
"37","ZCWPW1",-1.31682607640183,2.63050982478058,0.0158328024742538,1
"38","RPS26",-2.37613724133823,3.22074834344125,0.0160216423889923,1
"39","UBA52",-2.00884675046605,4.83457086651167,0.0162066215543779,1
"40","ARHGEF15",-1.68485390176575,1.75744392860673,0.0162460154508497,1
"41","IFI6",-3.33443164599543,5.95893846537949,0.0174527211260687,1
"42","AK6",1.59757425327757,1.45088390901742,0.0176448921743267,1
"43","RBIS",2.39783103709895,1.15113388613066,0.0181514789517933,1
"44","LY6H",-1.33553667153365,7.7236460961561,0.0183589268829513,1
"45","HNMT",1.44443506417364,4.82072483783303,0.0184109744252413,1
"46","ART1",-1.85064568432793,2.41602237629579,0.0187425832135316,1
"47","CERCAM",-1.5600576381673,1.54693314475916,0.0189541490763726,1
"48","HSPB6",-1.44368287591862,2.4215408366849,0.0204623134824739,1
"49","CXCL1",-1.14909955324502,3.46662815036724,0.0204745896897184,1
"50","CUNH11orf54",1.06613104206767,2.43671060915984,0.020798870907303,1
"51","UBC",-1.52874201765989,5.40001059419551,0.0210371694849275,1
"52","SUGP2",-1.28358225417221,4.81858507786825,0.0212185680584477,1
"53","PRAF2",-1.62733085816382,0.838980499828947,0.0212374432100205,1
"54","SLC22A2",-2.59770919857095,1.70770833731021,0.0212845535187134,1
"55","TIGD7",1.16774961075106,1.62142307029335,0.0215583603606715,1
"56","EIF5A",-1.43053047586332,1.91761459474099,0.0217029243028381,1
