"","geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","userId","direction","disease_stage","go"
"1","GO:0045047","protein targeting to ER",94,9,0.838095238095238,10.7386363636364,1.34553990838171e-07,0.000296176909212496,"RPS26;RPL36;RPS3;RPL27;RPS14;RPL14;RPL13A;UBA52;CHMP4B","down","acute","bp"
"2","GO:0072599","establishment of protein localization to endoplasmic reticulum",97,9,0.86484295845998,10.4065135895033,1.76898037773654e-07,0.000296176909212496,"RPS26;RPL36;RPS3;RPL27;RPS14;RPL14;RPL13A;UBA52;CHMP4B","down","acute","bp"
"3","GO:0043312","neutrophil degranulation",387,16,3.45045592705167,4.63706835799859,2.49734961488279e-07,0.000296176909212496,"PNP;MPO;MMP9;MNDA;BPI;ALDOA;CST3;GMFG;ADAM8;EEF2;CHI3L1;HSPA8;GYG1;LRG1;CHIT1;SERPINB1","down","acute","bp"
"4","GO:0002283","neutrophil activation involved in immune response",389,16,3.46828774062817,4.613227389577,2.67831318900846e-07,0.000296176909212496,"PNP;MPO;MMP9;MNDA;BPI;ALDOA;CST3;GMFG;ADAM8;EEF2;CHI3L1;HSPA8;GYG1;LRG1;CHIT1;SERPINB1","down","acute","bp"
"5","GO:0002446","neutrophil mediated immunity",396,16,3.5306990881459,4.53168044077135,3.40957818201204e-07,0.000296176909212496,"PNP;MPO;MMP9;MNDA;BPI;ALDOA;CST3;GMFG;ADAM8;EEF2;CHI3L1;HSPA8;GYG1;LRG1;CHIT1;SERPINB1","down","acute","bp"
"6","GO:0042119","neutrophil activation",398,16,3.54853090172239,4.50890817724989,3.64951248665868e-07,0.000296176909212496,"PNP;MPO;MMP9;MNDA;BPI;ALDOA;CST3;GMFG;ADAM8;EEF2;CHI3L1;HSPA8;GYG1;LRG1;CHIT1;SERPINB1","down","acute","bp"
"7","GO:0036230","granulocyte activation",401,16,3.57527862208713,4.47517569712083,4.03825158645787e-07,0.000296176909212496,"PNP;MPO;MMP9;MNDA;BPI;ALDOA;CST3;GMFG;ADAM8;EEF2;CHI3L1;HSPA8;GYG1;LRG1;CHIT1;SERPINB1","down","acute","bp"
"8","GO:0006614","SRP-dependent cotranslational protein targeting to membrane",84,8,0.748936170212766,10.6818181818182,7.25900771270105e-07,0.000456127063961685,"RPS26;RPL36;RPS3;RPL27;RPS14;RPL14;RPL13A;UBA52","down","acute","bp"
"9","GO:0043299","leukocyte degranulation",422,16,3.76251266464032,4.25247738043947,7.995994498744e-07,0.000456127063961685,"PNP;MPO;MMP9;MNDA;BPI;ALDOA;CST3;GMFG;ADAM8;EEF2;CHI3L1;HSPA8;GYG1;LRG1;CHIT1;SERPINB1","down","acute","bp"
"10","GO:0002275","myeloid cell activation involved in immune response",426,16,3.79817629179331,4.21254801536492,9.06343035955715e-07,0.000465316514659664,"PNP;MPO;MMP9;MNDA;BPI;ALDOA;CST3;GMFG;ADAM8;EEF2;CHI3L1;HSPA8;GYG1;LRG1;CHIT1;SERPINB1","down","acute","bp"
"11","GO:0006613","cotranslational protein targeting to membrane",88,8,0.784599797365755,10.1962809917355,1.03974655774053e-06,0.000468740073375532,"RPS26;RPL36;RPS3;RPL27;RPS14;RPL14;RPL13A;UBA52","down","acute","bp"
"12","GO:0070972","protein localization to endoplasmic reticulum",120,9,1.06990881458967,8.41193181818182,1.0956137281859e-06,0.000468740073375532,"RPS26;RPL36;RPS3;RPL27;RPS14;RPL14;RPL13A;UBA52;CHMP4B","down","acute","bp"
"13","GO:0002444","myeloid leukocyte mediated immunity",435,16,3.87841945288754,4.12539184952978,1.19515150509564e-06,0.000471992909781616,"PNP;MPO;MMP9;MNDA;BPI;ALDOA;CST3;GMFG;ADAM8;EEF2;CHI3L1;HSPA8;GYG1;LRG1;CHIT1;SERPINB1","down","acute","bp"
"14","GO:0002274","myeloid leukocyte activation",498,17,4.44012158054711,3.82872398685652,1.4840947410999e-06,0.000544238742914776,"PNP;MPO;MMP9;MNDA;BPI;ALDOA;CST3;GMFG;ADAM8;EEF2;CHI3L1;HSPA8;GYG1;LRG1;CHIT1;AIF1;SERPINB1","down","acute","bp"
"15","GO:0006413","translational initiation",168,10,1.49787234042553,6.67613636363636,2.24635965384579e-06,0.000768854030856284,"RPS26;RPL36;RPS3;RPL27;RPS14;RPL14;ATF4;RPL13A;EIF4G2;UBA52","down","acute","bp"
"16","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",110,8,0.980749746707194,8.15702479338843,5.65247244888045e-06,0.00181373709703452,"RPS26;RPL36;RPS3;RPL27;RPS14;RPL14;RPL13A;UBA52","down","acute","bp"
"17","GO:1901361","organic cyclic compound catabolic process",496,16,4.42228976697062,3.61803519061584,6.5459021854064e-06,0.00197686245999273,"PNP;RPS26;RPL36;ALDOA;RPS3;RPL27;HSPA8;RPS14;DDX5;RPL14;UBC;PGK1;RPL13A;APOBEC3G;APOE;UBA52","down","acute","bp"
"18","GO:0034655","nucleobase-containing compound catabolic process",442,15,3.94083080040527,3.80630399012752,7.21312276508179e-06,0.00205734290421833,"PNP;RPS26;RPL36;ALDOA;RPS3;RPL27;HSPA8;RPS14;DDX5;RPL14;UBC;PGK1;RPL13A;APOBEC3G;UBA52","down","acute","bp"
"19","GO:0006612","protein targeting to membrane",152,9,1.35521783181358,6.64099880382775,7.79013703255949e-06,0.00210497702764002,"RPS26;RPL36;RPS3;RPL27;RPS14;RPL14;RPL13A;UBA52;CHMP4B","down","acute","bp"
"20","GO:0009636","response to toxic substance",299,12,2.66585612968592,4.50136819702037,1.25432491759891e-05,0.00321985206347641,"MPO;RACK1;G6PD;RPS3;EEF2;CCND1;GPX2;ACTB;ATF4;APOE;UBA52;TXNIP","down","acute","bp"
"21","GO:0019221","cytokine-mediated signaling pathway",467,15,4.16372847011145,3.60254039322562,1.39454052369148e-05,0.00340931954696764,"IL32;MMP9;CDC37;RACK1;EDA;CCND1;FN1;IFI6;HSPA8;COL1A2;LTB;HLA-DQA1;UBC;IFIT3;UBA52","down","acute","bp"
"22","GO:0044270","cellular nitrogen compound catabolic process",473,15,4.21722391084093,3.55684220641937,1.6224935998066e-05,0.00362168788756829,"PNP;RPS26;RPL36;ALDOA;RPS3;RPL27;HSPA8;RPS14;DDX5;RPL14;UBC;PGK1;RPL13A;APOBEC3G;UBA52","down","acute","bp"
"23","GO:0046700","heterocycle catabolic process",473,15,4.21722391084093,3.55684220641937,1.6224935998066e-05,0.00362168788756829,"PNP;RPS26;RPL36;ALDOA;RPS3;RPL27;HSPA8;RPS14;DDX5;RPL14;UBC;PGK1;RPL13A;APOBEC3G;UBA52","down","acute","bp"
"24","GO:0019439","aromatic compound catabolic process",482,15,4.29746707193516,3.49042814032441,2.02666756351499e-05,0.00433537969628583,"PNP;RPS26;RPL36;ALDOA;RPS3;RPL27;HSPA8;RPS14;DDX5;RPL14;UBC;PGK1;RPL13A;APOBEC3G;UBA52","down","acute","bp"
"25","GO:0006402","mRNA catabolic process",272,11,2.42512664640324,4.53584558823529,2.77346449193416e-05,0.005695586680636,"RPS26;RPL36;RPS3;RPL27;HSPA8;RPS14;DDX5;RPL14;UBC;RPL13A;UBA52","down","acute","bp"
"26","GO:0006605","protein targeting",333,12,2.96899696048632,4.04176904176904,3.65477791375302e-05,0.00714019769744594,"CDC37;RPS26;RPL36;RPS3;RPL27;HSPA8;RPS14;RPL14;UBC;RPL13A;UBA52;CHMP4B","down","acute","bp"
"27","GO:0000956","nuclear-transcribed mRNA catabolic process",185,9,1.64944275582573,5.45638820638821,3.75507085763616e-05,0.00714019769744594,"RPS26;RPL36;RPS3;RPL27;RPS14;DDX5;RPL14;RPL13A;UBA52","down","acute","bp"
"28","GO:0010608","posttranscriptional regulation of gene expression",396,13,3.5306990881459,3.68199035812672,4.45539858013877e-05,0.00816929153944016,"CDC37;RACK1;RPS3;NCL;EEF2;HSPA8;RPS14;DDX5;UBC;ATF4;RPL13A;EIF4G2;UBA52","down","acute","bp"
"29","GO:0006401","RNA catabolic process",295,11,2.63019250253293,4.18220338983051,5.82627400140812e-05,0.0103145140424929,"RPS26;RPL36;RPS3;RPL27;HSPA8;RPS14;DDX5;RPL14;UBC;RPL13A;UBA52","down","acute","bp"
"30","GO:0090150","establishment of protein localization to membrane",253,10,2.25572441742655,4.43316564858067,7.98411508374786e-05,0.0136634822799872,"RACK1;RPS26;RPL36;RPS3;RPL27;RPS14;RPL14;RPL13A;UBA52;CHMP4B","down","acute","bp"
"31","GO:0006979","response to oxidative stress",313,11,2.79067882472138,3.94169329073482,9.91716490030825e-05,0.0164241047090911,"MPO;MMP9;RACK1;G6PD;RPS3;EEF2;GPX2;AIF1;ATF4;APOE;TXNIP","down","acute","bp"
"32","GO:0021762","substantia nigra development",29,4,0.258561296859169,15.4702194357367,0.00011818838836497,0.0189618495583049,"CKB;G6PD;ACTB;COX6B1","down","acute","bp"
"33","GO:0045087","innate immune response",500,14,4.45795339412361,3.14045454545455,0.000123673055684503,0.0192405293298255,"CDC37;MNDA;ACTG1;ADAM8;IFI6;CFB;HLA-DQA1;AIF1;UBC;RPL13A;APOBEC3G;APOE;IFIT3;UBA52","down","acute","bp"
"34","GO:0019068","virion assembly",32,4,0.285309017223911,14.0198863636364,0.000175330021962128,0.0264748333162813,"UBC;APOE;UBA52;CHMP4B","down","acute","bp"
"35","GO:0048857","neural nucleus development",33,4,0.294224924012158,13.595041322314,0.00019816247191784,0.0290676037378911,"CKB;G6PD;ACTB;COX6B1","down","acute","bp"
"36","GO:0006614","SRP-dependent cotranslational protein targeting to membrane",84,6,0.297872340425532,20.1428571428571,4.22574996661318e-07,0.00127586498597099,"RPL26;SRP14;RPL22;RPS20;RPL31;RPS7","up","peak","bp"
"37","GO:0006613","cotranslational protein targeting to membrane",88,6,0.312056737588652,19.2272727272727,5.57714398996545e-07,0.00127586498597099,"RPL26;SRP14;RPL22;RPS20;RPL31;RPS7","up","peak","bp"
"38","GO:0045047","protein targeting to ER",94,6,0.333333333333333,18,8.25303497320462e-07,0.00127586498597099,"RPL26;SRP14;RPL22;RPS20;RPL31;RPS7","up","peak","bp"
"39","GO:0072599","establishment of protein localization to endoplasmic reticulum",97,6,0.343971631205674,17.4432989690722,9.94051410962982e-07,0.00127586498597099,"RPL26;SRP14;RPL22;RPS20;RPL31;RPS7","up","peak","bp"
"40","GO:0070972","protein localization to endoplasmic reticulum",120,6,0.425531914893617,14.1,3.46660205563509e-06,0.00355950699072611,"RPL26;SRP14;RPL22;RPS20;RPL31;RPS7","up","peak","bp"
"41","GO:0006612","protein targeting to membrane",152,6,0.539007092198582,11.1315789473684,1.35646990483407e-05,0.0116068608190302,"RPL26;SRP14;RPL22;RPS20;RPL31;RPS7","up","peak","bp"
"42","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",110,5,0.390070921985816,12.8181818181818,3.90296659987799e-05,0.0254187463019876,"RPL26;RPL22;RPS20;RPL31;RPS7","up","peak","bp"
"43","GO:0006412","translation",493,9,1.74822695035461,5.14807302231237,3.96084866411961e-05,0.0254187463019876,"RPL26;AIMP1;RPL22L1;MRPL32;RPL22;RPS20;RPL31;RPS7;MRPL1","up","peak","bp"
"44","GO:0006614","SRP-dependent cotranslational protein targeting to membrane",84,6,0.553191489361702,10.8461538461538,1.75442714753782e-05,0.0457856368076122,"RPL27;RPS26;UBA52;RPS14;RPS16;RPS3","down","peak","bp"
"45","GO:0006613","cotranslational protein targeting to membrane",88,6,0.579533941236069,10.3531468531469,2.29153665531889e-05,0.0457856368076122,"RPL27;RPS26;UBA52;RPS14;RPS16;RPS3","down","peak","bp"
"46","GO:0045047","protein targeting to ER",94,6,0.619047619047619,9.69230769230769,3.33854241632014e-05,0.0457856368076122,"RPL27;RPS26;UBA52;RPS14;RPS16;RPS3","down","peak","bp"
"47","GO:0072599","establishment of protein localization to endoplasmic reticulum",97,6,0.638804457953394,9.39254559873117,3.98995156634108e-05,0.0457856368076122,"RPL27;RPS26;UBA52;RPS14;RPS16;RPS3","down","peak","bp"
"48","GO:0019221","cytokine-mediated signaling pathway",467,12,3.07548125633232,3.90182836435513,4.45906084998171e-05,0.0457856368076122,"LTB;IL32;COL1A2;UBA52;IFI6;CXCL1;UBC;MMP9;KRT18;RACK1;HLA-DQA1;IFIT2","down","peak","bp"
"49","GO:0006958","complement activation, classical pathway",15,4,0.0683890577507599,58.4888888888889,4.96142893879892e-07,0.00254719761717936,"IGLL5;C1QB;C1QA;C1QC","up","late","bp"
"50","GO:0072376","protein activation cascade",41,5,0.18693009118541,26.7479674796748,1.03950353946836e-06,0.00266840558581527,"GP1BB;IGLL5;C1QB;C1QA;C1QC","up","late","bp"
"51","GO:0002455","humoral immune response mediated by circulating immunoglobulin",25,4,0.113981762917933,35.0933333333333,4.44748779360182e-06,0.00761113411078392,"IGLL5;C1QB;C1QA;C1QC","up","late","bp"
"52","GO:0006956","complement activation",30,4,0.13677811550152,29.2444444444444,9.47615627344689e-06,0.0121626465769691,"IGLL5;C1QB;C1QA;C1QC","up","late","bp"
"53","GO:0006614","SRP-dependent cotranslational protein targeting to membrane",84,5,0.382978723404255,13.0555555555556,3.70268947749164e-05,0.0380192155548841,"RPL26;RPL31;RPS20;RPS7;RPS15A","up","late","bp"
"54","GO:0006613","cotranslational protein targeting to membrane",88,5,0.401215805471125,12.4621212121212,4.63549864520019e-05,0.0396644167407629,"RPL26;RPL31;RPS20;RPS7;RPS15A","up","late","bp"
"55","GO:0045047","protein targeting to ER",94,5,0.428571428571429,11.6666666666667,6.3646046172483e-05,0.0466798287213611,"RPL26;RPL31;RPS20;RPS7;RPS15A","up","late","bp"
"56","GO:0072599","establishment of protein localization to endoplasmic reticulum",97,5,0.442249240121581,11.3058419243986,7.39711137431875e-05,0.0474709622446906,"RPL26;RPL31;RPS20;RPS7;RPS15A","up","late","bp"
"57","GO:0005198","structural molecule activity",430,16,3.80416205891223,4.20591966173362,9.26742441675898e-07,0.000834994939949985,"RACK1;RPS26;ACTG1;RPL36;RPS3;RPL27;CDC42SE1;CHI3L1;FN1;RPS14;COL1A2;ACTB;RPL14;RPL13A;APOE;UBA52","down","acute","mf"
"58","GO:0003735","structural constituent of ribosome",134,8,1.18548306021916,6.7483039348711,2.28716612962199e-05,0.0103036834139471,"RPS26;RPL36;RPS3;RPL27;RPS14;RPL14;RPL13A;UBA52","down","acute","mf"
"59","GO:0003735","structural constituent of ribosome",134,8,0.538855936463255,14.8462686567164,4.70573132682617e-08,4.23986392547038e-05,"RPL26;RPL22L1;MRPL32;RPL22;RPS20;RPL31;RPS7;MRPL1","up","peak","mf"
"60","GO:0005198","structural molecule activity",430,14,2.76666331557253,5.06024709302326,4.24896336559399e-07,0.000382831599240019,"RPL27;COL1A2;ACTG1;RPS26;UBA52;HSPB6;SORBS3;KRT18;RACK1;RPS14;CLDN4;RPS16;CAPN3;RPS3","down","peak","mf"
"61","GO:0003735","structural constituent of ribosome",134,6,0.606212928521162,9.89751243781095,2.82687250554581e-05,0.0254701212749677,"RPL26;RPL22L1;RPL31;RPS20;RPS7;RPS15A","up","late","mf"
"62","GO:0031983","vesicle lumen",236,15,2.12383840359973,7.06268422991894,2.44146414196678e-09,8.04462434778053e-07,"PNP;MPO;MNDA;BPI;ALDOA;GMFG;EEF2;CHI3L1;FN1;HSPA8;GYG1;LRG1;CHIT1;SERPINB1;APOE","down","acute","cc"
"63","GO:0060205","cytoplasmic vesicle lumen",236,15,2.12383840359973,7.06268422991894,2.44146414196678e-09,8.04462434778053e-07,"PNP;MPO;MNDA;BPI;ALDOA;GMFG;EEF2;CHI3L1;FN1;HSPA8;GYG1;LRG1;CHIT1;SERPINB1;APOE","down","acute","cc"
"64","GO:0034774","secretory granule lumen",229,14,2.06084319671329,6.79333586481868,1.44333857088341e-08,3.1705337273739e-06,"PNP;MPO;MNDA;BPI;ALDOA;GMFG;EEF2;CHI3L1;FN1;HSPA8;GYG1;LRG1;CHIT1;SERPINB1","down","acute","cc"
"65","GO:1904813","ficolin-1-rich granule lumen",110,10,0.98992467964394,10.1017786561265,4.74736793210084e-08,7.82128866813614e-06,"PNP;MMP9;MNDA;ALDOA;CST3;GMFG;EEF2;HSPA8;GYG1;LRG1","down","acute","cc"
"66","GO:0101002","ficolin-1-rich granule",154,11,1.38589455150152,7.93711180124224,1.19392164266152e-07,1.57358872502789e-05,"PNP;MMP9;MNDA;ALDOA;CST3;GMFG;ADAM8;EEF2;HSPA8;GYG1;LRG1","down","acute","cc"
"67","GO:0022626","cytosolic ribosome",95,9,0.854934950601585,10.5271167048055,1.62079095145096e-07,1.78016872834363e-05,"RACK1;RPS26;RPL36;RPS3;RPL27;RPS14;RPL14;RPL13A;UBA52","down","acute","cc"
"68","GO:0072562","blood microparticle",51,6,0.458965078744009,13.0728900255754,5.85916894546568e-06,0.00055159890500884,"ACTG1;FN1;HSPA8;CFB;ACTB;APOE","down","acute","cc"
