"","gene","logFC","logCPM","PValue","FDR"
"1","LOC113933014",-1.7197774991526,2.57188374386716,5.09953204621562e-05,0.200493239897704
"2","IL32",-2.79624883444604,3.05508189283978,5.19944647597745e-05,0.200493239897704
"3","ITGB5",-1.19808982105436,6.52216421087922,5.28216140944156e-05,0.200493239897704
"4","TCN2",-1.16220952865314,5.81044264183423,8.25142608427725e-05,0.208792805470848
"5","BPI",-1.06970334659323,9.29995477169089,0.000103362752255198,0.208792805470848
"6","IFI6",-3.40202336389034,5.95005642049903,0.000120582717415494,0.208792805470848
"7","C1QB",-2.25479306938273,3.82553832968815,0.000150604304753732,0.208792805470848
"8","VIPR1",-1.45712270739874,1.78731575593792,0.000203364763439315,0.208792805470848
"9","BATF2",-2.3401293132148,4.58675657469997,0.000229403197764417,0.208792805470848
"10","NR1H3",-1.05829851704936,4.25547647131019,0.000235553217415698,0.208792805470848
"11","RPS26",-2.32367469898292,3.2175161627283,0.000244382309375408,0.208792805470848
"12","ACTG1",-2.09223627807675,4.74796332927522,0.000260779629009798,0.208792805470848
"13","SORBS3",-1.06584081399136,3.52972787690494,0.000290832905428131,0.208792805470848
"14","C1QC",-1.55489057065922,3.83338502077796,0.000332300634754503,0.208792805470848
"15","RPL36",-1.59315281133113,2.27068907242029,0.000360974957699652,0.208792805470848
"16","TAPBP",-2.15714753831547,2.34701515919063,0.000366721358515584,0.208792805470848
"17","LY6H",-1.28097563156024,7.72923301311044,0.000421469369626874,0.228536748187677
"18","MOCS1",-1.08490371812691,5.40831752439557,0.000506987170551883,0.254671705481821
"19","C2",-1.87361524496836,4.45754072720404,0.00053783770856876,0.254671705481821
"20","ACVRL1",-1.02479624376222,7.17878533720675,0.000547335769813721,0.254671705481821
"21","G6PD",-2.12346528759593,2.38755396808302,0.000594076839156197,0.254671705481821
"22","LIMD2",-1.48832762901185,2.24554272044094,0.000642717501654415,0.254671705481821
"23","GP1BB",-1.70215636979837,3.25612719331408,0.000655329517368526,0.254671705481821
"24","C1QA",-1.40652315846025,3.73879046524878,0.000693318948795684,0.254671705481821
"25","RPS3",-1.59343534799083,3.40273541472582,0.000726679780719153,0.258584458220281
"26","DNAJB4",1.15744493688183,2.69937378266055,0.000834803756822327,0.280306612547772
"27","USF1",-1.91576794944235,2.90751431295714,0.000851233721305147,0.280306612547772
"28","RACK1",-2.04125646450033,2.8166352339674,0.0009329241507285,0.280306612547772
"29","TSPAN11",-1.1974302648428,4.06825738417651,0.000997153870797243,0.283864778169205
"30","NECTIN2",-1.33922333279865,1.78888690739461,0.00113939684479735,0.292159079612505
"31","CA2",1.81876370464214,2.84262218690351,0.00123963020904151,0.294076441465743
"32","BNIPL",-1.18961794570316,1.50216780531592,0.00127421156090713,0.294449203132264
"33","WARS1",-1.33371817660219,9.38275270288859,0.00135626073893825,0.294449203132264
"34","DES",-2.41921354704835,3.4904098263251,0.00136214546691874,0.294449203132264
"35","HLX",-1.08563631774014,6.72558826820294,0.00166747338852739,0.309738506507067
"36","CD79A",-1.18059587415438,1.79660030816565,0.00170978766551992,0.309738506507067
"37","CKB",-1.53306417932293,2.4288899588573,0.00177760518761854,0.309738506507067
"38","GPBAR1",-1.13921482047428,3.61828582483261,0.00179644017930599,0.309738506507067
"39","EEF2",-1.22936068756967,4.55494107952517,0.00182451353576017,0.309738506507067
"40","LRRCC1",1.21705235559596,3.04754278814669,0.00193044019163903,0.309738506507067
"41","GPSM3",-2.26531090407872,3.30381421081375,0.00194660925977348,0.309738506507067
"42","CALHM6",-1.19966135772598,5.01531822392523,0.00205551515000837,0.309738506507067
"43","Ifi203",-2.19753758115478,3.18285264407428,0.00209443150047047,0.309738506507067
"44","LOC118552109",-1.008593854079,4.87368062045628,0.00210680503449607,0.309738506507067
"45","RPS14",-1.76748185542226,3.03279226143317,0.00220547529130529,0.31145786278045
"46","IER2",-1.15276020367541,2.26261003144098,0.00222465235968426,0.31145786278045
"47","CFB",-1.47028435555248,3.44185570638093,0.00242965985079399,0.317449816661699
"48","IDO1",-2.18100371338192,7.18587752596084,0.00258560118168154,0.327136007286752
"49","CCL8L",-2.72193687266417,3.16814905621638,0.00289521907627257,0.333637152010158
"50","LOC118535204",-1.10982665512975,5.72541336493956,0.00305055353808234,0.333637152010158
"51","ZNF780A",1.04146929559527,1.66673936101897,0.00312069546801523,0.333637152010158
"52","UBXN1",-1.67843430500909,1.68232643921744,0.00335754540859596,0.333637152010158
"53","ACTB",-1.67964448708935,5.37439596737895,0.00335876874147801,0.333637152010158
