"","logFC","logCPM","PValue"
"A4GALT",-0.620065302381129,7.83842238642815,0.0141373622892968
"AAAS",-0.0726792159274116,5.43433427751904,0.757908700130637
"AACS",0.0966829400600429,6.03252477284683,0.612325611618833
"AAGAB",-0.144474438449713,6.64967380522323,0.377253921431531
"AAK1",0.166511679656678,6.03807859310526,0.293595130303912
"AAMDC",0.297960971521922,2.42667049058736,0.460662271853162
"AANAT",-0.745512109258305,1.46143465045933,0.0984824273610941
"AAR2",-0.230141188698457,5.71609451365968,0.23401492650385
"AARE",0.13216165017628,4.81357443792353,0.495565617368706
"AARS2",-0.424920316090088,1.86308544165708,0.151128388311876
"AARSD1",-0.376657333774713,6.06023045939939,0.094274099153524
"AASDH",0.396276989244461,4.78661215002182,0.11224924757741
"AASDHPPT",0.15459414206519,5.28748920995593,0.348794572170719
"AATF",-0.309484663009325,5.81000161850483,0.122936029666232
"AATK",-0.487674270482788,6.79708835129584,0.0576800095962327
"ABAT",0.363912953306084,3.67360108542908,0.110396440995146
"ABCA1",0.0834091544347135,7.04849494247424,0.777837370828425
"ABCA2",0.111208009937146,6.70126137219415,0.636117115480961
"ABCA3",-0.32466632610679,5.39459614545652,0.146016532910239
"ABCA5",0.515894122919294,3.17102799984685,0.0524764548156125
"ABCA6",0.63220910649273,3.01545821031703,0.0697968672265938
"ABCA9",0.0257456351276401,2.16229163918733,0.921603640959478
"ABCB10",0.225694181608728,4.1745677436638,0.323382996313316
"ABCB11",-0.201362310361552,3.33136778536072,0.652376417088852
"ABCB6",0.251999420298413,4.91045405052354,0.441572502069857
"ABCB7",0.264132757275951,5.1086111579077,0.18027547955064
"ABCB8",-0.228868280714165,3.74481391468861,0.428639746518681
"ABCC1",0.092808573586826,7.0088811448026,0.604512202891943
"ABCC10",-0.205119204354911,6.00414358614923,0.358045203448516
"ABCC3",-0.50898700817204,6.14021674464192,0.0358296903062681
"ABCC4",0.123937917260137,3.27460567461085,0.594299488649923
"ABCC5",0.0106459381643863,4.89937646576186,0.925857947898202
"ABCC9",0.0351680631879736,4.80773107730689,0.902171106505095
"ABCD3",0.544897478380254,3.30288522546275,0.0691855194570304
"ABCD4",-0.197768659854567,6.39387819185536,0.247449928864476
"ABCE1",0.51798927680274,5.59807271001609,0.0637588335964957
"ABCF1",0.129301712782304,2.23770372969744,0.637828557700457
"ABCF3",-0.274256166501895,6.91667717532831,0.0993538980741233
"ABCG1",-0.286399080930076,6.62439665555496,0.121749835953649
"ABCG2",0.21172843643877,5.33122579271527,0.174378238725055
"ABHD10",0.195449295389024,3.83527797979698,0.313737120014063
"ABHD11",-0.442943822640878,3.48825950187127,0.0999822966936453
"ABHD12B",-0.208831567534794,4.37483921049323,0.407834074419317
"ABHD13",0.326769684206966,5.83557489831613,0.183447145328662
"ABHD14B",-0.713274056098631,4.95418376888907,0.00722311965443556
"ABHD15",-0.0849581575724082,2.43841278927461,0.788855028971557
"ABHD16A",-0.383803335508272,7.20140671836039,0.0287865368288918
"ABHD17A",-0.326183651332455,7.19312452656255,0.170840871434451
"ABHD17B",0.338908223962747,3.7991743696626,0.1644659493612
"ABHD17C",-0.0187244784983296,3.69514020903316,0.934937364993107
"ABHD18",0.56657867649817,3.85652882346484,0.0941298149426675
"ABHD2",-0.328192963641161,9.58862215904353,0.114040723642315
"ABHD3",0.284010496350265,4.85355544287359,0.191305322362727
"ABHD4",-0.202207907309359,6.15253401338525,0.240135612712319
"ABHD5",0.00528169779909559,6.57350807331989,0.966656800766504
"ABHD6",-0.199097673505021,5.85577102701748,0.224039045530771
"ABHD8",-0.235161263184728,3.98760936856079,0.370757562565154
"ABI1",0.130345155242651,7.33536269712753,0.545105536844839
"ABI2",0.0263726279843744,3.61343419920339,0.880599383953671
"ABI3",-0.0523425027572495,6.38720566742444,0.834233244015104
"ABITRAM",0.371696051317784,2.07022757413546,0.191325226867921
"ABL1",0.00154198136419718,5.2257414518013,0.972870730064147
"ABL2",0.492235213487182,3.82067491039586,0.0586233475377327
"ABLIM1",0.209796172280342,8.76090538761832,0.229211733725967
"ABLIM2",-0.0338123022874378,3.101734830914,0.923799039912202
"ABR",-0.177505553019007,7.6463323736583,0.341514837047748
"ABRAXAS2",-0.0131238147686187,5.01361556416092,0.9658089963679
"ABT1",-0.132211640619471,5.11520448492856,0.513653163935429
"ABTB1",-0.237218427615591,11.13339588505,0.262510363594525
"ABTB2",-0.132548000430877,2.00299092682581,0.707471161442184
"ACAA1",-0.429222037035985,7.58220846753545,0.0749413439022579
"ACAA2",-0.272281535567323,7.52208739331363,0.122993072227491
"ACACA",0.151488782905873,5.68583640537973,0.35895930901239
"ACACB",-0.260108520917443,6.69380865127731,0.15570512297304
"ACAD10",-0.306271084141676,3.11335059080897,0.107271753835435
"ACAD11",0.272481485352882,2.84833420832322,0.160570190105552
"ACAD8",0.291758760989116,5.55979471051616,0.161821608013045
"ACAD9",-0.139419598993825,5.75977961017685,0.4856874245241
"ACADL",-0.0798469645769115,5.56065167558585,0.641036675405738
"ACADM",0.35426311385255,5.55725848177111,0.0996686382280885
"ACADS",-0.377103281334415,4.88119977423399,0.110934090863595
"ACADSB",0.113701903959871,4.25398622614341,0.608992097900678
"ACADVL",-0.273149059008567,7.51804236165817,0.187935391212999
"ACAP2",0.355533775355184,7.70783258063136,0.243903218460848
"ACAP3",-0.350727623622191,4.7775596512566,0.181224192536468
"ACAT1",-0.14969004111051,6.71834694987772,0.438705115432189
"ACBD3",0.0356703990205924,5.8559438121975,0.799543782279997
"ACBD4",0.139920225790403,2.37472651731839,0.510447633591245
"ACBD5",0.12058565982524,4.20618188218195,0.504727561723348
"ACBD6",0.24524926083548,3.82681801664936,0.277933448689657
"ACCS",-0.32045002697288,4.24782884827516,0.119883704077117
