"","logFC","logCPM","PValue","FDR"
"LOC118520801",-13.4954651853784,5.5120248246919,0,0
"LOC110581163",-11.4699567251597,3.56182171096217,2.27360366000773e-173,1.48841463602406e-169
"LOC118526780",-10.8062154049026,2.95245552513175,7.8553194284005e-126,3.42832324253493e-122
"LOC110581157",-10.006258229943,2.24211437883762,4.259115607158e-98,1.39411501611299e-94
"LOC118006907",-9.05092156669836,1.42908084522546,9.11616742001717e-81,2.3871596006057e-77
"LOC118548927",-8.72575644786296,1.5087611607696,2.65062141453596e-71,5.78409769675322e-68
"LOC118356620",-8.27853047623224,0.863089882371596,7.2534669576917e-57,1.35670918395796e-53
"LOC118003572",-8.3561620702273,0.918722453644552,3.43731999823708e-56,5.62560384211477e-53
"LOC118522555",-8.07722027382893,0.726334459699628,5.5665282137391e-52,8.09806154472067e-49
"LOC110591786",-7.05796472271886,0.282456847600866,1.6481598970558e-42,2.15793575321516e-39
"USP9X",-3.61761021751399,2.63150089164427,1.34095898669834e-34,1.59610691025831e-31
"TRAPPC2",-3.30141592014173,4.23237740277183,2.46549616039381e-34,2.69006176900301e-31
"LOC118023935",-7.26826022768797,0.190630803088683,1.27600355267211e-24,1.22081524323236e-21
"LOC116621816",9.67555147595702,6.90507208041402,1.30538558048217e-24,1.22081524323236e-21
"LOC118543160",-6.81160811008051,-0.115705064820816,1.88396601396474e-21,1.64445113472269e-18
"LOC118544875",-6.22966793169925,-0.337576690026129,4.69827686066804e-16,3.84465868354541e-13
"CXCL12",-6.93635828823106,3.17213413294987,7.49316287636717e-12,5.77105773766325e-09
"COL1A2",-4.04831914878114,4.00457589037235,8.76924772590429e-12,6.37865335973694e-09
"VCAM1",-5.29888446269285,1.36791685939236,5.12432933439844e-11,3.53120231448835e-08
"CTSG",-4.87070312370041,2.31492211265886,1.39767237484144e-10,9.14986220189949e-08
"LUM",-5.40125803840449,0.517917020010141,1.82474069448225e-09,1.13768237680267e-06
"MPO",-4.17180142737507,2.55398218043705,2.54911848366352e-09,1.51707310484575e-06
"LOC118555280",-5.45439994068102,1.25972783367071,5.94975159100421e-09,3.38696076439209e-06
"RAG1",-3.98998205748376,0.0721416230791135,7.83857972357772e-09,4.27627184670013e-06
"TIMD4",-3.49787093968491,0.726650838034223,6.54548662645901e-08,3.29615601539338e-05
"LOC118528690",-2.87028758187734,3.44244366667742,8.16070332757227e-08,3.95733661732977e-05
"LOC118521685",-4.66414124898825,-0.694301969429015,9.41641777069504e-08,4.40318420970394e-05
"IGFBP2",-3.61662089235728,0.717889631475013,1.02684028903557e-07,4.63600686356644e-05
"DNTT",-4.09851723161207,1.83877853161851,1.70689995960518e-07,7.4494803903702e-05
"DCN",-3.81051175429965,0.84557502278198,1.84220984455157e-07,7.78066241764958e-05
"SERPINF1",-3.75330248475791,1.10619310513234,2.03526704533845e-07,8.32742232019262e-05
"CD5L",-3.66431024014842,0.00689633539747801,2.4408072930908e-07,9.68408784498115e-05
"MYB",-2.39937483318609,2.72892175494042,2.83479650714012e-07,0.000109164678435252
"EPX",-2.90255155912036,2.94963615060821,4.31313303215337e-07,0.00016134814511424
"C1S",-4.35394994389628,0.124448488108943,5.25191515957219e-07,0.000191009236622996
"LOC118550605",-3.7775281941725,0.00980629375390711,5.58306733200594e-07,0.000197565136697172
"LOC118541193",-3.36336022743906,1.77941196378712,9.05241044974081e-07,0.000311903184259096
"PTX3",-4.6209697078462,-0.452676577500962,1.00779649278863e-06,0.000338335371284142
"LOC118534550",-3.75191553317495,-0.289435020162212,1.13820854984051e-06,0.000372564113576547
"PDGFRL",-4.0193644295505,-0.253523437788415,1.53416233110408e-06,0.000489921643930382
"SERPINH1",-2.70007525769764,0.728513664195747,2.27783881095644e-06,0.000710089132186969
"LOC118538654",-4.10353166587525,0.361307015849555,4.42874394932743e-06,0.00134850103554753
"CNN3",-1.41295978207114,3.57892768594599,7.35703567568352e-06,0.00218921972958464
"CFAP57",-2.8095537983768,-0.222440347508945,9.36925282028028e-06,0.00272603615946511
"SCARA3",-3.82790885532975,-0.29845675724484,1.26124346183965e-05,0.00358988274910143
"PAQR9",-3.1531987976705,0.345882648582148,1.54296795054152e-05,0.00429831476094472
"PKLR",-3.26255475997584,-0.613386154184535,2.35625018145182e-05,0.0064172800350715
"RAG2",-3.9060598674552,-0.552034758384889,2.40163997340948e-05,0.0064172800350715
"SERPINE1",-2.0743323527302,0.222112203193378,3.03252793477597e-05,0.00794097765000435
"CDH11",-3.53002938415176,-0.684516227968225,3.48612647391383e-05,0.00894977527901054
"TFPI",-2.55332348564744,0.429909300372789,3.58736340468519e-05,0.00903256712645062
"BGN",-2.79270787283266,0.792331093093697,7.73931288155742e-05,0.0191190233128738
"IGF1",-3.7124602079373,-0.40087267450328,8.92365576595666e-05,0.0216365601747538
"PLXND1",-1.79870987373829,0.899603433807409,9.16432520123721e-05,0.0218160927017816
"TFRC",-1.50428968543208,4.84243956137303,0.000159651934018549,0.037172709790943
"LOC113925918",-2.29091111267093,0.630833169722083,0.000161830325982109,0.037172709790943
"LOC102738965",-3.38683299535879,-0.562233065297414,0.000207667601391876,0.046879170776273
"HTRA1",-1.89102779250454,0.828233455055341,0.000216758915974964,0.0481021099467832
"GAS6",-2.55017449298426,-0.295678514680311,0.000234664625482855,0.0512077323574504
"GJA1",-3.15706357599888,-0.466882892024452,0.000256618507521531,0.0550804281799903
"OSBP2",-2.24363757455989,0.328099061000132,0.000275749090434807,0.0582319813074665
"IGF2",-2.21224496737516,0.729332359469779,0.000363512299421342,0.0755470878781529
"LRRC4",-1.17888946078395,2.00113770261796,0.000557196317239264,0.113990177837714
"UACA",-2.20974421707269,-0.260145766173677,0.000630918933052321,0.127086486006985
"DAB2",-1.75721335946059,2.44643293587204,0.000715131483292508,0.141866916829527
"PLEKHA5",-1.27876277038581,0.710949099987873,0.000810264812180722,0.158340256505704
"MS4A3",-1.94832783662615,1.00464551095128,0.000833729755776425,0.16052976018207
"FECH",-1.28985200265134,0.880152975420331,0.00087634814175918,0.166290235073231
"COL10A1",-1.49621110005763,1.38929120661786,0.000932460263528974,0.174410031862641
"SELENOP",-1.067604771682,4.99380764038749,0.00101052019098232,0.183760289729604
"NSG1",-1.49250143932771,0.613218485578638,0.00104494272328958,0.187416918849733
"RIMS3",-1.3319266067611,1.43254692205787,0.00115707504311576,0.204724101885334
"COL2A1",-1.63071804796015,1.25910552470155,0.00126544860244047,0.220913580690041
"DPYSL3",-1.31308332121535,1.56004850029776,0.00131296089103652,0.226192065083436
"LOC116648911",5.70828140091287,0.833820222753836,0.00162921870362449,0.273255502235726
"FBLN5",-2.81832097068701,-0.637402640748789,0.00164952252717398,0.273255502235726
"NUCB2",-1.62481235710955,1.04595980428385,0.0016696280591811,0.273255502235726
"SHANK1",-2.20977553572006,-0.372294471247689,0.00175726811870585,0.284048289854515
"OMD",-2.03675212185893,0.18810427646736,0.00181980894175347,0.290570225297295
"ZNF521",-1.70236184749634,-0.0362568496084983,0.0018782088872904,0.296281794714376
"LGALSL",-1.20142226530362,2.11184674823795,0.00196373173654867,0.305146753866778
"MAP7",-1.4693088152867,1.1823770583771,0.00198101841279127,0.305146753866778
"PADI3",-1.26436900399538,2.58545726176189,0.00228946823120275,0.34855822733881
"SCIN",-1.06842007958397,2.57611836991376,0.00242482741012668,0.364922589434353
"GNAZ",-1.09649372992687,1.73098725139601,0.00251006614639559,0.373457909713152
"IGFBP7",-1.07125356366652,2.26541080854942,0.00314273012894387,0.45217324811277
"COL3A1",-1.93511137962696,0.161354003599743,0.00343993849232224,0.489555594347555
"B4GALNT1",-2.49804613935212,-0.416367893134342,0.0034841215761024,0.490511868773212
"DENND2C",-1.7829862422233,0.0436828434585326,0.00355471742713865,0.492875408929036
"LOC118356156",-1.25251167393359,0.634808142024873,0.00357619826229729,0.492875408929036
"MME",-1.3582883123854,1.49825685344065,0.00412076134427322,0.556217817325456
"MYO1B",-1.21327277709523,0.845748068677572,0.00447738232244589,0.59739113017721
"STUM",-1.65869536278333,0.324217073036656,0.00451704894886915,0.59739113017721
"RTP5",-1.67657675974337,4.07096314913117,0.00472909411633132,0.619180292651259
"ADCY6",-1.21207485313333,2.24323284870039,0.0048056046987486,0.622968141789261
"EMID1",-1.19775369129207,2.04960869866093,0.00494602764790953,0.634885686216466
"KIT",-1.13059593370265,2.38225096676421,0.00532574959755796,0.676990674571129
"SFRP5",-1.64588405761934,0.0831338910418872,0.00539861528523196,0.677203546292617
"FSTL1",-1.03655069024292,2.10274245414766,0.00543086934703466,0.677203546292617
"PXDN",-1.12361439877431,1.35276812891021,0.00561942080262839,0.687617538026295
"SLC2A13",-1.22846475496117,0.515237612534545,0.00573178158166349,0.694872372673334
"THBS4",-2.23234480156957,-0.459759869068315,0.00582592872523837,0.695724138785211
"STAB2",-1.68730581744031,0.0097602435018439,0.00584508174340282,0.695724138785211
"ABCA13",-1.55985563178465,1.12739199659625,0.0059515123727777,0.702010373844851
"PRG2",-1.48762688151244,5.56769309501474,0.00620318843906344,0.725163805648729
"RUNX1T1",-1.30631014027394,0.289963705896993,0.00640328036274594,0.741930529110023
"LOC118524392",4.48358796718803,0.0498951453656423,0.00670903304155373,0.756839517861332
"LOC118541218",-1.9213819309034,0.749800236080962,0.00676317296187091,0.756839517861332
"ADORA2B",-1.58786474488083,-0.0993319584270569,0.00689704880929868,0.765280170001251
"SLC38A3",-2.27695217479836,-0.153659241841046,0.00699068140742038,0.769151190481975
"MYRFL",-1.56465168379015,0.260532125780147,0.00751655749638795,0.818988570625334
"VPREB1",-1.47556442502665,2.48204097172235,0.00793090386198428,0.851142002171805
"COL5A1",-1.95825704310457,-0.316698896581219,0.00816162541802712,0.867832943685654
"LOC118538207",1.83225622247358,3.22312033662766,0.00889726526499625,0.92404240129172
"ARHGAP23",-1.60785021954629,0.200891509561488,0.00894547436970339,0.92404240129172
"MMP2",-1.16480346768191,2.06860939799299,0.00896306308439994,0.92404240129172
"LOC118551000",-1.02340684829758,1.77963175138859,0.00943283284037633,0.960418648501287
"CHAC1",-1.41438446868808,0.16924532203502,0.00973938623234142,0.97341819801562
"SYTL4",-1.65911552336741,0.490045188500142,0.00987446010374097,0.979441713168791
"CCDC80",-1.2572564708637,1.55582429430214,0.0100803524240761,0.991061874399402
"ECRG4",-2.03202922717142,-0.472804153883698,0.0102162095684546,0.991061874399402
"LOC118530061",2.08176663074349,0.626630222022369,0.0102878397354893,0.991061874399402
"SLC16A10",-1.0831241492444,0.700828300507272,0.0110165804283392,0.995437850562911
"ANLN",-1.0998688679049,2.48556947288317,0.0110583519844707,0.995437850562911
"CACNA1B",-1.54909238544117,-0.128312913969308,0.0114974479803676,0.995437850562911
"DNAH14",1.26439926885251,1.44970605767252,0.0120431196271257,0.995437850562911
"CA1",-1.39416753127479,1.74908833261045,0.01299490123938,0.995437850562911
"CHST13",2.292951536097,0.34624947852069,0.0131558696644059,0.995437850562911
"SCML2",-1.60202840035924,0.134758985858213,0.0134477693868107,0.995437850562911
"CTXN1",2.70166412401099,0.338417757729396,0.0134873934497821,0.995437850562911
"CLCN1",-1.22518269101168,1.04263994312824,0.0138022777986844,0.995437850562911
"PLEKHA4",2.04805557714703,0.576370942913567,0.0139322078090887,0.995437850562911
"MYL9",1.20763519263971,7.7460458122237,0.0140063768779594,0.995437850562911
"NMUR1",1.13512978733617,3.88221229749018,0.0164465350862577,0.995437850562911
"DNAL1",-1.12285642454722,1.4811498159677,0.0168121766025099,0.995437850562911
"SERPING1",-2.20705417848293,0.37451905630985,0.0168822393811326,0.995437850562911
"CAPN3",-1.47918769820525,2.12564555924734,0.0172596581965156,0.995437850562911
"MARCO",-2.00600695595557,-0.1113512689943,0.0173381714146984,0.995437850562911
"NUAK1",-1.13754262726758,0.939657243468824,0.0173555086439003,0.995437850562911
"ATP1B1",-1.04289742613549,1.89758936255642,0.0183818842463324,0.995437850562911
"STBD1",-1.33245735944262,0.408991142026946,0.0183822428677168,0.995437850562911
"BRSK1",2.19180032188552,0.162751820555861,0.0186512328905328,0.995437850562911
"ANGPT1",-1.61908673963473,0.264228497612124,0.0193060603049323,0.995437850562911
"DES",2.84946234874813,3.33617214332904,0.0196089204942478,0.995437850562911
"NUDT12",-1.13936816544961,0.656393486517062,0.0196394655646947,0.995437850562911
"SSX2IP",-1.11846989902999,0.56484817398549,0.0200176065962832,0.995437850562911
"LOC118542140",-1.11368712325238,0.381167013573517,0.0200786778543,0.995437850562911
"CLU",-1.36594034709312,1.63200468301478,0.0200948969615794,0.995437850562911
"LOC118529768",1.78210914572068,0.435586516592439,0.0201841474930005,0.995437850562911
"LOC118519601",1.68979154010204,3.9437839300944,0.0205721148904081,0.995437850562911
"SMARCD3",1.44403092686619,1.00637590066632,0.020609713127631,0.995437850562911
"LOC118553682",4.95582928970588,0.278598936175657,0.0215306992732754,0.995437850562911
