"","gene_id","stitle"
"1","LOC101365509","TRIM4"
"2","LOC101366176","RTL8C"
"3","LOC101368309","IGHA"
"4","LOC101372183","UQCRH"
"5","LOC101373702","LILRA6"
"6","LOC101383856","KDM6A"
"7","LOC101383955","DHRS4"
"8","LOC102725643","MACF1"
"9","LOC102725702","HSP90AB1"
"10","LOC102726331","ARRB1"
"11","LOC102727457","SLC25A26"
"12","LOC102727869","RAPH1"
"13","LOC102727995","RBSN"
"14","LOC102728276","ASPH"
"15","LOC102728399","WIPI2"
"16","LOC102728502","TAOK2"
"17","LOC102729786","MRPL22"
"18","LOC102730107","BRSK1"
"19","LOC102730227","POC5"
"20","LOC102730295","OR10V1"
"21","LOC102730568","TRGC2"
"22","LOC102730661","ERAL1"
"23","LOC102730709","DGCR8"
"24","LOC102730772","DISP1"
"25","LOC102730987","PAOX"
"26","LOC102731389","SET"
"27","LOC102731425","ZNF614"
"28","LOC102731761","PHACTR1"
"29","LOC102732108","MAF"
"30","LOC102732344","ITGB4"
"31","LOC102732673","EEPD1"
"32","LOC102733279","TRIM39"
"33","LOC102733352","COL5A2"
"34","LOC102733508","ZC2HC1B"
"35","LOC102733853","TAP2"
"36","LOC102734062","MCTP2"
"37","LOC102734343","SIGIRR"
"38","LOC102734930","PDZD8"
"39","LOC102735459","GPRASP2"
"40","LOC102735884","SLC25A43"
"41","LOC102736148","SAMD1"
"42","LOC102736357","CYB5R4"
"43","LOC102736402","SMPD5"
"44","LOC102736536","CYB561A3"
"45","LOC102736734","PLP"
"46","LOC102738026","TOP3B"
"47","LOC102738126","LTV1"
"48","LOC102738327","ZNF300"
"49","LOC102738453","KDM5C"
"50","LOC102738858","MYH10"
"51","LOC102738864","PNRC1"
"52","LOC102739173","ZFP14"
"53","LOC102739751","CLASRP"
"54","LOC102739843","YEATS2"
"55","LOC102740057","VEGFA"
"56","LOC102740239","SYNE2"
"57","LOC102740570","CEACAM6"
"58","LOC102741116","ZSWIM6"
"59","LOC102741681","EIF3E"
"60","LOC102742244","TMEM164"
"61","LOC102742766","CYB561D2"
"62","LOC102742909","ITSN2"
"63","LOC102742982","ASAP1"
"64","LOC102742996","WDR77"
"65","LOC102743128","CYC1"
"66","LOC102743461","CACNA1B"
"67","LOC102743469","NPTN"
"68","LOC102743567","RPS3"
"69","LOC102743671","CASP12"
"70","LOC102743902","MBNL1"
"71","LOC102744115","REV1"
"72","LOC102744251","TMEM141"
"73","LOC102744306","TEX12"
"74","LOC102744677","RPS12"
"75","LOC102745219","TNRC6B"
"76","LOC102745228","NR3C2"
"77","LOC102745409","FHIP1B"
"78","LOC102746129","P2RX1"
"79","LOC102746300","LILRA6"
"80","LOC102746519","ZNF77"
"81","LOC102748117","NAV1"
"82","LOC102748329","ZFP30"
"83","LOC102748818","SNED1"
"84","LOC102748999","COX7B"
"85","LOC102749113","RANBP2"
"86","LOC102749537","RFX1"
"87","LOC102749725","CAMK4"
"88","LOC102750418","FAH"
"89","LOC102750483","KCNK4"
"90","LOC102750553","SAMD4A"
"91","LOC102751092","PXMP4"
"92","LOC110570788","AZI2"
"93","LOC110571164","FSM"
"94","LOC110572158","PPP3CA"
"95","LOC110573534","Ifi203"
"96","LOC110576229","PPFIBP2"
"97","LOC110577102","RPL23A"
"98","LOC110577932","CK1"
"99","LOC110578409","MZT2B"
"100","LOC110580219","COX20"
"101","LOC110581080","C1RL"
"102","LOC110581091","PYROXD1"
"103","LOC110581148","JMJD4"
"104","LOC110581213","ZNF354A"
"105","LOC110581250","MAN1B1"
"106","LOC110581925","GP1"
"107","LOC110586567","FRMD4A"
"108","LOC110586919","HLA-A"
"109","LOC110587272","ZNF514"
"110","LOC110587504","IGKV4-1"
"111","LOC110588646","DPYSL2"
"112","LOC110590213","ZNF383"
"113","LOC110592344","IQSEC2"
"114","LOC112806624","KIR3DL3"
"115","LOC112806670","KMT5C"
"116","LOC112806783","ZNF677"
"117","LOC112807134","SIGLEC5"
"118","LOC112807889","ERO1B"
"119","LOC112808031","CSTF2T"
"120","LOC112810228","IFIH1"
"121","LOC112810306","SPN"
"122","LOC112810412","BOLA2"
"123","LOC112810468","YPEL3"
"124","LOC112810676","ZNF345"
"125","LOC112810888","TRB GENE"
"126","LOC112811049","TRBV19"
"127","LOC112811848","MBD5"
"128","LOC112813783","TTK"
"129","LOC112815957","SMIM29"
"130","LOC112816310","CLEC4E"
"131","LOC112818366","IGHV4-61"
"132","LOC112819547","CCR6"
"133","LOC112821953","TRAV9-2"
"134","LOC112822605","TRAV8-4"
"135","LOC112822609","TRAV26-2"
"136","LOC112822612","TRAV36DV"
"137","LOC112822614","TRAV13-1"
"138","LOC112824245","ACADM"
"139","LOC112824777","TRGC1"
"140","LOC112825533","CENPE"
"141","LOC112827571","GNRH2"
"142","LOC112827669","MAVS"
"143","LOC112827714","PTPRA"
"144","LOC112828297","TBL3"
"145","LOC112828458","CRYZL2"
"146","LOC112830349","PTPRE"
"147","LOC112830507","CUZD1"
"148","LOC112831392","SH3BP1"
"149","LOC112831597","SERHL2"
"150","LOC112831706","GTPBP1"
"151","LOC112831998","CDK17"
"152","LOC112832036","NEDD1"
"153","LOC112837060","CNOT1"
"154","LOC112837255","CIT"
"155","LOC112837621","CDC27"
"156","LOC112837652","MYL4"
"157","LOC112837876","NHSL2"
"158","LOC112838220","H4C6"
"159","LOC112839644","GCNT4"
"160","LOC112839840","MRPS36"
"161","LOC113907904","RSAD1"
"162","LOC113907928","UBXN8"
"163","LOC113908502","TNFAIP8L3"
"164","LOC113908562","VCPKMT"
"165","LOC113908644","WDR89"
"166","LOC113908989","TRDC"
"167","LOC113908991","TRAC"
"168","LOC113908996","TRAV22"
"169","LOC113909068","MARK3"
"170","LOC113909115","FES"
"171","LOC113909134","AK7"
"172","LOC113909266","TRAV19"
"173","LOC113909326","AP5M1"
"174","LOC113909334","FUT8"
"175","LOC113909472","TRIM69"
"176","LOC113909702","SERPINA6"
"177","LOC113909703","SERPINA10"
"178","LOC113910097","JMJD4"
"179","LOC113910432","REC8"
"180","LOC113910968","LRRC61"
"181","LOC113911016","FAIM2"
"182","LOC113911142","ZYX"
"183","LOC113911213","GGCT"
"184","LOC113911218","ZC3HAV1"
"185","LOC113911678","GSAP"
"186","LOC113911743","FMC1"
"187","LOC113912046","NAMPT"
"188","LOC113912299","SEH1L"
"189","LOC113912561","TMIGD3"
"190","LOC113912651","ANAPC7"
"191","LOC113912660","SFSWAP"
"192","LOC113912685","MBP"
"193","LOC113912837","RBM3"
"194","LOC113913065","SLC2A11"
"195","LOC113913255","IGLC7"
"196","LOC113913623","MTIF2"
"197","LOC113913624","TEX10"
"198","LOC113913675","TRIM68"
"199","LOC113913958","MAML2"
"200","LOC113914088","SVIP"
"201","LOC113914199","TBCEL"
"202","LOC113914360","RPL6"
"203","LOC113914913","NUDT16L1"
"204","LOC113915280","IFITM3"
"205","LOC113915457","PICALM"
"206","LOC113915911","CD200R1L"
"207","LOC113915989","RASA2"
"208","LOC113916027","PM20D2"
"209","LOC113916108","ACSM3"
"210","LOC113916130","ITIH5"
"211","LOC113916211","PCNP"
"212","LOC113916220","MCM3AP"
"213","LOC113916267","PIGP"
"214","LOC113916361","ZNF77"
"215","LOC113916405","ZNF345"
"216","LOC113916406","SLC25A20"
"217","LOC113916417","CCL25"
"218","LOC113916432","ZBTB20"
"219","LOC113916680","CDC42"
"220","LOC113916696","ECE2"
"221","LOC113916786","YIPF1"
"222","LOC113916937","ZZZ3"
"223","LOC113917027","DPH5"
"224","LOC113917337","NUP210"
"225","LOC113917532","IL1RAP"
"226","LOC113917796","CNBP"
"227","LOC113918062","SSBP3"
"228","LOC113918280","H1-10"
"229","LOC113918535","TRAIP"
"230","LOC113918538","GATA2"
"231","LOC113918564","BTLA"
"232","LOC113918692","ADGRE2"
"233","LOC113919342","KCTD12"
"234","LOC113919361","UPF3A"
"235","LOC113919395","MBD5"
"236","LOC113919581","NAB1"
"237","LOC113919597","COL1A1"
"238","LOC113919869","ZGRF1"
"239","LOC113920198","KANK1"
"240","LOC113920222","CYTIP"
"241","LOC113920371","DAPL1"
"242","LOC113920407","B3GALNT1"
"243","LOC113920736","TPI1"
"244","LOC113920892","NBDY"
"245","LOC113921361","SMAGP"
"246","LOC113921374","ATF7IP"
"247","LOC113921377","PLBD1"
"248","LOC113921530","ANKRD26"
"249","LOC113921622","RASSF3"
"250","LOC113921657","GALNT6"
"251","LOC113921700","RPL27"
"252","LOC113921748","ZNF641"
"253","LOC113921809","THAP2"
"254","LOC113921867","PSAP"
"255","LOC113922550","APBB1IP"
"256","LOC113922572","NBDY"
"257","LOC113922574","PDXP"
"258","LOC113922584","MRPL42"
"259","LOC113922638","PCED1B"
"260","LOC113922812","CECR2"
"261","LOC113922829","DRAM1"
"262","LOC113923172","TM9SF3"
"263","LOC113923354","BCCIP"
"264","LOC113923385","FAM204A"
"265","LOC113923394","MARK4"
