gene_id	transcript_id
1-Mar	MSTRG.22669.7
A1BG	rna-XM_036078124.1
A1CF	rna-XM_036123410.1
A1CF	rna-XM_036123411.1
A1CF	rna-XR_004926907.1
A2ML1	rna-XM_036112964.1
A3GALT2	rna-XM_036065268.1
A4GALT	rna-XM_036088317.1
A4GALT	rna-XM_036088323.1
A4GALT	rna-XM_036088319.1
A4GALT	rna-XM_036088325.1
A4GALT	rna-XM_036088322.1
A4GALT	rna-XM_036088321.1
A4GALT	rna-XM_036088324.1
A4GALT	rna-XM_036088326.1
A4GALT	rna-XM_036088320.1
A4GALT	MSTRG.20419.3
A4GALT	MSTRG.20419.5
A4GALT	MSTRG.20419.4
A4GALT	MSTRG.20420.1
A4GALT	MSTRG.20419.6
A4GALT	MSTRG.20419.18
A4GNT	rna-XM_036080942.1
AAAS	rna-XM_036124095.1
AAAS	rna-XM_036124098.1
AAAS	rna-XM_036124099.1
AAAS	rna-XM_036124097.1
AAAS	rna-XM_036124096.1
AAAS	MSTRG.12079.7
AACS	rna-XM_036080994.1
AACS	rna-XM_036080974.1
AACS	rna-XM_036080984.1
AACS	MSTRG.1886.7
AACS	MSTRG.1888.1
AACS	MSTRG.1886.8
AADAC	rna-XM_036075513.1
AADACL2	rna-XM_036075512.1
AADACL3	rna-XM_036094266.1
AADACL4	rna-XM_036094270.1
AADAT	rna-XM_036085563.1
AADAT	rna-XM_036085564.1
AADAT	rna-XM_036085562.1
AAGAB	rna-XM_036087132.1
AAGAB	rna-XM_036087133.1
AAGAB	MSTRG.20067.1
AAK1	rna-XM_036088096.1
AAK1	rna-XM_036088208.1
AAK1	rna-XM_036088204.1
AAK1	rna-XM_036088194.1
AAK1	rna-XM_036088154.1
AAK1	rna-XM_036088139.1
AAK1	rna-XM_036088238.1
AAK1	rna-XM_036088244.1
AAK1	rna-XM_036088129.1
AAK1	rna-XM_036088147.1
AAK1	rna-XM_036088121.1
AAK1	rna-XM_036088163.1
AAK1	rna-XM_036088183.1
AAK1	rna-XM_036088173.1
AAK1	rna-XM_036088210.1
AAK1	rna-XM_036088102.1
AAK1	rna-XM_036088087.1
AAK1	rna-XM_036088105.1
AAK1	rna-XM_036088216.1
AAK1	rna-XM_036088227.1
AAK1	rna-XM_036088112.1
AAK1	MSTRG.2133.23
AAK1	MSTRG.2133.22
AAMDC	rna-XM_036113432.1
AANAT	rna-XM_036088597.1
AANAT	rna-XM_036088601.1
AANAT	rna-XM_036088600.1
AANAT	rna-XM_036088596.1
AANAT	rna-XM_036088599.1
AANAT	rna-XM_036088598.1
AAR2	rna-XM_036064623.1
AARD	rna-XM_036094679.1
AARS1	rna-XM_036088057.1
AARS1	rna-XM_036088056.1
AARS1	MSTRG.18489.4
AARS2	rna-XM_036082752.1
AARS2	MSTRG.18489.3
AASDH	rna-XM_036120745.1
AASDH	rna-XM_036120752.1
AASDH	rna-XM_036120751.1
AASDH	rna-XM_036120750.1
AASDH	rna-XM_036120746.1
AASDH	rna-XM_036120749.1
AASDH	rna-XM_036120747.1
AASDH	rna-XM_036120748.1
AASDH	rna-XM_036120753.1
AASDH	MSTRG.10924.13
AASDH	MSTRG.10924.6
AASDH	MSTRG.10924.14
AASDHPPT	rna-XM_036105295.1
AASS	rna-XM_036122352.1
AASS	rna-XR_004926555.1
AASS	rna-XR_004926554.1
AASS	rna-XM_036122351.1
AATF	rna-XR_004921183.1
AATF	rna-XM_036104781.1
AATF	rna-XM_036104782.1
AATF	rna-XM_036104780.1
AATK	rna-XM_036113217.1
AATK	rna-XM_036113220.1
AATK	rna-XM_036113218.1
AATK	rna-XM_036113221.1
AATK	rna-XM_036113216.1
AATK	rna-XM_036113219.1
AATK	MSTRG.8317.4
ABAT	rna-XM_036074794.1
ABAT	rna-XM_036074799.1
ABAT	MSTRG.1628.3
ABCA1	rna-XM_036111443.1
ABCA1	rna-XM_036111445.1
ABCA1	rna-XM_036111441.1
ABCA1	rna-XR_004923273.1
ABCA1	rna-XM_036111442.1
ABCA1	MSTRG.7693.5
ABCA10	rna-XM_036075569.1
ABCA12	rna-XM_036087379.1
ABCA13	rna-XM_036096257.1
ABCA2	rna-XM_036073204.1
ABCA2	rna-XM_036073206.1
ABCA2	rna-XM_036073203.1
ABCA2	rna-XM_036073205.1
ABCA2	rna-XM_036073202.1
ABCA2	rna-XR_004911163.1
ABCA2	MSTRG.15306.12
ABCA2	MSTRG.15306.13
ABCA2	MSTRG.15306.6
ABCA2	MSTRG.15306.15
ABCA3	rna-XM_036083214.1
ABCA3	rna-XM_036083212.1
ABCA3	rna-XM_036083213.1
ABCA3	MSTRG.18619.10
ABCA3	MSTRG.18619.8
ABCA3	MSTRG.18619.1
ABCA3	MSTRG.18619.7
ABCA4	rna-XM_036094474.1
ABCA4	rna-XM_036094473.1
ABCA5	rna-XM_036075601.1
ABCA5	rna-XM_036075600.1
ABCA5	rna-XM_036075599.1
ABCA5	MSTRG.18821.1
ABCA5	MSTRG.16151.4
ABCA6	rna-XM_036075602.1
ABCA6	MSTRG.16150.2
ABCA7	rna-XM_036100724.1
ABCA7	MSTRG.4004.4
ABCA7	MSTRG.4004.12
ABCA7	MSTRG.4004.19
ABCA7	MSTRG.4004.1
ABCA7	MSTRG.4004.13
ABCA7	MSTRG.4004.6
ABCA7	MSTRG.4004.16
ABCB1	rna-XM_036080493.1
ABCB1	rna-XM_036080413.1
ABCB10	rna-XM_036072401.1
ABCB10	rna-XM_036072402.1
ABCB10	MSTRG.14999.3
ABCB10	MSTRG.14999.4
ABCB10	MSTRG.14999.5
ABCB11	rna-XM_036072027.1
ABCB11	rna-XM_036072021.1
ABCB11	rna-XM_036072016.1
ABCB11	rna-XM_036072022.1
ABCB11	rna-XM_036072015.1
ABCB11	rna-XM_036072023.1
ABCB11	rna-XM_036072020.1
ABCB11	rna-XM_036072017.1
ABCB11	rna-XM_036072026.1
ABCB11	rna-XM_036072018.1
ABCB11	rna-XM_036072019.1
ABCB11	rna-XM_036072025.1
ABCB11	rna-XM_036072028.1
ABCB11	MSTRG.14840.14
ABCB4	rna-XM_036081271.1
ABCB4	rna-XM_036081045.1
ABCB4	rna-XM_036080924.1
ABCB4	rna-XM_036080859.1
ABCB4	rna-XM_036080978.1
ABCB4	rna-XM_036081123.1
ABCB4	rna-XM_036081186.1
ABCB5	rna-XM_036113142.1
ABCB5	rna-XM_036113143.1
ABCB5	rna-XM_036113144.1
ABCB5	rna-XM_036113146.1
ABCB5	rna-XM_036113145.1
ABCB5	rna-XR_004923834.1
ABCB6	rna-XM_036082991.1
ABCB6	rna-XM_036082989.1
ABCB6	MSTRG.18549.6
ABCB6	MSTRG.18550.2
ABCB6	MSTRG.18549.8
ABCB7	rna-XM_036089980.1
ABCB7	MSTRG.52.1
ABCB7	MSTRG.7803.1
ABCB7	MSTRG.20993.1
ABCB8	rna-XM_036102130.1
ABCB8	rna-XM_036102129.1
ABCB9	rna-XM_036080286.1
